ID,Edificio,Tipo,Area_m2,AC_pico_cooling_demand_kWth,AC_media_cooling_demand_kWth,PV_schema_kWp,PV_calc_0_63_kWp,PV_agresivo_0_85_kWp,PV_techo_max_1_00_kWp,PV_tecnico_0_24_kWp,BESS_schema_kWh,BESS_schema_kW,BESS_corregido_schemaPV_kWh,BESS_corregido_schemaPV_kW,BESS_corregido_PVmax_kWh,BESS_corregido_PVmax_kW,BESS_corregido_PVtecnico_kWh,BESS_corregido_PVtecnico_kW,BESS_balance_kWh,BESS_balance_kW,BESS_peak_shaving_kWh,BESS_peak_shaving_kW,BESS_driver,Carga_total_MWh,Carga_base_medida_MWh,Maquina_controlada_MWh,Maquina_controlada_pico_kW,Maquina_controlada_count,Maquina_controlada_ciclos,Carga_sin_EV_MWh,EV_load_total_MWh,EV_load_en_ventana_MWh,EV_load_fuera_ventana_MWh,EV_load_peak_kW,EV_state1_hours,PV_total_MWh,PV_directa_a_carga_MWh,PV_directa_a_EV_MWh,PV_directa_a_edificio_MWh,PV_exportada_MWh,PV_excedente_antes_BESS_MWh,Red_publica_antes_BESS_MWh,Red_EV_antes_BESS_MWh,Red_edificio_antes_BESS_MWh,Red_publica_despues_BESS_MWh,Red_EV_despues_BESS_MWh,Red_edificio_despues_BESS_MWh,Red_publica_reduccion_pct,Pico_red_antes_kW,Pico_operativo_antes_kW,Pico_red_objetivo_kW,Pico_red_estimado_despues_kW,Pico_operativo_estimado_despues_kW,Pico_red_reduccion_pct,Pico_operativo_reduccion_pct,Energia_corte_pico_MWh,BESS_carga_desde_PV_MWh,BESS_carga_desde_red_valle_MWh,BESS_descarga_a_EV_MWh,BESS_descarga_a_edificio_MWh,BESS_descarga_a_carga_MWh,BESS_objetivo_EV_MWh,BESS_objetivo_edificio_MWh,BESS_recarga_valle_no_servida_MWh,Ventana_operativa_BESS,Ventana_EV_recarga,Horas_recarga_valle,PV_utilizacion_pct,EV_schema_count,EV_schema_kW,EV_dimensionador_v3_count,EV_dimensionador_v3_kW
B01,ELECTRO ORIENTE S.A.,Office,14000.0,439.049,268.465,3360.2,1703.6,2298.8,2704.3,3360.0,6747.0,1609.0,6747.0,1609.0,4655.0,1230.0,6746.0,1609.0,6747.0,1609.0,615.0,122.7,solar_shift_daily_surplus,17378.145,17223.342,11.588,6.66,1,783,17234.93,143.215,143.215,0.0,21.8,25757,10331.502,5409.037,83.548,5325.489,1566.208,4922.465,11969.108,59.667,11909.441,8941.087,2.168,8938.92,25.299,1226.577,1226.577,1103.919,1211.202,1211.202,1.253,1.253,8.011,3356.257,0.0,57.499,2970.522,3028.021,58.098,3037.436,0.0,electro_oriente_lun_vie_07_18,electro_oriente_lun_vie_07_18,"0,1,2,3,4,5,22,23",100.0,4,21.8,4,21.8
B02,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,8000.0,80.731,20.0,1920.0,973.6,1313.5,1545.1,1920.0,244.0,50.0,244.0,50.0,245.0,50.0,244.0,50.0,244.0,50.0,10.0,4.0,solar_shift_daily_surplus,247.493,204.512,27.875,21.36,1,783,232.387,15.106,15.106,0.0,24.4,3703,5931.416,98.506,15.021,83.485,5719.2,5832.91,148.988,0.086,148.902,46.364,0.0,46.364,68.881,39.867,39.867,35.88,28.834,28.834,27.673,27.673,0.154,113.71,0.0,0.086,102.538,102.624,0.086,104.206,0.0,municipalidad_lun_vie_08_15,municipalidad_lun_vie_08_15,"0,1,2,3,4,5,22,23",100.0,6,24.4,6,24.4
B03,AEROPUERTO INTERNACIONAL,Assembly,6000.0,764.397,360.517,1440.2,730.0,984.9,1158.8,1440.0,2363.0,511.0,2363.0,511.0,2100.0,467.0,2363.0,511.0,2363.0,511.0,76.0,27.0,solar_shift_daily_surplus,3155.233,2868.391,104.12,38.0,1,1096,2972.511,182.722,182.722,0.0,37.8,33799,4409.185,1020.0,67.586,952.414,1998.538,3389.185,2135.233,115.136,2020.096,880.476,0.84,879.635,58.764,269.781,269.781,242.803,262.792,262.792,2.591,2.591,0.545,1390.647,0.0,114.296,1140.461,1254.757,114.818,1156.441,0.0,aeropuerto_24h,aeropuerto_24h,"0,1,2,3,4,5,22,23",100.0,8,37.8,8,37.8
B04,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,2500.0,1235.259,476.419,600.2,304.0,410.2,482.7,600.0,454.0,409.0,454.0,409.0,248.0,360.0,453.0,409.0,454.0,409.0,57.0,42.6,solar_shift_daily_surplus,4131.879,4047.487,24.331,6.66,1,1096,4071.818,60.061,60.061,0.0,24.4,13852,1853.611,1711.584,43.094,1668.49,48.762,142.027,2420.296,16.967,2403.328,2336.117,8.213,2327.904,3.478,426.329,426.329,383.696,426.329,426.329,0.0,0.0,0.272,93.265,0.0,8.754,75.424,84.178,8.912,80.814,0.0,tottus_lun_dom_08_22,tottus_lun_dom_08_22,"0,1,2,3,4,5,22,23",100.0,6,24.4,6,24.4
B05,HOTEL PLAZA S.A.,MultiFamily_Hotel,1141.89,390.636,267.316,274.1,138.9,187.5,220.6,274.1,234.0,124.0,234.0,124.0,136.0,124.0,234.0,123.0,234.0,124.0,29.0,18.9,solar_shift_daily_surplus,3000.086,2836.068,108.504,44.55,1,1096,2944.572,55.514,55.514,0.0,14.4,12663,803.712,714.689,12.34,702.35,30.983,89.022,2285.397,43.174,2242.223,2233.021,22.375,2210.646,2.292,189.363,189.363,170.427,189.363,189.363,0.0,0.0,1.192,58.04,0.0,20.8,31.576,52.376,21.185,35.055,0.0,hotel_24h,hotel_24h,"0,1,2,3,4,5,22,23",100.0,3,14.4,3,14.4
B06,MALL AVENTURA S.A.,Commercial_Mall,20637.0,8408.326,3782.686,4952.9,2511.4,3388.6,3986.3,4952.9,2541.0,835.0,2541.0,835.0,3047.0,783.0,2541.0,835.0,2541.0,835.0,435.0,329.9,solar_shift_daily_surplus,34622.617,34079.87,192.896,52.8,1,1096,34272.766,349.851,349.851,0.0,90.6,80192,14754.793,13697.773,296.12,13401.653,498.469,1057.019,20924.844,53.731,20871.113,20420.609,22.776,20397.834,2.41,3298.926,3298.926,2969.033,3298.926,3298.926,0.0,0.0,7.182,558.55,0.0,30.956,473.279,504.234,31.741,512.708,0.0,mall_lun_dom_10_22,mall_lun_dom_10_22,"0,1,2,3,4,5,22,23",100.0,32,119.6,32,119.6
B07,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,8103.45,160.371,50.303,1944.9,986.2,1330.5,1565.3,1944.8,984.0,240.0,984.0,240.0,989.0,253.0,984.0,240.0,984.0,240.0,76.0,23.3,solar_shift_daily_surplus,1314.125,668.472,30.694,23.52,1,783,699.165,614.96,614.96,0.0,141.2,167226,5987.811,585.462,289.975,295.487,4849.884,5402.348,728.663,324.984,403.678,230.187,3.766,226.42,68.41,233.246,233.246,209.921,215.273,215.273,7.706,7.706,0.24,552.464,0.0,321.218,177.258,498.476,323.98,181.962,0.0,unap_lun_vie_07_14,unap_lun_vie_07_14,"0,1,2,3,4,5,22,23",100.0,42,153.2,42,153.2
B08,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,21000.0,129.167,27.684,5040.2,2555.5,3448.1,4056.6,5040.0,601.0,129.0,601.0,129.0,604.0,130.0,601.0,129.0,601.0,129.0,32.0,15.9,solar_shift_daily_surplus,873.667,327.366,77.752,54.615,1,783,405.118,468.549,468.549,0.0,73.6,106454,14965.141,402.859,257.585,145.274,14202.69,14562.282,470.808,210.964,259.844,146.437,2.71,143.727,68.897,159.025,159.025,143.123,120.437,120.437,24.266,24.266,1.281,359.592,0.0,208.254,116.116,324.371,210.964,118.601,0.0,pnp_ets_academico_lun_vie_07_18,pnp_ets_academico_lun_vie_07_18,"0,1,2,3,4,5,22,23",100.0,17,73.6,17,73.6
B09,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,4479.67,32.87,17.656,1075.3,545.1,735.4,865.2,1075.1,138.0,30.0,138.0,30.0,138.0,30.0,138.0,30.0,138.0,30.0,10.0,3.7,solar_shift_daily_surplus,234.787,151.931,13.262,4.84,1,1096,165.193,69.594,69.594,0.0,34.4,17953,3287.874,104.351,46.081,58.27,3084.677,3183.523,130.435,23.513,106.922,41.232,0.028,41.204,68.389,37.067,37.067,33.36,15.932,15.932,57.018,57.018,0.004,98.845,0.0,23.485,65.719,89.204,23.513,67.792,0.0,coer_24h,coer_24h,"0,1,2,3,4,5,22,23",100.0,10,37.4,10,37.4
B10,GOBIERNO REGIONAL DE LORETO,Office,14295.73,827.981,253.517,3431.1,1739.5,2347.3,2761.6,3431.0,2353.0,591.0,2353.0,591.0,2333.0,557.0,2353.0,591.0,2353.0,591.0,124.0,52.7,solar_shift_daily_surplus,3838.061,3619.905,17.383,13.32,1,783,3637.288,200.773,200.773,0.0,36.6,32355,10546.496,1896.637,105.897,1790.74,7213.451,8649.86,1941.424,94.876,1846.548,645.535,0.173,645.363,66.749,527.311,527.311,474.58,459.266,459.266,12.904,12.904,1.687,1436.409,0.0,94.704,1201.185,1295.889,94.876,1219.866,0.0,gorel_lun_vie_07_15,gorel_lun_vie_07_15,"0,1,2,3,4,5,22,23",100.0,6,36.6,6,36.6
