family,method,axis,axis_name,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,source
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_import,21.78354138946932,1.0,20.78354138946932,False,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_import_control,2976.0881989598274,3231.3751220703125,-255.28692311048508,True,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_import_baseline,3231.3751220703125,,,,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_import_delta,-1148.7911539971828,0.0,-1148.7911539971828,True,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,zero_net_energy,10.848571015610029,1.0,9.848571015610029,False,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,net_exchange_control,2976.0881989598274,3231.3751220703125,-255.28692311048508,True,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,net_exchange_baseline,3231.3751220703125,,,,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,net_exchange_delta,-1148.7911539971828,0.0,-1148.7911539971828,True,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_export_ratio,1.0,1.0,0.0,False,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_export_control,0.0,0.0,0.0,False,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_export_baseline,0.0,,,,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,grid_export_delta,0.0,0.0,0.0,False,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,peak_average,0.9248403766823091,1.0,-0.07515962331769088,True,True,citylearn_v2.evaluate_v2
citylearn_v2_original,sac,OE1,Flexibilidad energetica,ramping_average,1.0,1.0,0.0,False,True,citylearn_v2.evaluate_v2
