scope,scenario,dimension,test,hypothesis_H0,sample_type,algorithm_a,algorithm_b,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_difference_a_minus_b,median_difference_a_minus_b,better_by_median,mann_whitney_u,mann_whitney_p_value,mann_whitney_status,mann_whitney_significant_alpha_0_05,alpha,mwu_interpretation,cliffs_delta,cliffs_delta_magnitude,vargha_delaney_a12,cohen_d,hedges_g,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,bootstrap_iterations,effect_direction_note
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de HAPPO y MASAC son identicas (muestras independientes),independiente,HAPPO,MASAC,36,36,-0.13804379534721978,-0.09673812475539151,-0.03742746702963776,-0.0028392519246836917,-0.04130567059182827,-0.03458821510495407,MASAC,610.5,0.6761048854613997,ok,False,0.05,p=0.6761 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MASAC.,-0.05787037037037037,negligible,0.4710648148148148,-0.08225854996944669,-0.08137404943214081,-0.2704758309847145,0.1919775118491665,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de HAPPO y MATD3 son identicas (muestras independientes),independiente,HAPPO,MATD3,36,36,-0.13804379534721978,-0.09155269568530287,-0.03742746702963776,-0.0027701815275861137,-0.046491099661916904,-0.034657285502051646,MATD3,613.5,0.7010452814275234,ok,False,0.05,p=0.7010 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MATD3.,-0.05324074074074074,negligible,0.47337962962962965,-0.09255577091181338,-0.09156054756867561,-0.2708028270954474,0.18947211427191937,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de HAPPO y MAAC son identicas (muestras independientes),independiente,HAPPO,MAAC,36,36,-0.13804379534721978,-0.2621229361784852,-0.03742746702963776,-0.01320105898747327,0.12407914083126542,-0.024226408042164492,MAAC,711.0,0.47950032022235256,ok,False,0.05,p=0.4795 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MAAC.,0.09722222222222222,negligible,0.5486111111111112,0.26369383134244845,0.2608584138011318,-0.0928499543228602,0.3381468076065668,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de MASAC y MATD3 son identicas (muestras independientes),independiente,MASAC,MATD3,36,36,-0.09673812475539151,-0.09155269568530287,-0.0028392519246836917,-0.0027701815275861137,-0.005185429070088635,-6.907039709757798e-05,MATD3,605.5,0.6353276649741499,ok,False,0.05,p=0.6353 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de MASAC y MATD3.,-0.06558641975308642,negligible,0.4672067901234568,-0.010391214999171602,-0.010279481504556855,-0.22675848915830524,0.22370945408049622,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de MASAC y MAAC son identicas (muestras independientes),independiente,MASAC,MAAC,36,36,-0.09673812475539151,-0.2621229361784852,-0.0028392519246836917,-0.01320105898747327,0.1653848114230937,0.010361807062789578,MASAC,766.0,0.18372917859885884,ok,False,0.05,p=0.1837 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de MASAC y MAAC.,0.18209876543209877,pequeno,0.5910493827160493,0.35411570997403036,0.350308014167858,-0.05810262848003461,0.38743477405563703,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE1,E1,Flexibilidad energetica,Mann-Whitney U,Las distribuciones de MATD3 y MAAC son identicas (muestras independientes),independiente,MATD3,MAAC,36,36,-0.09155269568530287,-0.2621229361784852,-0.0027701815275861137,-0.01320105898747327,0.1705702404931823,0.010430877459887156,MATD3,791.0,0.10691783043757327,ok,False,0.05,p=0.1069 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de MATD3 y MAAC.,0.22067901234567902,pequeno,0.6103395061728395,0.36508473451213946,0.3611590922055573,-0.04198517701515836,0.38405851356359044,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE2,E2,Emisiones de CO2,Mann-Whitney U,Las distribuciones de HAPPO y MASAC son identicas (muestras independientes),independiente,HAPPO,MASAC,15,15,-0.5371493862521708,-0.41286489581799657,-0.40521919064434875,-0.03775910108477909,-0.12428449043417422,-0.36746008955956966,MASAC,72.0,0.08642505415956922,ok,False,0.05,p=0.0864 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MASAC.,-0.36,mediano,0.32,-0.2746759258211789,-0.2672522521503362,-0.42471031971977086,0.20115759339791645,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE2,E2,Emisiones de CO2,Mann-Whitney U,Las distribuciones de HAPPO y MATD3 son identicas (muestras independientes),independiente,HAPPO,MATD3,15,15,-0.5371493862521708,-0.4205742450894506,-0.40521919064434875,-0.08474364895387976,-0.11657514116272016,-0.320475541690469,MATD3,72.0,0.08642505415956922,ok,False,0.05,p=0.0864 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MATD3.,-0.36,mediano,0.32,-0.2594572979705643,-0.2524449385659545,-0.439304280053926,0.20450082867973446,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE2,E2,Emisiones de CO2,Mann-Whitney U,Las distribuciones de HAPPO y MAAC son identicas (muestras independientes),independiente,HAPPO,MAAC,15,15,-0.5371493862521708,-0.41719987467662606,-0.40521919064434875,-0.052243011861507815,-0.11994951157554473,-0.35297617878284093,MAAC,72.0,0.08642505415956922,ok,False,0.05,p=0.0864 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de HAPPO y MAAC.,-0.36,mediano,0.32,-0.2662435238524696,-0.25904775293753796,-0.4176332861070655,0.19404145948504237,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
OE2,E2,Emisiones de CO2,Mann-Whitney U,Las distribuciones de MASAC y MATD3 son identicas (muestras independientes),independiente,MASAC,MATD3,15,15,-0.41286489581799657,-0.4205742450894506,-0.03775910108477909,-0.08474364895387976,0.007709349271454058,0.04698454786910067,MASAC,99.0,0.5773678717767712,ok,False,0.05,p=0.5774 >= alpha=0.05 → no se rechaza H0: no hay diferencia significativa entre las distribuciones de MASAC y MATD3.,-0.12,negligible,0.44,0.01562447013844033,0.015202187161725727,-0.3184787058527315,0.38379415351204055,2000,"Positive differences, Cliff's delta, Cohen d and Hedges g favor algorithm_a; A12 > 0.5 favors algorithm_a."
