output_profile,algorithm,scenario,seed,run_path,launcher_status_file,launcher_status,launcher_job_known,launcher_exit_code,launcher_started_at,launcher_completed_at,launcher_validation_status,results_json,training_summary,timeseries_csv,trace_csv,checkpoint_manifest,figures_manifest,objective_kpis_rows,checkpoint_rows,figure_count,table_count,missing_figures,missing_tables
local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,True,completed,True,0,2026-06-15T07:40:15.1397708-05:00,2026-06-15T08:46:44.8713888-05:00,completed_exit_0,True,True,True,True,True,True,54,19,13,9,,
local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0,True,completed,True,0,2026-06-15T07:40:15.3561134-05:00,2026-06-15T08:46:24.6549353-05:00,completed_exit_0,True,True,True,True,True,True,54,19,13,9,,
local_v4,HAPPO,E3,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,True,completed,True,0,2026-06-15T08:46:24.8267056-05:00,2026-06-15T09:44:10.0987782-05:00,completed_exit_0,True,True,True,True,True,True,54,19,13,9,,
local_v4,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,True,completed,True,0,2026-06-15T09:44:10.3391687-05:00,2026-06-15T11:50:02.8626343-05:00,completed_exit_0,True,True,True,True,True,True,54,3,13,9,,
local_v4,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E2_seed_0,True,completed,True,0,2026-06-15T11:50:03.0841259-05:00,2026-06-15T14:18:22.8035377-05:00,completed_exit_0,True,True,True,True,True,True,54,3,13,9,,
local_v4,MASAC,E3,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,True,completed,True,0,2026-06-15T14:18:23.0715044-05:00,2026-06-15T16:34:06.3470485-05:00,completed_exit_0,True,True,True,True,True,True,54,3,13,9,,
local_v4,MATD3,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,True,completed,True,0,2026-06-15T16:34:06.5853479-05:00,2026-06-15T22:49:40.2748431-05:00,completed_exit_0,True,True,True,True,True,True,54,34,13,9,,
local_v4,MATD3,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E2_seed_0,True,completed,True,0,2026-06-15T16:34:06.8053626-05:00,2026-06-15T22:51:36.234852-05:00,completed_exit_0,True,True,True,True,True,True,54,34,13,9,,
local_v4,MATD3,E3,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,True,completed,True,0,2026-06-15T22:49:40.9392414-05:00,2026-06-16T06:20:47.9301672-05:00,completed_exit_0,True,True,True,True,True,True,54,34,13,9,,
local_v4,MAAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,True,completed,True,0,2026-06-16T06:20:48.3403843-05:00,2026-06-16T11:52:35.8511682-05:00,completed_exit_0,True,True,True,True,True,True,54,6,13,9,,
local_v4,MAAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E2_seed_0,True,completed,True,0,2026-06-16T11:52:36.3284732-05:00,2026-06-16T17:21:25.2864529-05:00,completed_exit_0,True,True,True,True,True,True,54,6,13,9,,
local_v4,MAAC,E3,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,True,completed,True,0,2026-06-16T17:21:25.6174788-05:00,2026-06-16T22:44:19.8839694-05:00,completed_exit_0,True,True,True,True,True,True,54,6,13,9,,
