cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,0.0011616802270879272
building_battery_health_equivalent_full_cycles_count,building,Building_1,301.5097719423708
building_battery_total_charge_kwh,building,Building_1,2172915.523718731
building_battery_total_discharge_kwh,building,Building_1,1895657.3388716201
building_battery_total_throughput_kwh,building,Building_1,4068572.862590351
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5321.7680187644355
building_cost_daily_average_control_eur,building,Building_1,5899.438811210457
building_cost_daily_average_delta_eur,building,Building_1,577.6707924460219
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.108548660973039
building_cost_total_baseline_eur,building,Building_1,1942223.5865149037
building_cost_total_control_eur,building,Building_1,2153049.3561413498
building_cost_total_delta_eur,building,Building_1,210825.76962644607
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.05233604291727022
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1403.1583251953125
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1409.558349609375
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1419.3360595703125
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,760.2703247070312
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,767.6703491210938
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,760.2703247070312
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7747.443710393645
building_emissions_daily_average_control_kgco2,building,Building_1,9849.270844631346
building_emissions_daily_average_delta_kgco2,building,Building_1,2101.8271342377
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.2712929855066875
building_emissions_total_baseline_kgco2,building,Building_1,2827494.144139081
building_emissions_total_control_kgco2,building,Building_1,3594573.472005248
building_emissions_total_delta_kgco2,building,Building_1,767079.3278661673
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4848.634523966117
building_energy_grid_daily_average_export_control_kwh,building,Building_1,6715.532471441436
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,1866.8979474753194
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10051.995154927265
building_energy_grid_daily_average_import_control_kwh,building,Building_1,12697.154929905808
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,2645.159774978543
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,5203.360630961148
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,5981.6224584643705
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,778.2618275032236
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.3850358153924587
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.2631477367636756
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.1495690732778339
building_energy_grid_total_export_baseline_kwh,building,Building_1,1769549.574809134
building_energy_grid_total_export_control_kwh,building,Building_1,2450889.5382231474
building_energy_grid_total_export_delta_kwh,building,Building_1,681339.9634140134
building_energy_grid_total_import_baseline_kwh,building,Building_1,3668559.398416996
building_energy_grid_total_import_control_kwh,building,Building_1,4633932.50129354
building_energy_grid_total_import_delta_kwh,building,Building_1,965373.102876544
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,1899009.823607862
building_energy_grid_total_net_exchange_control_kwh,building,Building_1,2183042.9630703926
building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,284033.1394625306
building_equity_benefit_relative_percent,building,Building_1,-10.854866097303896
building_ev_events_departure_count,building,Building_1,924.0
building_ev_events_departure_met_count,building,Building_1,381.0
building_ev_events_departure_within_tolerance_count,building,Building_1,48.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,0.3019644784403335
building_ev_performance_departure_success_ratio,building,Building_1,0.41233766233766234
building_ev_performance_departure_within_tolerance_ratio,building,Building_1,0.05194805194805195
building_ev_total_charge_kwh,building,Building_1,9080.561199592426
building_ev_total_v2g_export_kwh,building,Building_1,2305.615008566994
building_solar_self_consumption_daily_average_export_kwh,building,Building_1,4415.618475561011
building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,9424.330475569273
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_1,0.5314660827092561
building_solar_self_consumption_total_export_kwh,building,Building_1,1611516.7594766205
building_solar_self_consumption_total_generation_kwh,building,Building_1,3439487.9431463024
building_battery_health_capacity_fade_ratio,building,Building_10,0.0009854225048835613
building_battery_health_equivalent_full_cycles_count,building,Building_10,252.85782617247224
building_battery_total_charge_kwh,building,Building_10,633538.5697327846
building_battery_total_discharge_kwh,building,Building_10,556410.3602348698
building_battery_total_throughput_kwh,building,Building_10,1189948.9299676544
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,726.1035580067237
building_cost_daily_average_control_eur,building,Building_10,922.0070724889197
building_cost_daily_average_delta_eur,building,Building_10,195.90351448219604
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.2698010666963044
building_cost_total_baseline_eur,building,Building_10,264997.5443575372
building_cost_total_control_eur,building,Building_10,336494.16449710197
building_cost_total_delta_eur,building,Building_10,71496.6201395648
