action_dim,agent,agent_index,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_ratio_to_baseline,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_ratio_to_baseline,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_ratio_to_baseline,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_role_control,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio
6,Building_1,0,0.0007807039270292898,1473732.8669593325,1284656.2282656073,204.4159697069023,2758389.0952249398,2827493.4969008877,3375904.3155076206,548410.8186067329,1.1939565269408492,0.0,0.0,2289091.01521646,2504347.6918529863,215256.67663652636,1.094035875028836,-9.4035875028836,9827.713042838499,924.0,411.0,0.27795755854303444,0.4448051948051948,46.0,0.049783549783549784,2727.875077734003,1769549.5784708858,2264508.131467521,4848.634533999459,6204.840182123588,1356.2056481241295,494958.55299663544,1.2797087795778754,3668559.401064396,4359694.439516291,10051.995162181243,11945.731995477907,1893.7368332966644,691135.0384518951,2095186.3080487698,1.1883941250212193,net_importer,1899009.8225935102,2095186.3080487698,196176.48545525968,1.1033046186076796,61,0.04584074149520254,4576.201585186917,1670122.9035271753,9424.330475569273,3439487.9431463024,0.5144268765776177
8,Building_2,1,0.000375793652859905,30986.324674168904,26967.85750419441,118.75857003762974,57954.18217836331,22925.63700142881,39818.65491607727,16893.01791464846,1.7368614409098262,0.0,0.0,-2958.869624681634,-15232.6901802473,-12273.820555565666,5.148145106895778,,2225.4589706715196,542.0,196.0,0.26483900061946625,0.36162361623616235,33.0,0.06088560885608856,6.980552077293396,1957100.2469594479,1972605.1395163238,5362.530645853037,5405.014653315649,42.484007462612475,15504.892556875944,1.0079223803588826,29955.904001609888,51697.74453536328,82.0803397692245,141.65382678944158,59.57348702021708,21741.84053375339,-1920907.3949809605,1.7257948393940954,net_exporter,-1927144.342957838,-1920907.3949809605,6236.947976877447,0.9967636321588114,75,0.5824515496576427,5343.460456196323,1950140.4223259832,5410.909603423045,1974756.550682602,0.012465399012404794
10,Building_3,2,0.001375674663825552,944871.9177854159,824313.4530967098,374.3515384854265,1769185.3708821256,347248.6088230891,757248.851646617,410000.24282352795,2.1807109730781056,0.0,0.0,275250.2106366584,420202.6130566998,144952.40242004138,1.526620495892679,-52.66204958926789,22714.100471597165,2505.0,1263.0,0.22961711278380653,0.5041916167664671,87.0,0.03473053892215569,2302.0081407707185,1245031.6555633545,1654871.6887071729,3411.435064907011,4534.412664570402,1122.977599663391,409840.0331438184,1.3291804118493462,450183.90688323975,1000994.4951165318,1233.52137974629,2742.763772439407,1509.242392693117,550810.5882332921,-653877.193590641,2.2235234974229123,net_exporter,-794847.7486801147,-653877.193590641,140970.55508947372,0.8226445815270125,89,0.12479830648827218,2874.1511560854624,1048945.4156730236,4022.2526369037882,1467954.6186100116,0.2854374362974128
8,Building_4,3,0.002088267702085816,159912.92586603225,137130.0754419272,327.13986928189365,297043.00130795944,441071.3137422738,531975.7874141261,90904.47367185232,1.2060992652198856,0.0,0.0,363838.3978615573,402775.6941412636,38937.296279706294,1.107018106138765,-10.701810613876484,8915.942704897374,1426.0,809.0,0.19050872528975374,0.5673211781206171,104.0,0.0729312762973352,4.165828227996826,101734.20574080944,193588.03428270668,278.7556727685154,530.4387284832699,251.6830557147544,91853.82854189724,1.9028804802970136,583460.750736624,707009.2068674117,1598.7051053406756,1937.2326709462134,338.5275656055378,123548.45613078773,513421.17258470505,1.2117511006092643,net_importer,481726.54499581456,513421.17258470505,31694.627588890493,1.0657938158445595,75,0.09475185888700785,314.9806251625204,114954.80399160484,1690.947699404299,617125.4541284273,0.8137253888612378
5,Building_5,4,0.0023199909997451158,112966.52528551705,97581.24867063762,449.88840588921937,210547.77395615468,286562.0912615537,325392.53751294967,38830.44625139597,1.135504476814954,0.0,0.0,235066.99681192453,234636.86423753967,-430.13257438485743,0.9981701702909448,0.18298297090552593,1848.1512902434915,746.0,450.0,0.24784285368188239,0.6032171581769437,33.0,0.04423592493297587,1814.6864390707342,95855.28856758773,130459.62370792218,262.6472115106868,357.4644330391748,94.81722152848803,34604.33514033444,1.3610060087183908,373234.0953959562,423257.17204269394,1022.675909293635,1159.7410810622964,137.06517176866151,50023.076646737754,292797.54833477177,1.1340260101201882,net_importer,277378.80682836846,292797.54833477177,15418.741506403312,1.0555873092205774,54,0.46618826629064597,283.2004486425423,103356.3637358345,733.1778193012495,267579.35496915184,0.6137356570436833
34,Building_6,5,0.0014993325031592863,909985.5553425116,797808.4895544217,336.0476278821199,1707794.0448969333,2863570.4197607446,3043162.400396824,179591.98063607933,1.0627161041323665,0.0,0.0,2364695.680013675,2548657.574273609,183961.8942599343,1.0777951665471264,-7.779516654712647,31431.84666434303,7949.0,3691.0,0.24698983685611897,0.4643351364951566,589.0,0.07409737073845767,10438.078381312604,1415881.1209526062,1561029.5140081644,3879.5692319742607,4277.2814632030995,397.71223122883856,145148.3930555582,1.1025145338175724,3770429.0832164288,4048748.3093748093,10331.122045575328,11093.72752882697,762.605483251642,278319.2261583805,2487718.795366645,1.0738163270056669,net_importer,2354547.9622638226,2487718.795366645,133170.8331028223,1.0565589808477645,257,0.12975699484128392,4044.8028192083925,1476184.4955602628,13459.757425435582,4912250.637057927,0.6994891741834274
44,Building_7,6,0.0009142679267726886,254544.25263653634,223810.31800236093,243.06634686935837,478354.57063889725,53372.5834163588,109168.26807783358,55795.68466147478,2.04539973690637,0.0,0.0,28974.039323570643,-2972.486935084404,-31946.52625865505,-0.10259138885982871,110.25913888598288,25602.788152690977,7786.0,4242.0,0.22233882678310776,0.5448240431543796,417.0,0.05355766760852813,3127.941893365758,1931507.0632982254,1951599.2974614054,5292.404329165134,5347.457830696852,55.05350153171822,20092.234163179994,1.0104023612157393,70426.71832484007,143727.73223427683,192.97194197923983,393.8195654324288,200.847623453189,73301.01390943676,-1807871.5652271286,2.0408125730257534,net_exporter,-1861080.3449733853,-1807871.5652271286,53208.77974625677,0.9714097352701784,327,0.44095981405998347,4802.0664176810715,1752554.1563528543,5462.3447444872845,1993528.2340401718,0.12087818651002943
19,Building_8,7,0.0004067941846084089,82213.3972810288,71073.94026998118,127.52690312064057,153287.33755100996,35637.57701523016,77826.7093777355,42189.13236250534,2.183838405862309,0.0,0.0,-28693.9102602132,-50915.404586095785,-22221.494325882584,1.7744324187385074,,18320.15496419929,3726.0,1676.0,0.291125123212641,0.44981213097155126,157.0,0.04213633923778851,9500.649239929568,4944164.391328812,4978800.139289189,13547.202350940915,13642.10564481568,94.9032938747642,34635.747960377485,1.007005379517947,46984.47408892587,101579.18159627076,128.73928281016336,278.33090059487364,149.5916177847103,54594.707507344894,-4877220.957692918,2.161973366010555,net_exporter,-4897179.917239886,-4877220.957692918,19958.95954696741,0.9959243973298378,152,0.49361172025464795,13488.8452034718,4922866.464050395,13651.89850035546,4982374.123525562,0.01194363530313503
12,Building_9,8,0.0012171353538346311,49008.45894324298,42902.39357229368,333.01033520121973,91910.85251553665,21942.985223365573,29082.3238063585,7139.338582992928,1.3253585831790444,0.0,0.0,6248.62634335691,-10015.922210207951,-16264.548553564862,-1.6028998470769753,260.28998470769756,5903.852241750807,1847.0,1051.0,0.19953973778250492,0.5690308608554413,105.0,0.0568489442338928,1190.0068906064262,1078081.0139300823,1076525.3856331557,2953.983826272631,2949.7213443538917,-4.262481918739448,-1555.6282969266176,0.9985570395203829,28489.154744267464,37753.43788510561,78.06138986898266,103.4458852885643,25.384495419581633,9264.283140838146,-1038771.9477480501,1.3251863112120688,net_exporter,-1049591.8591858149,-1038771.9477480501,10819.911437764764,0.9896913153974365,103,0.7009707562163825,2868.0907838495223,1046733.6323224151,2999.344794388089,1094635.8772518863,0.04376089430736647
8,Building_10,9,0.0008929959442611954,580113.9982283427,509257.0529445897,231.48556123521726,1089371.0511729324,401856.2252711229,714761.6335762367,312905.4083051138,1.7786501455688635,0.0,0.0,349816.33588419686,517140.4360532773,167324.10016908043,1.4783198581797259,-47.831985817972594,17520.953400319442,1298.0,689.0,0.26843331746564264,0.5308166409861325,46.0,0.03543913713405239,5523.011890353577,2957304.5403900146,3300214.6690056324,8103.12923499947,9042.716298222991,939.5870632235217,342910.12861561775,1.1159536070540756,535679.1474924088,961444.1632354558,1467.7816577026842,2634.3943278514603,1166.612670148776,425765.015743047,-2338770.5057701766,1.7948134956085455,net_exporter,-2421625.392897606,-2338770.5057701766,82854.88712742925,0.965785423554595,75,0.1134216656389549,7902.214695068222,2883979.104754273,9620.309019882927,3511011.946048106,0.17859034686555347
