action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.34934301013613706,0.045416124165058136,-0.05655682024856409,-0.34396830201148987,Building_1,0,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3955773711204529,0.0,0.0,0.0,0.0,64,3.3307487396875985,1.0,0.22782231029123068,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
8,0.6987752072469756,0.5158532857894897,0.16009405627846718,0.0,Building_2,1,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4382081627845764,0.0,0.0,0.0,0.0,78,3.439892571638096,1.0,0.18993372985949883,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
10,1.0501730071478046,0.9232701063156128,0.1418730452656746,-0.2361651510000229,Building_3,2,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6328358054161072,0.0,0.0,0.0,0.0,92,3.559000617347573,1.0,0.17217715902496938,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
8,0.39395261738150417,0.2637265920639038,0.06384157948195934,-0.16442599892616272,Building_4,3,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6295672059059143,0.0,0.0,0.0,0.0,78,3.3870989743737416,1.0,0.18782016940605947,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
5,0.34352734012703817,0.23601815104484558,0.04751644805073738,-0.11103986948728561,Building_5,4,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6279494762420654,0.0,0.0,0.0,0.0,57,3.404618079126449,1.0,0.26465899183561925,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
34,1.632666242713509,0.929985761642456,0.1400104057701195,-0.619110643863678,Building_6,5,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6316262483596802,0.0,0.0,0.0,0.0,260,3.3487485668979837,1.0,0.0555148184299469,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
44,1.8392960643793794,0.6603547930717468,0.132006002553019,-0.2664494216442108,Building_7,6,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3953069746494293,0.0,0.0,0.0,0.0,330,3.4068228617919174,1.0,0.044432695255135046,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
19,0.5736639179757848,0.4182799160480499,0.07838553506390829,0.0,Building_8,7,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5097113847732544,0.0,0.0,0.0,0.0,155,3.4370792619502275,1.0,0.09556872537059169,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
12,1.228935768972414,0.8470447063446045,0.06444401045640309,-0.5913920402526855,Building_9,8,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4024182856082916,0.0,0.0,0.0,0.0,106,3.5221565516354554,1.0,0.1476500208647746,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
8,0.9491858497235419,0.5593069791793823,0.13724360521882772,-0.4907146394252777,Building_10,9,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6319040060043335,0.0,0.0,0.0,0.0,78,3.41046831519564,1.0,0.18884412112096563,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
