cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,2.290053856824729e-05
building_battery_health_equivalent_full_cycles_count,building,Building_1,5.436302502187883
building_battery_total_charge_kwh,building,Building_1,38091.34033203125
building_battery_total_discharge_kwh,building,Building_1,35266.12563249203
building_battery_total_throughput_kwh,building,Building_1,73357.46596452329
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,4699.440078664176
building_cost_daily_average_control_eur,building,Building_1,4707.496636293086
building_cost_daily_average_delta_eur,building,Building_1,8.056557628909962
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0017143654337646
building_cost_total_baseline_eur,building,Building_1,1715099.8187091467
building_cost_total_control_eur,building,Building_1,1718040.1265537976
building_cost_total_delta_eur,building,Building_1,2940.3078446509317
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.0031112991298824205
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1154.2685546875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1154.2685546875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1154.2685546875
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,806.4163818359375
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,806.4163818359375
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,806.4163818359375
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7887.084725796343
building_emissions_daily_average_control_kgco2,building,Building_1,7935.777041684603
building_emissions_daily_average_delta_kgco2,building,Building_1,48.69231588825948
