action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.0,0.0,0.0,0.0,Building_1,0,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6136631369590759,0.0,0.0,0.0,0.0,64,3.3577597477089904,1.0,0.23042235290631652,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
8,0.0,0.0,0.0,0.0,Building_2,1,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3813338577747345,0.0,0.0,0.0,0.0,78,3.4376437151253847,1.0,0.1897521145068682,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
10,0.0,0.0,0.0,0.0,Building_3,2,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6084463000297546,0.0,0.0,0.0,0.0,92,3.4887570242072528,1.0,0.16846223669531551,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
8,0.0,0.0,0.0,0.0,Building_4,3,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5432252287864685,0.0,0.0,0.0,0.0,78,3.3591575230485495,1.0,0.1857439806828132,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
5,1.0,1.0,0.2,0.0,Building_5,4,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6023526191711426,0.0,0.0,0.0,0.0,57,3.408860923220715,1.0,0.26529201512273987,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
34,0.0,0.0,0.0,0.0,Building_6,5,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6110776662826538,0.0,0.0,0.0,0.0,260,3.3441238566589377,1.0,0.0554000008564729,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
44,0.0,0.0,0.0,0.0,Building_7,6,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3820022642612457,0.0,0.0,0.0,0.0,330,3.4213122604749406,1.0,0.044704238212469855,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
19,0.0,0.0,0.0,0.0,Building_8,7,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3814317286014557,0.0,0.0,0.0,0.0,155,3.4337719953419636,1.0,0.09544202627674225,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
12,0.0,0.0,0.0,0.0,Building_9,8,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4078514277935028,0.0,0.0,0.0,0.0,106,3.5358181068969246,1.0,0.1486065556418221,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
8,0.0,0.0,0.0,0.0,Building_10,9,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.44095370173454285,0.0,0.0,0.0,0.0,78,3.3901943482486256,1.0,0.18743645656519595,0.0,0.0,0.0,-0.49715620279312134,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E3,-0.0,1907,14.167615435476593,1.0,0.1339188169040407,0.0,1
