cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,3.836046554752765e-05
building_battery_health_equivalent_full_cycles_count,building,Building_1,10.197869316168976
building_battery_total_charge_kwh,building,Building_1,75244.5313813067
building_battery_total_discharge_kwh,building,Building_1,62365.51717107747
building_battery_total_throughput_kwh,building,Building_1,137610.04855238416
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5319.384804969691
building_cost_daily_average_control_eur,building,Building_1,5348.2113684900005
building_cost_daily_average_delta_eur,building,Building_1,28.826563520309378
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0054191536384767
building_cost_total_baseline_eur,building,Building_1,1941353.8127803968
building_cost_total_control_eur,building,Building_1,1951874.3073584964
building_cost_total_delta_eur,building,Building_1,10520.494578099577
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.003035222536017965
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1242.59326171875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1242.59326171875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1242.59326171875
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,816.7035522460938
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,816.7035522460938
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,816.7035522460938
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7743.915477710682
building_emissions_daily_average_control_kgco2,building,Building_1,7825.562222580018
building_emissions_daily_average_delta_kgco2,building,Building_1,81.64674486933596
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0105433414277751
building_emissions_total_baseline_kgco2,building,Building_1,2826206.486219494
building_emissions_total_control_kgco2,building,Building_1,2856004.146149099
building_emissions_total_delta_kgco2,building,Building_1,29797.659929604735
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4848.433800097238
building_energy_grid_daily_average_export_control_kwh,building,Building_1,4917.092423050599
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,68.6586229533607
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10047.506003815068
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10152.198128767708
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,104.6921249526401
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,5199.072203717829
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,5235.105705717108
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,36.0335019992794
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.014160990081371
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.0104197126045895
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.0069307562171403
building_energy_grid_total_export_baseline_kwh,building,Building_1,1769476.3189604878
building_energy_grid_total_export_control_kwh,building,Building_1,1794533.855562508
building_energy_grid_total_export_delta_kwh,building,Building_1,25057.536602020264
building_energy_grid_total_import_baseline_kwh,building,Building_1,3666921.045309007
building_energy_grid_total_import_control_kwh,building,Building_1,3705129.308744848
building_energy_grid_total_import_delta_kwh,building,Building_1,38208.26343584061
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,1897444.7263485193
building_energy_grid_total_net_exchange_control_kwh,building,Building_1,1910595.4531823397
building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,13150.726833820343
