action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.0,0.0,0.0,0.0,Building_1,0,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6248896718025208,0.0,0.0,0.0,0.0,64,3.4032373745722064,1.0,0.23433534312061965,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
8,0.0,0.0,0.0,0.0,Building_2,1,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.39936283230781555,0.0,0.0,0.0,0.0,78,3.534141038624539,1.0,0.19591247901702538,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
10,0.0,0.0,0.0,0.0,Building_3,2,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5793590545654297,0.0,0.0,0.0,0.0,92,3.5982962453216794,1.0,0.1742645238890596,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
8,0.0,0.0,0.0,0.0,Building_4,3,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.555717945098877,0.0,0.0,0.0,0.0,78,3.463142878295858,1.0,0.19208376243328437,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
5,0.0,0.0,0.0,0.0,Building_5,4,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6133602261543274,0.0,0.0,0.0,0.0,57,3.5405233111378633,1.0,0.2761082198274763,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
34,1.0,1.0,0.029411764705882353,0.0,Building_6,5,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6238221526145935,0.0,0.0,0.0,0.0,260,3.449954214434505,1.0,0.057746728194447663,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
44,0.0,0.0,0.0,0.0,Building_7,6,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4163851737976074,0.0,0.0,0.0,0.0,330,3.5142911167338355,1.0,0.046113666756586597,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
19,0.0,0.0,0.0,0.0,Building_8,7,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.40357810258865356,0.0,0.0,0.0,0.0,155,3.5329666574623926,1.0,0.09864698504247973,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
12,0.0,0.0,0.0,0.0,Building_9,8,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4241236746311188,0.0,0.0,0.0,0.0,106,3.643685578846734,1.0,0.15300965583268203,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
8,0.0,0.0,0.0,0.0,Building_10,9,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5882795453071594,0.0,0.0,0.0,0.0,78,3.4911085898562524,1.0,0.19432776698317283,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
