action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.5945677909948657,0.4303787350654602,0.1603994481265545,-0.15269039571285248,Building_1,0,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5478569865226746,0.0,0.0,0.0,0.0,64,3.3589630357845968,1.0,0.22888496820814908,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
8,0.49741736775207473,0.34127575159072876,0.10190034098923206,0.0,Building_2,1,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4978038966655731,0.0,0.0,0.0,0.0,78,3.442606004502914,1.0,0.1888200948253656,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
10,1.2210470752468654,0.8585923910140991,0.1317369133234024,-0.6336172819137573,Building_3,2,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.542495846748352,0.0,0.0,0.0,0.0,92,3.492401949635191,1.0,0.1675066846706297,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
8,0.8903083773354457,0.30640164017677307,0.04398526810109615,-0.7290518879890442,Building_4,3,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.46252211928367615,0.0,0.0,0.0,0.0,78,3.3096832489758117,1.0,0.1792693038781484,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
5,1.3684001527229435,0.8561626076698303,0.0038745224475860594,-0.9363221526145935,Building_5,4,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4658178985118866,0.0,0.0,0.0,0.0,57,3.3750120512979147,1.0,0.25899784750582877,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
34,2.260096667478653,0.9055833220481873,0.21675154473632574,-0.2887745201587677,Building_6,5,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5475568175315857,0.0,0.0,0.0,0.0,260,3.3546233970081034,1.0,0.0552618482365058,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
44,3.3810681844149024,0.9636587500572205,0.28280706877227535,-0.7350247502326965,Building_7,6,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5378733277320862,0.0,0.0,0.0,0.0,330,3.4332746145239748,1.0,0.04458081175883611,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
19,1.6342621590309747,0.7211023569107056,0.06017896493798808,-0.8892513513565063,Building_8,7,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5345567464828491,0.0,0.0,0.0,0.0,155,3.4462486494750233,1.0,0.09521765353218202,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
12,1.284654650177608,0.9128114581108093,0.1770308205547432,-0.13919511437416077,Building_9,8,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4414910674095154,0.0,0.0,0.0,0.0,106,3.5243743896578588,1.0,0.14693641845347746,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
8,1.6402918645223028,0.8906030654907227,-0.020982863381505013,-0.8007701635360718,Building_10,9,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.46251553297042847,0.0,0.0,0.0,0.0,78,3.36496091388098,1.0,0.1841591515291769,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
5,1.4341117676282724,0.8499338030815125,0.0640706717967987,-0.9079853892326355,Building_11,10,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4625937342643738,0.0,0.0,0.0,0.0,57,3.5291055986649775,1.0,0.27641228508008153,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
5,1.4449220665077245,0.9355893731117249,0.23943508565425872,-0.7374213337898254,Building_12,11,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.46251535415649414,0.0,0.0,0.0,0.0,57,3.4512402846142933,1.0,0.26926423360904056,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
13,1.3543731018076766,0.897722065448761,0.09306985025222485,-0.8210108876228333,Building_13,12,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4627649784088135,0.0,0.0,0.0,0.0,113,3.378838778259225,1.0,0.1269007875064833,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
6,1.5680665972940528,0.9042853713035583,-0.008761356274286905,-0.6790646910667419,Building_14,13,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4636695683002472,0.0,0.0,0.0,0.0,64,3.410065797377653,1.0,0.22687888354994357,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
10,1.8194330739586817,0.9985559582710266,0.457508784532547,0.0,Building_15,14,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5055567622184753,0.0,0.0,0.0,0.0,92,3.4368589234877533,1.0,0.1601808522220539,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
13,0.9911080198037021,0.714249849319458,0.13099328715067643,-0.15258729457855225,Building_16,15,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4634021818637848,0.0,0.0,0.0,0.0,113,3.3677918326633476,1.0,0.12767449799364647,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
13,1.2216956371563361,0.7125523686408997,0.016985646807230435,-0.6008077263832092,Building_17,16,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.46264350414276123,0.0,0.0,0.0,0.0,113,3.4565320150948176,1.0,0.13505096364337787,0.0,0.0,0.0,-0.4896256625652313,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.101411620464562,1.0,0.13198714049637522,0.0,1
6,0.8773616496065099,0.2565498352050781,-0.15444351236025491,-0.6360555291175842,Building_1,0,MATD3,0.7900000214576721,True,412.7886962890625,0.0,0.0,0.32958081364631653,0,8758,0.0,0.0,-0.0,8758,0.0,804.3753662109375,-0.871466338634491,356.0585632324219,635.45654296875,804.3753662109375,391.586669921875,64,3.3156027204673713,1.0,0.22174953995272517,0.0,0.0,0.0,-0.8169944882392883,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.06246673550344,1.0,0.13140996719413112,0.0,8759
8,0.7961408994046424,0.5269593596458435,0.026462307199835777,-0.5256354808807373,Building_2,1,MATD3,0.7900000214576721,True,-3.2356910705566406,0.0,0.0,0.32958081364631653,0,8758,0.0,0.0,-0.0,8758,3.050830602645874,0.0,-0.7530539631843567,-1.116669774055481,0.0,-3.050830602645874,0.1848604679107666,78,3.4344698199319605,1.0,0.18801875450672248,0.0,0.0,0.0,-0.8169944882392883,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.06246673550344,1.0,0.13140996719413112,0.0,8759
