action_dim,action_l2_max,action_l2_mean,action_l2_min,action_l2_total,action_mean_max,action_mean_mean,action_mean_min,action_mean_total,agent,agent_index,agent_steps,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_max,carbon_emissions_mean,carbon_emissions_min,carbon_emissions_ratio_to_baseline,carbon_emissions_total,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_max,electricity_cost_mean,electricity_cost_min,electricity_cost_ratio_to_baseline,electricity_cost_total,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_max,grid_export_mean,grid_export_min,grid_export_ratio_to_baseline,grid_export_total,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_max,grid_import_mean,grid_import_min,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_import_total,grid_role_control,individual_reward_max,individual_reward_mean,individual_reward_min,individual_reward_total,net_electricity_consumption_max,net_electricity_consumption_mean,net_electricity_consumption_min,net_electricity_consumption_total,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,observation_l2_max,observation_l2_mean,observation_l2_min,observation_l2_total,observation_mean_max,observation_mean_mean,observation_mean_min,observation_mean_total,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio,team_reward_max,team_reward_mean,team_reward_min,team_reward_total
6,2.23606797749979,1.9518227574387599,0.5945677909948657,202.98956677363103,0.6666666666666666,0.42382471965482604,-0.15444351236025491,44.077770844101906,Building_1,0,104,1.0767238735323404e-06,3607.206620061799,0.22671499664284056,0.26733610012290215,3607.433335058442,3030865.32813443,3037816.863275349,6951.535140919033,635.45654296875,172.76153417734,0.0,1.0022935810035472,17967.19955444336,0.0,0.0,2078479.4164374112,2083098.2791571794,4618.862719768193,414.4009704589844,104.38959547189566,-299.6203918457031,1.0022222316387839,10856.517929077148,-0.22222316387838423,7693.142107978463,924.0,239.0,0.4304939190060837,0.25865800865800864,3.0,0.003246753246753247,1617.9369363021106,1695040.3149769902,1694551.3501631916,4644.476259783967,4643.136477213906,-1.3397825700614208,-488.964813798666,703.340087890625,27.051541841947117,0.0,0.9997115320447082,2813.3603515625,3933214.8340954483,3942408.150240302,10777.16132187359,10802.351364969432,25.190043095843354,9193.31614485383,804.3753662109375,218.68548202514648,0.0,2247856.8000771105,1.0023373541829348,22743.290130615234,net_importer,-0.0013505487004294991,-0.6945330821024702,-0.9419326782226562,-72.2314405386569,804.3753662109375,191.63394018319937,-703.340087890625,19929.929779052734,2238174.519118458,2247856.8000771105,9682.280958652496,1.0043259722939148,61,4.881796805565297,3.4427082796387176,2.8462006686494816,358.04166108242663,0.48734564741607755,0.25088488759530053,0.2079296944430098,26.092028309911257,0.043837335188312704,4643.136477213906,1694551.3501631916,9423.774936602624,3439285.194570932,0.5072954831317513,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
8,2.449489742783178,1.950303297179113,0.49741736775207473,202.83154290662776,0.5,0.28388337404108965,0.026462307199835777,29.523870900273323,Building_2,1,104,1.0135843135443435e-06,129.90249228477478,0.0006519272321980907,0.26619496764755524,129.90314421200696,42172.01484781022,42274.63760347385,102.6227556636295,30.56639289855957,3.6074625300959897,0.0,1.0024334325982283,375.17610312998295,0.0,0.0,2073.9738851675193,1940.6168985392142,-133.3569866283051,16.482498168945312,2.2231201584665823,-1.2996430397033691,0.9356997754012059,231.20449648052454,6.43002245987941,354.17428172007203,542.0,82.0,0.49144185278245306,0.15129151291512916,1.0,0.0018450184501845018,590.8579978803173,1942218.6416897774,1942455.3267712593,5321.754469751645,5322.402996062362,0.6485263107165665,236.6850814819336,3.050830602645874,0.11733963856330284,0.0,1.0001218632528808,12.203322410583496,54831.44349391386,54961.34569127485,150.24028357734133,150.5962206405522,0.3559370632108481,129.90219736099243,38.69163513183594,4.566408146745884,0.0,-1887493.9810799845,1.0023691186859855,474.9064472615719,net_exporter,-0.033154986798763275,-0.5349013486232322,-0.8591238260269165,-55.62974025681615,38.69163513183594,4.449068508182581,-3.050830602645874,462.7031248509884,-1887387.1981958635,-1887493.9810799845,-106.78288412094116,1.0000565770946328,75,4.049272300776775,3.4893416170050253,3.0027894510815365,362.89152816852265,0.25503940565081745,0.19921928475791392,0.17340367048596725,20.718805614823047,0.5004345264224559,5321.991841648196,1942305.2725415227,5410.27260765378,1974524.0737683107,0.01631724913097641,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
10,2.8284271247461903,2.4582530556452786,1.2210470752468654,255.65831778710896,0.5078979134559631,0.17237868824830424,0.0,17.92738357782364,Building_3,2,104,5.175720780113001e-07,0.0,664.1392211914062,0.14052882378150788,664.1392211914062,566378.606657473,565265.6573728323,-1112.949284640723,403.20184326171875,56.68110726429866,0.0,0.998034972946438,5894.835155487061,0.0,0.0,382631.19970173546,381672.3030267893,-958.8966749461833,257.850830078125,35.89448697750385,0.0,0.9974939401813191,3733.0266456604004,0.2506059818680892,4229.520744848996,2505.0,967.0,0.35881574067021993,0.38602794411177643,19.0,0.007584830339321357,4672.786993610673,1096978.9225805402,1096703.0121589303,3005.7648295390986,3005.008824273813,-0.7560052652856588,-275.91042160987854,0.0,0.0,0.0,0.9997484815652056,0.0,735363.0812840462,733979.7640225887,2014.9233874662757,2011.1330444733567,-3.7903429929191277,-1383.3172614574432,510.3820495605469,71.74823445540208,0.0,-362723.2481363416,0.9981188649571012,7461.816383361816,net_exporter,-0.01846461556851864,-0.6732512302159404,-0.9671918153762817,-70.0181279424578,510.3820495605469,71.74823445540208,0.0,7461.816383361816,-361615.841296494,-362723.2481363416,-1107.4068398475647,1.0030623847558149,89,4.895103050893885,3.581626733265115,3.164331960912585,372.4891802595719,0.3246307912606584,0.18370617732955033,0.14604751976287883,19.105442442273233,0.04753486352548581,3003.6059514711624,1096191.0220389962,4021.784787548937,1467783.873089214,0.25316591758712687,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
8,2.449489742783178,2.0987172527185107,0.8903083773354457,218.26659428272512,0.375,0.15025263021771723,0.0,15.626273542642593,Building_4,3,104,7.144626566726839e-07,0.0,129.38999938964844,0.14249999932780666,129.38999938964844,414450.7272421262,414537.59060944617,86.86336731998017,128.20790100097656,16.79359197616577,0.0,1.0002095867170941,1746.5335655212402,0.0,0.0,279917.5510944992,279884.9551527966,-32.59594170260243,72.49254608154297,10.697603482466478,0.0,0.9998835516330608,1112.5507621765137,0.011644836693929976,2697.514974117279,1426.0,686.0,0.3129676980522209,0.48106591865357645,18.0,0.012622720897615708,1669.818962175399,115706.22584861517,114920.64650662243,317.03955021883365,314.8870323277701,-2.152517891063553,-785.5793419927359,0.0,0.0,0.0,0.9932105698182521,0.0,548602.9291822314,548715.6558686495,1503.193321198031,1503.5021966945528,0.3088754965216755,112.72668641805649,162.28848266601562,21.257711062064537,0.0,433795.00936202705,1.0002054795561994,2210.801950454712,net_importer,-0.010331854224205017,-0.6767412071975951,-0.8970227837562561,-70.38108554854989,162.28848266601562,21.257711062064537,0.0,2210.801950454712,432896.70333361626,433795.00936202705,898.3060284107924,1.0020751048032779,75,4.6176309459877585,3.392141988244103,3.071454168466019,352.7827667773867,0.3416953752868069,0.19692784000435637,0.1691554550988934,20.480495360453062,0.07634181069446604,314.58303418568056,114809.699851349,1690.7490262760814,617052.9467146748,0.8139386571887858,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
5,2.0,1.5806510565111127,0.40351072189022735,164.38770987715571,0.23464540243148804,0.07315472934681636,-0.2,7.608091852068901,Building_5,4,104,7.144627025006704e-07,0.0,66.69000244140625,0.14250000521668002,66.69000244140625,298106.3303656467,296690.09617010225,-1416.2341955444426,47.60701370239258,18.891890929295467,0.0,0.9952492313940219,1964.7566566467285,0.0,0.0,203527.3721923865,202577.32636556926,-950.0458268172515,32.089271545410156,12.449306414677547,0.0,0.9953320980043942,1294.7278671264648,0.466790199560583,0.0,746.0,0.0,0.5798508996364289,0.0,0.0,0.0,1813.6751131638885,93436.97610653192,93524.25635088235,256.0209414952353,256.2600927527317,0.23915125749633526,87.28024435043335,0.0,0.0,0.0,1.0009341081870085,0.0,387403.9467859566,385610.8617016971,1061.5018521364264,1056.5887294029833,-4.913122733443115,-1793.08508425951,60.26204299926758,23.91378611784715,0.0,292086.60535081476,0.9953715363533707,2487.0337562561035,net_importer,-0.0334247462451458,-0.7041125662553196,-0.9010183215141296,-73.22770689055324,60.26204299926758,23.91378611784715,0.0,2487.0337562561035,293966.9706794247,292086.60535081476,-1880.3653286099434,0.9936034809479991,54,4.037917682412414,3.592076317140147,3.120106939371082,373.5759369825753,0.3726594641543271,0.29844700913249755,0.24475126059954627,31.038488949779747,0.264760029552976,256.2600927527317,93524.25635088235,733.0908640694852,267547.6199326925,0.6504388401047617,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
34,4.358898943540674,3.683416543934093,1.7410735013528051,383.0753205691457,0.38235294117647056,0.26795868071378737,0.104349836049711,27.867702794233885,Building_6,5,104,7.144626582826694e-07,0.0,724.1849975585938,0.14249999951959735,724.1849975585938,4064359.983069598,4072979.1689618826,8619.185892284382,286.6831970214844,145.3762752826397,0.0,1.002120674824127,15119.132629394531,0.0,0.0,2756560.437901012,2762082.2513633748,5521.813462362625,193.23736572265625,95.96811661353478,0.0,1.0020031534177307,9980.684127807617,-0.20031534177306917,24601.083665251732,7949.0,2743.0,0.35810385259276606,0.3450748521826645,131.0,0.016480060384954084,3727.186319041066,720818.1339964867,712621.8176486492,1975.0696673039938,1952.6114423527322,-22.458224951261418,-8196.316347837448,0.0,0.0,0.0,0.9886291479621996,0.0,5349549.492727518,5361502.891610146,14657.97326469465,14690.726041630724,32.75277693607258,11953.398882627487,362.8901062011719,184.02059584397537,0.0,4648881.073961496,1.002234468322777,19138.141967773438,net_importer,-0.03343316540122032,-0.7126227645561672,-0.9038087129592896,-74.11276751384139,362.8901062011719,184.02059584397537,0.0,19138.141967773438,4628731.358731031,4648881.073961496,20149.715230464935,1.004353183122727,257,7.080912213454401,3.687947844620383,3.0599406051205134,383.54657584051984,0.24644712110479863,0.07281998313103043,0.051065247484411186,7.573278245627164,0.09700820550236174,1951.1617265135776,712092.7317721844,13459.392933609184,4912117.612728451,0.8550334523898645,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
44,5.000191071883268,4.429125341767402,3.041463785175372,460.62903554380983,0.5237207315354184,0.4210516795380875,0.26082950618795375,43.7893746719611,Building_7,6,104,1.1109469755911789e-06,523.6122240451477,0.0,0.26606312197416043,523.6122240451477,81807.26752018444,91954.8555799853,10147.588059800866,14.741594314575195,4.050475404812739,0.0,1.1240426231972256,421.2494421005249,0.0,0.0,31705.851334236897,38897.876362536364,7192.0250282994675,9.936497688293457,-1.2830173854644482,-78.27924346923828,1.2268358907156456,-133.4338080883026,-22.683589071564562,17457.822829430923,7786.0,3265.0,0.3172780487198229,0.4193424094528641,144.0,0.018494734138196762,2943.3344661183655,1925670.1087745428,1924247.676911123,5276.410847195916,5272.513328675301,-3.897518520615719,-1422.4318634197116,183.75563049316406,9.420783116267277,0.0,0.9992613314934171,979.7614440917969,106309.10091785342,119924.74738021195,291.29106313831284,328.5984629666728,37.307399828359955,13615.646462358534,18.660245895385742,5.127183962326783,0.0,-1804322.9295309111,1.1280760193135255,533.2271320819855,net_exporter,0.003407513489946723,-0.548490575355782,-0.9244996905326843,-57.04301983700134,18.660245895385742,-4.2935991539404945,-183.75563049316406,-446.5343120098114,-1819361.0078566894,-1804322.9295309111,15038.078325778246,0.9917344176000046,327,9.30393733438125,3.8339536917174843,2.8364979562407426,398.73118393861836,0.3204008044392774,0.06476738691188302,0.03936133181506937,6.735808238835835,0.06387003150034459,5272.497052049695,1924241.73662097,5461.700587381629,1993293.143536487,0.034641872490970546,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
19,3.4641016151377544,3.04942131032359,1.6342621590309747,317.13981627365337,0.31430979739678533,0.15638832651410509,0.05263157894736842,16.264385957466928,Building_8,7,104,5.180825980298289e-07,0.0,169.09834671020508,0.14068082089035364,169.09834671020508,64170.653059066855,62266.562183983624,-1904.0908750832314,68.9165267944336,8.037683583222902,0.0,0.9703276999015331,835.9190926551819,0.0,0.0,-29220.342152103163,-31171.31619449007,-1950.974042386908,37.16227340698242,4.930198307220753,0.0,1.0667676659031347,512.7406239509583,,3839.3417687695473,3726.0,1099.0,0.4153532698471667,0.29495437466451957,48.0,0.01288244766505636,6462.487257473171,4931206.452826977,4931509.075898409,13511.697096454784,13512.526295417492,0.8291989627092965,302.62307143211365,0.0,0.0,0.0,1.0000613689721425,0.0,84055.47210544534,81565.87086919136,230.31525636838546,223.49365234165919,-6.821604026726275,-2489.601236253977,87.2361068725586,10.17428265626614,0.0,-4849943.2050292175,0.9703814496082915,1058.1253962516785,net_exporter,0.014073788188397884,-0.5692612100661231,-0.9015374183654785,-59.2031658468768,87.2361068725586,10.17428265626614,0.0,1058.1253962516785,-4847150.980721531,-4849943.2050292175,-2792.2243076860905,1.0005760547420106,152,6.448306722981996,3.6626246140689207,2.8282516546611602,380.91295986316777,0.34187597569919403,0.11791634156603235,0.08414719571028986,12.263299522867365,0.14332800314035346,13511.286523112778,4931056.610664368,13651.35586672918,4982176.084861703,0.010260471193031816,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
12,2.6457513110645907,2.3421555211838494,1.268688200725391,243.58417420312034,0.4166666666666667,0.2698574425825754,0.08333333333333333,28.06517402858784,Building_9,8,104,5.244037609692395e-07,0.0,38.87544536590576,0.14085306291994842,38.87544536590576,21464.354979154497,22021.59855979681,557.2435806423127,1.9360077381134033,0.8020683893790612,0.0,1.0259613476008709,83.41511249542236,0.0,0.0,8.540559228199683,312.35469463563396,303.81413540743426,1.304956316947937,-0.11912787075226124,-10.965814590454102,36.573096244597686,-12.389298558235168,-3557.3096244597687,3373.1118268873543,1847.0,942.0,0.27848860460625685,0.5100162425554954,40.0,0.02165674066053059,1205.4518980681896,1076906.894991815,1075482.9613813758,2950.76669480575,2946.8650614400067,-3.9016333657430318,-1423.9336104393005,25.74156379699707,1.5487407537607045,0.0,0.9986777560650216,161.06903839111328,27916.52883064747,28621.379292726517,76.49237263791977,78.4236902643494,1.9313176264296332,704.8504620790482,2.4506425857543945,1.0152764045275176,0.0,-1046861.5820886493,1.0252484994232252,105.58874607086182,net_exporter,0.004556488711386919,-0.4741461436541823,-0.7164256572723389,-49.311198940034956,2.4506425857543945,-0.5334643492331872,-25.74156379699707,-55.480292320251465,-1048990.3661611676,-1046861.5820886493,2128.7840725183487,0.9979706352496747,103,4.759042130425085,3.673942966331413,3.0403954572875094,382.09006849846696,0.2766531390612418,0.16409883618943466,0.1300724650610168,17.066278963701205,1.0340533049128033,2946.6389049834447,1075400.4236979163,2998.9932380636274,1094507.573841638,0.017457302809387575,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
8,2.6457513110645907,2.4365724806962996,0.8878495676041593,253.40353799241518,0.625,0.30710435526158947,-0.09021007735282183,31.938852947205305,Building_10,9,104,5.815762564030512e-07,0.0,662.9605941772461,0.14087560437255547,662.9605941772461,401161.28657262906,408750.34898480773,7589.062412178668,40.80316925048828,11.9325573352667,0.0,1.018917733754961,1240.9859628677368,0.0,0.0,253042.6543115182,258269.98933006622,5227.3350185480085,27.503170013427734,-0.47328326335320103,-164.23492431640625,1.0206579204315203,-49.22145938873291,-2.0657920431520176,15170.41975074634,1298.0,848.0,0.24458320042188605,0.6533127889060092,16.0,0.012326656394453005,3205.4006411880255,2986503.1617366374,2985540.0482634604,8183.134590898425,8180.495622596535,-2.638968301889137,-963.1134731769562,385.5312194824219,19.99163114107572,0.0,0.9996775113164063,2079.129638671875,532716.1705421805,543055.1147777438,1459.6629858445408,1487.9920943790219,28.329108534480955,10338.944235563278,51.64957809448242,15.104502311119667,0.0,-2442484.9334857166,1.0194079789713173,1570.8682403564453,net_exporter,0.006064129993319511,-0.6298301904104077,-0.9019150137901306,-65.5023398026824,51.64957809448242,-4.887128829956055,-385.5312194824219,-508.2613983154297,-2453786.991194457,-2442484.9334857166,11302.057708740234,0.9953940347107152,75,5.34862890509918,3.5478160627140527,2.95471494954694,368.9728705222615,0.47446617187979895,0.21392054258781684,0.17623050472675225,22.247736429132953,0.08173548883872658,8178.880866868704,2984950.7297042906,9619.92756907753,3510872.73239792,0.1497980823515712,-0.03536484017968178,-0.6100700069935276,-0.8712729215621948,-63.44728072732687
