cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,5.483388814696288e-07
building_battery_health_equivalent_full_cycles_count,building,Building_1,0.14046993343250935
building_battery_total_charge_kwh,building,Building_1,0.0
building_battery_total_discharge_kwh,building,Building_1,1895.5012817382812
building_battery_total_throughput_kwh,building,Building_1,1895.5012817382812
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,7706.264842866765
building_cost_daily_average_control_eur,building,Building_1,7719.535108117038
building_cost_daily_average_delta_eur,building,Building_1,13.270265250273567
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0017220100166369
building_cost_total_baseline_eur,building,Building_1,2812465.5732779163
building_cost_total_control_eur,building,Building_1,2817308.6671665474
building_cost_total_delta_eur,building,Building_1,4843.0938886310905
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.030909600175511812
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1474.1529541015625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1469.7529296875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1462.3529052734375
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,0.0
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,0.0
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,0.0
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,8304.688546404239
building_emissions_daily_average_control_kgco2,building,Building_1,8315.341838486678
building_emissions_daily_average_delta_kgco2,building,Building_1,10.653292082439382
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0012828045293827
building_emissions_total_baseline_kgco2,building,Building_1,3030865.2907481133
building_emissions_total_control_kgco2,building,Building_1,3034753.2984710336
building_emissions_total_delta_kgco2,building,Building_1,3888.0077229202725
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4644.476368753452
building_energy_grid_daily_average_export_control_kwh,building,Building_1,4645.567797959947
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,1.0914292064945044
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10777.161182681099
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10791.814522778284
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,14.65334009718631
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,6132.684813927646
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,6146.246724818338
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,13.561910890691806
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.0002349951038263
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.0013596660427362
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.0022114149515546
building_energy_grid_total_export_baseline_kwh,building,Building_1,1695040.354746312
building_energy_grid_total_export_control_kwh,building,Building_1,1695438.6809304655
building_energy_grid_total_export_delta_kwh,building,Building_1,398.3261841535568
building_energy_grid_total_import_baseline_kwh,building,Building_1,3933214.783295989
building_energy_grid_total_import_control_kwh,building,Building_1,3938562.6418756247
building_energy_grid_total_import_delta_kwh,building,Building_1,5347.85857963562
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,2238174.428549677
building_energy_grid_total_net_exchange_control_kwh,building,Building_1,2243123.960945159
building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,4949.532395482063
building_equity_benefit_relative_percent,building,Building_1,-0.17220100166369276
building_ev_events_departure_count,building,Building_1,924.0
building_ev_events_departure_met_count,building,Building_1,478.0
building_ev_events_departure_within_tolerance_count,building,Building_1,13.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,0.2876065862684726
