action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.5945677909948657,0.4303787350654602,0.1603994481265545,-0.15269039571285248,Building_1,0,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5512087941169739,0.0,0.0,0.0,0.0,64,3.3654141929703423,1.0,0.23108727810904384,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
8,0.49741736775207473,0.34127575159072876,0.10190034098923206,0.0,Building_2,1,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4682742953300476,0.0,0.0,0.0,0.0,78,3.4489007113453503,1.0,0.19062711833379206,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
10,1.2210470752468654,0.8585923910140991,0.1317369133234024,-0.6336172819137573,Building_3,2,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5492937564849854,0.0,0.0,0.0,0.0,92,3.498607064575076,1.0,0.16903872634081737,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
8,0.8903083773354457,0.30640164017677307,0.04398526810109615,-0.7290518879890442,Building_4,3,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.313325971364975,0.0,0.0,0.0,0.0,78,3.316230272919846,1.0,0.18107632738657486,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
5,1.3684001527229435,0.8561626076698303,0.0038745224475860594,-0.9363221526145935,Building_5,4,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3914641737937927,0.0,0.0,0.0,0.0,57,3.3814325900252844,1.0,0.26147061651735976,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
34,2.260096667478653,0.9055833220481873,0.21675154473632574,-0.2887745201587677,Building_6,5,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5511016249656677,0.0,0.0,0.0,0.0,260,3.361082883570879,1.0,0.055803955289033744,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
44,3.3810681844149024,0.9636587500572205,0.28280706877227535,-0.7350247502326965,Building_7,6,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5474861860275269,0.0,0.0,0.0,0.0,330,3.4395863985679576,1.0,0.045007926406282366,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
19,1.6342621590309747,0.7211023569107056,0.06017896493798808,-0.8892513513565063,Building_8,7,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5449894070625305,0.0,0.0,0.0,0.0,155,3.452536715009323,1.0,0.09612699439448695,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
12,1.284654650177608,0.9128114581108093,0.1770308205547432,-0.13919511437416077,Building_9,8,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3194979727268219,0.0,0.0,0.0,0.0,106,3.530523311487286,1.0,0.14826611499741393,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
8,1.6402918645223028,0.8906030654907227,-0.020982863381505013,-0.8007701635360718,Building_10,9,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3133120834827423,0.0,0.0,0.0,0.0,78,3.371400594178281,1.0,0.18596617503760335,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
5,1.4341117676282724,0.8499338030815125,0.0640706717967987,-0.9079853892326355,Building_11,10,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3134939670562744,0.0,0.0,0.0,0.0,57,3.535246291421213,1.0,0.2788850540916125,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
5,1.4449220665077245,0.9355893731117249,0.23943508565425872,-0.7374213337898254,Building_12,11,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.31331178545951843,0.0,0.0,0.0,0.0,57,3.4575192720538084,1.0,0.27173700262057154,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
13,1.3543731018076766,0.897722065448761,0.09306985025222485,-0.8210108876228333,Building_13,12,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.31392431259155273,0.0,0.0,0.0,0.0,113,3.3852520591452624,1.0,0.12814811346805202,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
6,1.5680665972940528,0.9042853713035583,-0.008761356274286905,-0.6790646910667419,Building_14,13,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.31682002544403076,0.0,0.0,0.0,0.0,64,3.4164204596220054,1.0,0.22908119345083833,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
10,1.8194330739586817,0.9985559582710266,0.457508784532547,0.0,Building_15,14,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.48682424426078796,0.0,0.0,0.0,0.0,92,3.4431641370164665,1.0,0.16171289389224155,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
13,0.9911080198037021,0.714249849319458,0.13099328715067643,-0.15258729457855225,Building_16,15,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.315787672996521,0.0,0.0,0.0,0.0,113,3.374226110181844,1.0,0.12892182395521518,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
13,1.2216956371563361,0.7125523686408997,0.016985646807230435,-0.6008077263832092,Building_17,16,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3136163055896759,0.0,0.0,0.0,0.0,113,3.4628014072213826,1.0,0.13629828960494658,0.0,0.0,0.0,-0.4072783589363098,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.127535876291914,1.0,0.13324362354418512,0.0,1
6,0.8773616496065099,0.2565498352050781,-0.15444351236025491,-0.6360555291175842,Building_1,0,MATD3,0.7900000214576721,True,412.7886962890625,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,804.3753662109375,-0.7756189107894897,427.270263671875,635.45654296875,804.3753662109375,391.586669921875,64,3.324301316238406,1.0,0.22406766563653946,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
8,0.7961408994046424,0.5269593596458435,0.026462307199835777,-0.5256354808807373,Building_2,1,MATD3,0.7900000214576721,True,-3.2356910705566406,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,3.050830602645874,0.0,-0.5289185643196106,-1.3400037288665771,0.0,-3.050830602645874,0.1848604679107666,78,3.4428681045310516,1.0,0.18992080634985214,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
10,1.5044436751332317,0.9680898785591125,0.31819097250699996,-0.09422618895769119,Building_3,2,MATD3,0.7900000214576721,True,471.3732604980469,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,510.3820495605469,-0.7814797163009644,265.8584289550781,403.20184326171875,510.3820495605469,39.0087890625,92,3.3172735111071088,1.0,0.1556180786827336,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
8,1.1712286929231106,0.9688475728034973,0.2600725516676903,0.0,Building_4,3,MATD3,0.7900000214576721,True,125.61652374267578,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,162.28848266601562,-0.7794409394264221,74.74382019042969,128.20790100097656,162.28848266601562,36.671958923339844,78,3.2674427554522008,1.0,0.178082070289514,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
5,0.40351072189022735,0.21524152159690857,0.0321686178445816,-0.26700371503829956,Building_5,4,MATD3,0.7900000214576721,True,0.10532480478286743,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,52.354835510253906,-0.747839093208313,22.99559783935547,41.360321044921875,52.354835510253906,54.225337982177734,57,3.6095588099745237,1.0,0.2966157895954032,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
34,1.7410735013528051,0.8519611358642578,0.104349836049711,-0.7580738663673401,Building_6,5,MATD3,0.7900000214576721,True,-7.191686563601252e-06,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,348.8946838378906,-0.7492823600769043,177.1966552734375,275.6268005371094,348.8946838378906,348.8946838378906,260,3.257788911795185,1.0,0.05323160754946562,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
44,3.565852678493495,0.9916324615478516,0.26082950618795375,-0.9622515439987183,Building_7,6,MATD3,0.7900000214576721,True,-64.1648178100586,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,61.184730529785156,0.0,-0.5406062006950378,-26.873916625976562,0.0,-61.184730529785156,2.9800872802734375,330,3.3752490876408774,1.0,0.04367623363028873,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
19,1.7785569114732676,0.8997445702552795,0.23867293800178327,-0.7076694369316101,Building_8,7,MATD3,0.7900000214576721,True,25.594768524169922,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,31.794137954711914,-0.7469911575317383,13.964807510375977,25.11737060546875,31.794137954711914,6.199369430541992,155,3.522804397704816,1.0,0.09968979185627352,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
12,1.8306783564442524,0.8852435946464539,0.2130873774488767,-0.980928897857666,Building_9,8,MATD3,0.7900000214576721,True,-27.876632690429688,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,25.74156379699707,0.0,-0.5304638743400574,-11.306360244750977,0.0,-25.74156379699707,2.135068893432617,106,3.6711651436394384,1.0,0.160482774927931,0.0,0.0,0.0,-0.6575254201889038,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E3,-0.0,1907,14.097334995916595,1.0,0.13273252657745044,0.0,8759
