algorithm,scenario,cost_function,level,name,value
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_1,2.290053856824729e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_1,5.436302502187883
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_10,8.669824448366132e-06
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_10,2.841611434987465
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_11,1.0619593726898154e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_11,2.676641314382871
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_12,3.179804926064128e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_12,8.344986275707411
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_13,3.150709952012341e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_13,8.066727103656998
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_14,4.362831599857648e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_14,12.154769566759832
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_15,1.580672231114022e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_15,4.106881103097336
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_16,2.0536250505429007e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_16,5.173468127659008
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_17,4.553481111221608e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_17,11.839577807290166
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_2,3.728376781976585e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_2,9.663422568861549
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_3,2.948825155857286e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_3,7.592046439497532
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_4,4.236777883618799e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_4,7.185667132716791
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_5,5.0430199642356944e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_5,10.29966549617284
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_6,5.807964042242324e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_6,11.453142827771666
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_7,1.1498146569110538e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_7,3.5015199656911142
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_8,1.244586709263466e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_8,3.146468530229284
MAAC,E1,building_battery_health_capacity_fade_ratio,building,Building_9,3.333054277217231e-05
MAAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_9,8.946188356099897
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_1,3.359824654442564e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_1,9.215719293414407
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_10,4.575637953765075e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_10,11.562588485672546
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_11,5.525492349946679e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_11,14.03722512055082
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_12,2.9051302087562244e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_12,8.344607779720318
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_13,4.5045045581141895e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_13,10.897997520474664
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_14,4.907804142805029e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_14,12.786959644721394
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_15,2.8355892523563854e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_15,7.31652908147002
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_16,3.653762923713253e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_16,10.156265999190222
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_17,5.230221096552961e-05
MAAC,E2,building_battery_health_equivalent_full_cycles_count,building,Building_17,13.248599477742156
MAAC,E2,building_battery_health_capacity_fade_ratio,building,Building_2,2.1203776968757697e-05
