algorithm,scenario,building,action_count,controlled_bess_actions,controlled_ev_charger_actions,other_controlled_actions,uncontrolled_non_shiftable_load_observed,observed_variable_count,controlled_action_variables,ID,Edificio,Tipo,Area_m2,Carga_base_medida_MWh,Maquina_controlada_MWh,Maquina_controlada_pico_kW,Maquina_controlada_count,EV_load_total_MWh,EV_load_peak_kW,PV_schema_kWp,BESS_schema_kWh,BESS_schema_kW,AC_pico_cooling_demand_kWth,controlled_load_mwh_dataset_audit,uncontrolled_base_load_mwh_dataset_audit,vehicle_predominant,total_chargers,mode3_physical_units,mode3_socket_count,total_kw,parking_capped
MAAC,E1,Building_1,6,1,4,1,True,61,electric_vehicle_storage_charger_1_1; electric_vehicle_storage_charger_1_2; electric_vehicle_storage_charger_1_3; electric_vehicle_storage_charger_1_4; electrical_storage; washing_machine_1,B01,ELECTRO ORIENTE S.A.,Office,14000.0,17223.342,11.588,6.66,1,143.215,21.8,3360.2,6747.0,1609.0,439.049,154.803,17223.342,Mixed_Motos_Trucks,4,2,4,21.8,False
MAAC,E1,Building_10,8,1,6,1,True,75,electric_vehicle_storage_charger_10_1; electric_vehicle_storage_charger_10_2; electric_vehicle_storage_charger_10_3; electric_vehicle_storage_charger_10_4; electric_vehicle_storage_charger_10_5; electric_vehicle_storage_charger_10_6; electrical_storage; washing_machine_10,B10,GOBIERNO REGIONAL DE LORETO,Office,14295.73,3619.905,17.383,13.32,1,200.773,36.6,3431.1,2353.0,591.0,827.981,218.156,3619.905,Motos_Staff,6,3,6,36.6,False
MAAC,E1,Building_11,5,1,3,1,True,54,electric_vehicle_storage_charger_11_1; electric_vehicle_storage_charger_11_2; electric_vehicle_storage_charger_11_3; electrical_storage; washing_machine_11,B11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,42649.33,2808.177,80.008,29.2,1,130.72,14.4,10236.1,1901.0,424.0,477.163,210.728,2808.177,Emergency_Ambulances,3,2,4,14.4,False
MAAC,E1,Building_12,5,1,3,1,True,54,electric_vehicle_storage_charger_12_1; electric_vehicle_storage_charger_12_2; electric_vehicle_storage_charger_12_3; electrical_storage; washing_machine_12,B12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,18197.48,6950.829,37.812,13.8,1,132.003,14.4,4367.5,4346.0,960.0,963.002,169.815,6950.829,Ambulances_Staff,3,2,4,14.4,False
MAAC,E1,Building_13,13,1,11,1,True,110,electric_vehicle_storage_charger_13_1; electric_vehicle_storage_charger_13_10; electric_vehicle_storage_charger_13_11; electric_vehicle_storage_charger_13_2; electric_vehicle_storage_charger_13_3; electric_vehicle_storage_charger_13_4; electric_vehicle_storage_charger_13_5; electric_vehicle_storage_charger_13_6; electric_vehicle_storage_charger_13_7; electric_vehicle_storage_charger_13_8; electric_vehicle_storage_charger_13_9; electrical_storage; washing_machine_13,B13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,2723.0,211.826,11.588,8.88,1,165.199,41.4,653.8,272.0,69.0,70.422,176.787,211.826,Motos_Students,11,6,12,41.4,False
MAAC,E1,Building_14,6,1,4,1,True,61,electric_vehicle_storage_charger_14_1; electric_vehicle_storage_charger_14_2; electric_vehicle_storage_charger_14_3; electric_vehicle_storage_charger_14_4; electrical_storage; washing_machine_14,B14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,17761.0,134.013,51.512,18.8,1,142.397,21.8,4262.9,229.0,48.0,30.052,193.909,134.013,Heavy_Cargo_Trucks,4,2,4,21.8,False
MAAC,E1,Building_15,10,1,8,1,True,89,electric_vehicle_storage_charger_15_1; electric_vehicle_storage_charger_15_2; electric_vehicle_storage_charger_15_3; electric_vehicle_storage_charger_15_4; electric_vehicle_storage_charger_15_5; electric_vehicle_storage_charger_15_6; electric_vehicle_storage_charger_15_7; electric_vehicle_storage_charger_15_8; electrical_storage; washing_machine_15,B15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,9889.92,518.325,18.322,12.87,1,147.068,31.4,2373.8,500.0,104.0,86.822,165.39000000000001,518.325,Bicycles_Motos,8,4,8,31.4,False
MAAC,E1,Building_16,13,1,11,1,True,110,electric_vehicle_storage_charger_16_1; electric_vehicle_storage_charger_16_10; electric_vehicle_storage_charger_16_11; electric_vehicle_storage_charger_16_2; electric_vehicle_storage_charger_16_3; electric_vehicle_storage_charger_16_4; electric_vehicle_storage_charger_16_5; electric_vehicle_storage_charger_16_6; electric_vehicle_storage_charger_16_7; electric_vehicle_storage_charger_16_8; electric_vehicle_storage_charger_16_9; electrical_storage; washing_machine_16,B16,SIMA - IQUITOS S.R.LTDA,Industrial,10294.0,1898.807,40.121,23.058,1,195.675,41.4,2470.8,1622.0,357.0,408.439,235.79600000000002,1898.807,Heavy_Industrial_Cranes,11,6,12,41.4,False
MAAC,E1,Building_17,13,1,11,1,True,110,electric_vehicle_storage_charger_17_1; electric_vehicle_storage_charger_17_10; electric_vehicle_storage_charger_17_11; electric_vehicle_storage_charger_17_2; electric_vehicle_storage_charger_17_3; electric_vehicle_storage_charger_17_4; electric_vehicle_storage_charger_17_5; electric_vehicle_storage_charger_17_6; electric_vehicle_storage_charger_17_7; electric_vehicle_storage_charger_17_8; electric_vehicle_storage_charger_17_9; electrical_storage; washing_machine_17,B17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,1611.23,1183.356,28.825,10.52,1,194.179,41.4,386.9,737.0,158.0,185.377,223.004,1183.356,Medical_Pickups,11,6,12,41.4,False
MAAC,E1,Building_2,8,1,6,1,True,75,electric_vehicle_storage_charger_2_1; electric_vehicle_storage_charger_2_2; electric_vehicle_storage_charger_2_3; electric_vehicle_storage_charger_2_4; electric_vehicle_storage_charger_2_5; electric_vehicle_storage_charger_2_6; electrical_storage; washing_machine_2,B02,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,8000.0,204.512,27.875,21.36,1,15.106,24.4,1920.0,244.0,50.0,80.731,42.981,204.512,Motos_Motokars,6,3,6,24.4,False
