algorithm,scenario,episode,steps,global_step_min,global_step_max,district_net_electricity_consumption_kwh,district_cost,district_emission,district_without_storage_kwh,reward_mean,reward_sum
MAAC,E1,0,8760,0,8759,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5901762890098425,-87889.05295934575
MAAC,E1,1,8760,8760,17519,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6158340938365912,-91710.01325414516
MAAC,E1,2,8760,17520,26279,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6214699934294116,-92549.31142150797
MAAC,E1,3,8760,26280,35039,1173.2463188022375,536.7918117120862,926.8646198958158,1171.8289429992435,-0.5887203280144205,-87672.2312479075
MAAC,E1,4,8760,35040,43799,1359.4058272838593,541.5187790989876,1124.1488407850266,1442.494648694992,-0.6148209665559623,-91559.13833951391
MAAC,E1,5,8760,43800,52559,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6197123447469262,-92287.56237971224
MAAC,E1,6,8760,52560,61319,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5872629086589058,-87455.19235748425
MAAC,E1,7,8752,61320,70071,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6141767113086881,-91379.66781535186
MAAC,E1,8,8760,70080,78839,1292.7245819196105,591.456336401403,1021.2524503692983,1171.8289444074037,-0.5857070844125036,-87223.49901071005
MAAC,E1,9,8760,78840,87599,1442.4946460723877,574.6171867251396,1139.570809006691,1442.494648694992,-0.61424755313666,-91473.74561311142
MAAC,E1,10,8757,87600,96356,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.620201454174458,-92328.77028149739
MAAC,E1,11,8760,96360,105119,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5854646997930286,-87187.40309317783
MAAC,E1,12,8760,105120,113879,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6126887445160125,-91241.60783332458
MAAC,E1,13,8760,113880,122639,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6184372879624299,-92097.68092336506
MAAC,E1,14,8760,122640,131399,1173.1428894847631,536.7444899752736,926.7829107493162,1171.8289429992435,-0.5851158590868252,-87135.45373521
MAAC,E1,15,8760,131400,140159,1361.4782378673551,542.3443248867989,1124.1488407850266,1442.494648694992,-0.612993943769927,-91287.05810621753
MAAC,E1,16,8760,140160,148919,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6178685858812752,-92012.98980943952
MAAC,E1,17,8760,148920,157679,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5855630536827356,-87202.049954433
MAAC,E1,18,8760,157680,166439,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6126111153007132,-91230.04729058221
MAAC,E1,19,8760,166440,175199,1389.3468096256256,919.6447373628616,1130.6716096401217,1433.715667963028,-0.6177036253450032,-91988.42388637789
MAAC,E1,20,8760,175200,183959,785.6097504720092,359.43762731552124,873.2478264793754,1171.828958235681,-0.5852160178355609,-87150.36937607173
MAAC,E1,21,8760,183960,192719,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6121384919411609,-91159.66421987768
MAAC,E1,22,8760,192720,201479,532.119371175766,352.22362875938416,988.3797512054444,1433.7156846523285,-0.6190885510797438,-92194.66702679545
MAAC,E1,23,8760,201480,210239,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5860118925903146,-87268.89104454964
MAAC,E1,24,8760,210240,218999,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6112615766062335,-91029.07398820028
MAAC,E1,25,8745,219000,227744,1374.4367122650146,909.7753609418868,1130.4318118095398,1433.715669631958,-0.6175844301151995,-91813.18930307613
MAAC,E1,26,8760,227760,236519,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5844288248600668,-87033.14059816115
MAAC,E1,27,8760,236520,245279,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6117170838902802,-91096.90813294053
MAAC,E1,28,8760,245280,254039,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6185628484434886,-92116.37939020433
MAAC,E1,29,8760,254040,262799,1173.150351509452,536.7479040697217,926.7888057678938,1171.8289429992435,-0.585381488820759,-87175.01131518744
MAAC,E1,30,8760,262800,271559,1361.494000196457,542.3506138920784,1124.1488407850266,1442.494648694992,-0.6123242536469864,-91187.32785310922
MAAC,E1,31,8760,271560,280319,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6177232990346501,-91991.35369224008
MAAC,E1,32,8760,280320,289079,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5851290992442009,-87137.42545944639
MAAC,E1,33,8760,289080,297839,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.613007820634805,-91289.12464893516
MAAC,E1,34,8760,297840,306599,1433.7155361175537,949.0135642290116,1132.635306954384,1433.7156693935394,-0.6183967119030249,-92091.63833659847
MAAC,E1,35,8760,306600,315359,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5855620873117071,-87201.90604245942
MAAC,E1,36,8760,315360,324119,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6123340502775755,-91188.78676733654
MAAC,E1,37,8760,324120,332879,543.7648179531097,359.9320638179779,988.3797512054444,1433.7156846523285,-0.6196145562958993,-92272.99972358532
MAAC,E1,38,8747,332880,341626,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5862138274466363,-87169.40992748737
MAAC,E1,39,8760,341640,350399,1171.828929387033,536.1433178409934,925.744882248342,1171.828942976892,-0.584833151916867,-87093.35298345983
MAAC,E1,40,8760,350400,359159,1442.4946007728577,574.617168366909,1139.5707720518112,1442.494648694992,-0.6123142001430396,-91185.83068530145
MAAC,E1,41,8760,359160,367919,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6199636652215158,-92324.98902478814
MAAC,E1,42,8760,367920,376679,1173.255333408713,536.7959361150861,926.8717414587736,1171.8289429992435,-0.5865720391388319,-87352.30806855485
MAAC,E1,43,8760,376680,385439,1357.4678008556366,540.7467740178108,1124.1487492322922,1442.494652509689,-0.6136279890933564,-91381.48013578262
MAAC,E1,44,8760,385440,394199,1433.7156693935394,949.0136524438858,1132.6354122161863,1433.7156693935394,-0.6196508009789924,-92278.39728179155
MAAC,E1,45,8760,394200,402959,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5863474134151658,-87318.85680578649
MAAC,E1,46,8760,402960,411719,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.6135889525661355,-91375.6668161489
MAAC,E1,47,8760,411720,420479,1405.355638742447,930.2414090633392,1130.6716096401217,1433.7156698703766,-0.619451847127264,-92248.76907419215
MAAC,E1,48,8760,420480,429239,1171.828942976892,536.1433240398765,925.744892977178,1171.828942976892,-0.5858474200349046,-87244.39779159799
MAAC,E1,49,8749,429240,437988,1442.494648694992,574.6171877980232,1139.5708111524582,1442.494648694992,-0.613195339604192,-91202.38244535029
MAAC,E2,0,8760,0,8759,1292.7243988141418,688.3699874766171,1021.2523054108024,1171.8289444074037,-0.5117970278910983,-76216.81339354235
MAAC,E2,1,8760,8760,17519,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5276548273727347,-78578.35689234766
MAAC,E2,2,8760,17520,26279,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5338700148763145,-79503.92261538075
MAAC,E2,3,8760,26280,35039,1173.2463220208883,624.7484433054924,926.8646223992108,1171.8289429992435,-0.5119963745710402,-76246.50010111931
MAAC,E2,4,8760,35040,43799,1413.407870054245,752.633423447609,1124.1488407850266,1442.494648694992,-0.5277581635428972,-78593.74571480825
MAAC,E2,5,8760,43800,52559,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5335961320186586,-79463.13598021865
MAAC,E2,6,8760,52560,61319,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5121681774595345,-76272.08498727388
MAAC,E2,7,8752,61320,70071,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5274129886270718,-78470.61409989024
MAAC,E2,8,8760,70080,78839,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5116219696961583,-76190.74372715189
MAAC,E2,9,8760,78840,87599,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5277609250944436,-78594.15696506455
MAAC,E2,10,8757,87600,96356,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5339684196918764,-79491.34467110994
MAAC,E2,11,8760,96360,105119,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5116550955697007,-76195.67683223983
MAAC,E2,12,8760,105120,113879,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5275918060049496,-78568.97175025709
MAAC,E2,13,8760,113880,122639,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5338114388599219,-79495.19947501957
MAAC,E2,14,8760,122640,131399,1173.1623973697424,624.7037537693977,926.79832200706,1171.8289429992435,-0.5118066089008383,-76218.24019751285
MAAC,E2,15,8760,131400,140159,1361.4774901866913,724.9807134270668,1124.1488407850266,1442.494648694992,-0.5274189895895754,-78543.23592967958
MAAC,E2,16,8760,140160,148919,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5334769842866612,-79445.39249996959
MAAC,E2,17,8760,148920,157679,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5120197097123974,-76249.97517037022
MAAC,E2,18,8760,157680,166439,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.527354796999978,-78533.67636923672
MAAC,E2,19,8760,166440,175199,1433.7155392169952,763.4471570253372,1132.635309457779,1433.7156693935394,-0.5334546293841695,-79442.06340789053
MAAC,E2,20,8760,175200,183959,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5121021323318762,-76262.24954686301
MAAC,E2,21,8760,183960,192719,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5277787039077766,-78596.8045859461
MAAC,E2,22,8760,192720,201479,1137.639619588852,605.7880427837372,988.3797512054444,1433.7156693935394,-0.5337856024005878,-79491.35190949554
MAAC,E2,23,8760,201480,210239,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5122131670803356,-76278.78484160357
MAAC,E2,24,8760,210240,218999,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5274042979074091,-78541.04804437136
MAAC,E2,25,8745,219000,227744,1433.709894657135,763.4441512823105,1132.6308500766754,1433.7156693935394,-0.5331517178004087,-79261.00012679776
MAAC,E2,26,8760,227760,236519,1294.2664291486144,689.1911163218319,1022.470506094396,1171.8289444074037,-0.5114318994227176,-76162.4384620311
MAAC,E2,27,8760,236520,245279,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5273257372548379,-78529.34879199046
MAAC,E2,28,8760,245280,254039,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5338771653215634,-79504.98745968723
MAAC,E2,29,8760,254040,262799,1173.1623849719765,624.7037472128868,926.7983122318984,1171.8289429992435,-0.5116354590742883,-76192.75256534302
MAAC,E2,30,8760,262800,271559,1359.504658460617,723.9301877617836,1124.1488407850266,1442.494648694992,-0.5272623130540416,-78519.90366000787
MAAC,E2,31,8760,271560,280319,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.533382756356851,-79431.36007666224
MAAC,E2,32,8760,280320,289079,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5117544899413077,-76210.47864205955
MAAC,E2,33,8760,289080,297839,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5275034697398087,-78555.81671365231
MAAC,E2,34,8760,297840,306599,1433.7155392169952,763.4471570253372,1132.635309457779,1433.7156693935394,-0.5336320790765543,-79468.48921608047
MAAC,E2,35,8760,306600,315359,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5118476438365493,-76224.35112013893
MAAC,E2,36,8760,315360,324119,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5278822697578601,-78612.22761234053
MAAC,E2,37,8760,324120,332879,1151.493898153305,613.1653831005096,988.3797512054444,1433.7156693935394,-0.5337243877654989,-79482.2358260381
MAAC,E2,38,8747,332880,341626,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5121687385546526,-76158.9792543383
MAAC,E2,39,8760,341640,350399,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5113138028926756,-76144.85152677725
MAAC,E2,40,8760,350400,359159,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.527322446093089,-78528.8586721828
MAAC,E2,41,8760,359160,367919,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5338977307367767,-79508.0500613208
MAAC,E2,42,8760,367920,376679,1173.241894826293,624.7460858225822,926.8611249178648,1171.8289429992435,-0.511683208330953,-76199.86338464553
MAAC,E2,43,8760,376680,385439,1359.5047500133514,723.9302435517311,1124.1488407850266,1442.494648694992,-0.5273705245676006,-78536.01851860707
MAAC,E2,44,8760,385440,394199,1433.7156693935394,763.4472264051437,1132.6354122161863,1433.7156693935394,-0.5334308310822081,-79438.51936476244
MAAC,E2,45,8760,394200,402959,1171.828942976892,623.9936952479184,925.744892977178,1171.828942976892,-0.5117561754689337,-76210.72965083361
MAAC,E2,46,8760,402960,411719,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5275272757788116,-78559.36190898063
MAAC,E2,47,8760,411720,420479,1433.7155361175537,763.4471553564072,1132.635306954384,1433.7156693935394,-0.5336676285194848,-79473.78323912168
MAAC,E2,48,8760,420480,429239,1086.3287598714232,578.465230204165,873.2478264793754,1171.828942976892,-0.5119776707619665,-76243.71472987205
MAAC,E2,49,8749,429240,437988,1442.494648694992,768.121980547905,1139.5708111524582,1442.494648694992,-0.5277731741774441,-78497.28751493379
MAAC,E3,0,8760,0,8759,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.525818035216677,-78304.82180446755
MAAC,E3,1,8760,8760,17519,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5425975139470239,-80803.62177699081
MAAC,E3,2,8760,17520,26279,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5510281711066376,-82059.11524120046
MAAC,E3,3,8760,26280,35039,1173.1513917297125,644.0980451032519,926.7896274775268,1171.8289429992435,-0.5260876935436103,-78344.97932251444
MAAC,E3,4,8760,35040,43799,1359.5029799938202,649.8689695000648,1124.1488407850266,1442.494648694992,-0.5425519251002843,-80796.83268593434
MAAC,E3,5,8760,43800,52559,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5505331295172755,-81985.39364771267
MAAC,E3,6,8760,52560,61319,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5260514475888374,-78339.58157492966
MAAC,E3,7,8752,61320,70071,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5421176230138837,-80658.42842249767
MAAC,E3,8,8760,70080,78839,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5253566748558218,-78236.11601952898
MAAC,E3,9,8760,78840,87599,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5422440283811623,-80750.98070652268
MAAC,E3,10,8757,87600,96356,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5510442571089145,-82033.40751154699
MAAC,E3,11,8760,96360,105119,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5253977795300546,-78242.23732761573
MAAC,E3,12,8760,105120,113879,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5420738763785914,-80725.64167029984
MAAC,E3,13,8760,113880,122639,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5508915368807321,-82038.76767227864
MAAC,E3,14,8760,122640,131399,1173.2462919801474,644.1501484438777,926.8645986765624,1171.8289429992435,-0.5256124991211116,-78274.21336911595
MAAC,E3,15,8760,131400,140159,1359.5047500133514,649.8698244690895,1124.1488407850266,1442.494648694992,-0.5420700849126654,-80725.07704519414
MAAC,E3,16,8760,140160,148919,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5502501850474886,-81943.257557272
MAAC,E3,17,8760,148920,157679,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5258729295559338,-78312.99666946966
MAAC,E3,18,8760,157680,166439,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5417912079477062,-80683.54668757241
MAAC,E3,19,8760,166440,175199,1433.7155361175537,1138.8162618875504,1132.635306954384,1433.7156693935394,-0.5503844582558507,-81963.25352346127
MAAC,E3,20,8760,175200,183959,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.525663594045537,-78281.82242526137
MAAC,E3,21,8760,183960,192719,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5422065180652932,-80745.39467028347
MAAC,E3,22,8760,192720,201479,1137.639619588852,903.6398549079896,988.3797512054444,1433.7156693935394,-0.5505652636516364,-81990.17906300169
MAAC,E3,23,8760,201480,210239,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5262573294628416,-78370.24150360638
MAAC,E3,24,8760,210240,218999,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5416786509701544,-80666.7847024754
MAAC,E3,25,8745,219000,227744,1412.8913040161133,1122.2753247022629,1130.4318118095398,1433.715669631958,-0.5500937393686588,-81779.68576324165
MAAC,E3,26,8760,227760,236519,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5251472782170725,-78204.93267208645
MAAC,E3,27,8760,236520,245279,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5417073115605485,-80671.0528375969
MAAC,E3,28,8760,245280,254039,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.550622311984098,-81998.67470067187
MAAC,E3,29,8760,254040,262799,1173.1409562677145,644.0923157259822,926.7813835591078,1171.8289429992435,-0.5254960123263164,-78256.86615563503
MAAC,E3,30,8760,262800,271559,1346.0628745555878,643.4443565011024,1124.1488407850266,1442.4946448802948,-0.5419594455585118,-80708.60063257358
MAAC,E3,31,8760,271560,280319,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5502879415268641,-81948.88025218059
MAAC,E3,32,8760,280320,289079,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5254341807570457,-78247.65819833924
MAAC,E3,33,8760,289080,297839,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5417746739943917,-80681.08445124481
MAAC,E3,34,8760,297840,306599,1433.7155392169952,1138.8162643909454,1132.635309457779,1433.7156693935394,-0.5502774119072933,-81947.31218123411
MAAC,E3,35,8760,306600,315359,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5255541150930683,-78265.51881965973
MAAC,E3,36,8760,315360,324119,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5420844121195109,-80727.21065283756
MAAC,E3,37,8760,324120,332879,1179.9626321792605,937.2574919462204,988.3797504901886,1433.7156693935394,-0.5506697682562725,-82005.7418887241
MAAC,E3,38,8747,332880,341626,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.526292534335744,-78259.1735631908
MAAC,E3,39,8760,341640,350399,1171.828942976892,643.3719779960811,925.744892977178,1171.828942976892,-0.5248192921266143,-78156.0889834954
MAAC,E3,40,8760,350400,359159,1442.494648694992,689.5406326055527,1139.5708111524582,1442.494648694992,-0.5415060836179317,-80641.0859723824
MAAC,E3,41,8760,359160,367919,1433.7156693935394,1138.8163677453997,1132.6354122161863,1433.7156693935394,-0.5509945603833987,-82054.10993229572
MAAC,E3,42,8760,367920,376679,1173.140896782279,644.0922830626369,926.7813364714384,1171.8289429992435,-0.5254143179556776,-78244.7002299595
