algorithm,scenario,episodes,steps_total,district_net_kwh_mean,district_net_kwh_std,district_cost_mean,district_cost_std,district_emission_mean,district_emission_std,district_without_storage_kwh_mean,reward_mean,reward_sum_mean
HAPPO,E1,49,429212,797.4093603640795,727.3426438878382,463.71590350857196,406.75260660453546,1046.351788518076,320.20571133269266,1335.0343644713262,-0.6302595084115008,-93852.2445024023
HAPPO,E2,49,429212,-15.089161221470151,906.0627598775893,195.4503256909131,272.4652289904375,883.002641347598,287.0341449376863,1335.034361393476,-0.48419581147869617,-72101.83719486328
HAPPO,E3,49,429212,343.2630646066094,926.311877853552,352.5740728388179,381.71262806025305,839.7167802971541,478.54020174086,1335.0343612044746,-0.5208137955889047,-77554.63615483971
MAAC,E1,50,437950,1292.1506537368894,210.26350895494573,642.6126307360828,186.17272601513562,1054.3330277088285,100.88818739165711,1342.421301853955,-0.6051573274768176,-90109.69194542863
MAAC,E2,50,437950,1328.6001442602276,129.2359100801353,707.4736682274192,68.81755039398551,1056.3903547742964,99.38122954609373,1342.4213009050488,-0.5237155915828978,-77982.78995615136
MAAC,E3,50,437950,1324.2074344184994,128.55644509923212,795.3938091005385,211.95614407345911,1053.5495461061596,100.8662920552721,1342.4213007763028,-0.5386707870532432,-80209.65829030896
MASAC,E1,50,437950,1315.9096471722423,206.03782285967904,664.7389367564023,184.82815667669797,1076.4802792163193,119.53255455343071,1358.3100839979948,-0.6133306039931887,-91326.72915288173
MASAC,E2,50,437950,1317.8763321526349,208.82211203627966,701.7632863809913,111.19684717215631,1078.3684531803428,121.10072678518515,1358.3100851471722,-0.525538344918139,-78254.192194306
MASAC,E3,50,437950,1346.5106387980281,190.13732572040485,812.1612727615982,206.37617819223811,1082.9016804261505,121.88778160232701,1358.3100837357342,-0.5409329828482119,-80546.48855658127
MATD3,E1,50,437988,1253.4642660140992,384.526477034867,631.505827665329,252.72637335614104,1129.2368299338223,237.63504269406624,1342.5968783560395,-0.6330435627356475,-94270.15236599623
MATD3,E2,50,437988,1257.2070309495925,385.4322277773666,669.4571524357796,205.24095150289168,1132.1936166521907,236.7844866778913,1342.5968783560395,-0.5336253446673433,-79465.28416932077
MATD3,E3,50,437988,1255.8789700317384,385.1221443360125,759.2885912102461,303.87941031021415,1131.144450955093,237.09785777234615,1342.5968783560395,-0.5503890034083294,-81961.66004591167
