algorithm,scenario,file,exists,bytes,path
MASAC,E1,timeseries.csv,True,106300979,outputs/_drive_madrl/full_data/MASAC/E1/data/timeseries.csv
MASAC,E1,trace.csv,True,694793,outputs/_drive_madrl/full_data/MASAC/E1/data/trace.csv
MASAC,E1,building_kpis.csv,True,112113,outputs/_drive_madrl/full_data/MASAC/E1/data/building_kpis.csv
MASAC,E1,building_behavior_summary.csv,True,28472,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MASAC/E1/data/building_observation_action_schema.csv
MASAC,E1,building_trace_sample.csv,True,50032,outputs/_drive_madrl/full_data/MASAC/E1/data/building_trace_sample.csv
MASAC,E1,checkpoint_manifest.json,True,10076,outputs/_drive_madrl/full_data/MASAC/E1/data/checkpoint_manifest.json
MASAC,E1,results.json,True,200069,outputs/_drive_madrl/full_data/MASAC/E1/data/results.json
MASAC,E1,training_summary.json,True,179051,outputs/_drive_madrl/full_data/MASAC/E1/data/training_summary.json
MASAC,E2,timeseries.csv,True,106302228,outputs/_drive_madrl/full_data/MASAC/E2/data/timeseries.csv
MASAC,E2,trace.csv,True,692009,outputs/_drive_madrl/full_data/MASAC/E2/data/trace.csv
MASAC,E2,building_kpis.csv,True,112126,outputs/_drive_madrl/full_data/MASAC/E2/data/building_kpis.csv
MASAC,E2,building_behavior_summary.csv,True,28486,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MASAC/E2/data/building_observation_action_schema.csv
MASAC,E2,building_trace_sample.csv,True,49729,outputs/_drive_madrl/full_data/MASAC/E2/data/building_trace_sample.csv
MASAC,E2,checkpoint_manifest.json,True,10076,outputs/_drive_madrl/full_data/MASAC/E2/data/checkpoint_manifest.json
MASAC,E2,results.json,True,199557,outputs/_drive_madrl/full_data/MASAC/E2/data/results.json
MASAC,E2,training_summary.json,True,178534,outputs/_drive_madrl/full_data/MASAC/E2/data/training_summary.json
MASAC,E3,timeseries.csv,True,106032848,outputs/_drive_madrl/full_data/MASAC/E3/data/timeseries.csv
MASAC,E3,trace.csv,True,692879,outputs/_drive_madrl/full_data/MASAC/E3/data/trace.csv
MASAC,E3,building_kpis.csv,True,112074,outputs/_drive_madrl/full_data/MASAC/E3/data/building_kpis.csv
MASAC,E3,building_behavior_summary.csv,True,28343,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MASAC/E3/data/building_observation_action_schema.csv
MASAC,E3,building_trace_sample.csv,True,49760,outputs/_drive_madrl/full_data/MASAC/E3/data/building_trace_sample.csv
MASAC,E3,checkpoint_manifest.json,True,10076,outputs/_drive_madrl/full_data/MASAC/E3/data/checkpoint_manifest.json
MASAC,E3,results.json,True,200115,outputs/_drive_madrl/full_data/MASAC/E3/data/results.json
MASAC,E3,training_summary.json,True,179088,outputs/_drive_madrl/full_data/MASAC/E3/data/training_summary.json
MATD3,E1,timeseries.csv,True,106331742,outputs/_drive_madrl/full_data/MATD3/E1/data/timeseries.csv
MATD3,E1,trace.csv,True,776240,outputs/_drive_madrl/full_data/MATD3/E1/data/trace.csv
MATD3,E1,building_kpis.csv,True,111419,outputs/_drive_madrl/full_data/MATD3/E1/data/building_kpis.csv
MATD3,E1,building_behavior_summary.csv,True,29724,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MATD3/E1/data/building_observation_action_schema.csv
MATD3,E1,building_trace_sample.csv,True,54876,outputs/_drive_madrl/full_data/MATD3/E1/data/building_trace_sample.csv
MATD3,E1,checkpoint_manifest.json,True,12982,outputs/_drive_madrl/full_data/MATD3/E1/data/checkpoint_manifest.json
MATD3,E1,results.json,True,198799,outputs/_drive_madrl/full_data/MATD3/E1/data/results.json
MATD3,E1,training_summary.json,True,177417,outputs/_drive_madrl/full_data/MATD3/E1/data/training_summary.json
MATD3,E2,timeseries.csv,True,106296818,outputs/_drive_madrl/full_data/MATD3/E2/data/timeseries.csv
MATD3,E2,trace.csv,True,776771,outputs/_drive_madrl/full_data/MATD3/E2/data/trace.csv
MATD3,E2,building_kpis.csv,True,111417,outputs/_drive_madrl/full_data/MATD3/E2/data/building_kpis.csv
MATD3,E2,building_behavior_summary.csv,True,29765,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MATD3/E2/data/building_observation_action_schema.csv
MATD3,E2,building_trace_sample.csv,True,54908,outputs/_drive_madrl/full_data/MATD3/E2/data/building_trace_sample.csv
MATD3,E2,checkpoint_manifest.json,True,12982,outputs/_drive_madrl/full_data/MATD3/E2/data/checkpoint_manifest.json
MATD3,E2,results.json,True,198278,outputs/_drive_madrl/full_data/MATD3/E2/data/results.json
MATD3,E2,training_summary.json,True,176902,outputs/_drive_madrl/full_data/MATD3/E2/data/training_summary.json
MATD3,E3,timeseries.csv,True,106077423,outputs/_drive_madrl/full_data/MATD3/E3/data/timeseries.csv
MATD3,E3,trace.csv,True,779288,outputs/_drive_madrl/full_data/MATD3/E3/data/trace.csv
MATD3,E3,building_kpis.csv,True,111551,outputs/_drive_madrl/full_data/MATD3/E3/data/building_kpis.csv
MATD3,E3,building_behavior_summary.csv,True,29825,outputs/_drive_madrl/full_data/MATD3/E3/data/building_behavior_summary.csv
MATD3,E3,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MATD3/E3/data/building_observation_action_schema.csv
MATD3,E3,building_trace_sample.csv,True,54938,outputs/_drive_madrl/full_data/MATD3/E3/data/building_trace_sample.csv
MATD3,E3,checkpoint_manifest.json,True,12982,outputs/_drive_madrl/full_data/MATD3/E3/data/checkpoint_manifest.json
MATD3,E3,results.json,True,198778,outputs/_drive_madrl/full_data/MATD3/E3/data/results.json
MATD3,E3,training_summary.json,True,177407,outputs/_drive_madrl/full_data/MATD3/E3/data/training_summary.json
MAAC,E1,timeseries.csv,True,105408510,outputs/_drive_madrl/full_data/MAAC/E1/data/timeseries.csv
MAAC,E1,trace.csv,True,688417,outputs/_drive_madrl/full_data/MAAC/E1/data/trace.csv
MAAC,E1,building_kpis.csv,True,112209,outputs/_drive_madrl/full_data/MAAC/E1/data/building_kpis.csv
MAAC,E1,building_behavior_summary.csv,True,28662,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MAAC/E1/data/building_observation_action_schema.csv
MAAC,E1,building_trace_sample.csv,True,49398,outputs/_drive_madrl/full_data/MAAC/E1/data/building_trace_sample.csv
MAAC,E1,checkpoint_manifest.json,True,16846,outputs/_drive_madrl/full_data/MAAC/E1/data/checkpoint_manifest.json
MAAC,E1,results.json,True,199311,outputs/_drive_madrl/full_data/MAAC/E1/data/results.json
MAAC,E1,training_summary.json,True,178182,outputs/_drive_madrl/full_data/MAAC/E1/data/training_summary.json
MAAC,E2,timeseries.csv,True,105417067,outputs/_drive_madrl/full_data/MAAC/E2/data/timeseries.csv
MAAC,E2,trace.csv,True,687974,outputs/_drive_madrl/full_data/MAAC/E2/data/trace.csv
MAAC,E2,building_kpis.csv,True,112183,outputs/_drive_madrl/full_data/MAAC/E2/data/building_kpis.csv
MAAC,E2,building_behavior_summary.csv,True,28532,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MAAC/E2/data/building_observation_action_schema.csv
MAAC,E2,building_trace_sample.csv,True,49307,outputs/_drive_madrl/full_data/MAAC/E2/data/building_trace_sample.csv
