panel,algorithm,scenario,value
action_l2,HAPPO,E1,2.2503338500920287
action_l2,HAPPO,E2,2.233969006746213
action_l2,HAPPO,E3,2.2210505689181113
action_l2,MAAC,E1,0.1723529411764706
action_l2,MAAC,E2,0.17529411764705882
action_l2,MAAC,E3,0.1723529411764706
action_l2,MASAC,E1,0.18411764705882352
action_l2,MASAC,E2,0.18058823529411766
action_l2,MASAC,E3,0.17411764705882352
action_l2,MATD3,E1,2.477769604166254
action_l2,MATD3,E2,2.385445444254756
action_l2,MATD3,E3,2.4696399550109414
ev,HAPPO,E1,12548.90987878994
ev,HAPPO,E2,11233.247107912073
ev,HAPPO,E3,11462.557749985663
ev,MAAC,E1,652.0839118168634
ev,MAAC,E2,645.1511783314978
ev,MAAC,E3,645.1263832226396
ev,MASAC,E1,630.5979464457315
ev,MASAC,E2,677.3049375875031
ev,MASAC,E3,680.3010197628071
ev,MATD3,E1,9059.572376060245
ev,MATD3,E2,6658.153946081067
ev,MATD3,E3,9576.913370569182
bess,HAPPO,E1,520872.3866384716
bess,HAPPO,E2,984011.7740871272
bess,HAPPO,E3,834885.8784486325
bess,MAAC,E1,20060.31123321538
bess,MAAC,E2,35536.06125641785
bess,MAAC,E3,36190.872933028055
bess,MASAC,E1,36725.497010176136
bess,MASAC,E2,37526.324416385614
bess,MASAC,E3,42177.2409771862
bess,MATD3,E1,499.42651761990464
bess,MATD3,E2,557.9107304875151
bess,MATD3,E3,530.0755124720855
