algorithm,scenario,agent,grid_role_control,action_dim,observation_dim,battery_throughput_total_kwh,ev_charge_total_kwh,ev_departure_success_rate,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,electricity_cost_control_eur,electricity_cost_delta_eur,grid_import_control_kwh,grid_export_control_kwh
HAPPO,E1,Building_1,net_importer,6,61,1810194.749900553,14841.69085293077,0.5865800865800865,3197023.037652865,369537.0895173517,2071827.773687887,164231.1399885537,4144680.478024006,2106300.3152062297
HAPPO,E1,Building_2,net_exporter,8,75,86816.05777421777,1998.9178407900035,0.4114391143911439,45769.12977153016,23763.897270524416,-7057.40229502784,-3965.423390889169,58829.01330902288,1978160.8596967903
HAPPO,E1,Building_3,net_exporter,10,89,1346095.7315019658,21462.234931595623,0.481437125748503,745457.9427612871,398209.3337677672,371548.34961197234,142188.17758614896,979306.3413976209,1661811.919500798
HAPPO,E1,Building_4,net_importer,8,75,118968.90414452567,9119.660210248085,0.6122019635343618,479475.5604534643,38419.75135437754,311684.5628932684,8482.820506508113,634484.144838782,134113.39862172306
HAPPO,E1,Building_5,net_importer,5,54,118979.6000035318,2085.5104294866323,0.6501340482573726,306768.1116222667,22655.417267544835,190378.88475959172,-3105.2580766811443,398781.0572395511,114054.8292720914
HAPPO,E1,Building_6,net_importer,34,257,1461362.3031242578,26128.51932900399,0.4423197886526607,3138026.154004231,274788.503764065,2214420.4408988105,244153.1196982197,4161234.559249431,1694753.879805021
HAPPO,E1,Building_7,net_exporter,44,327,126094.30274218188,26756.941616261374,0.5410994091959928,67668.69547880441,14719.636729399004,15684.046766798958,-8089.208531212695,89375.50691438466,1917315.6714513376
HAPPO,E1,Building_8,net_exporter,19,152,210987.5325232001,22198.682953264564,0.5032206119162641,110928.77604305836,74773.6466778499,-17088.09611713012,6533.242340769055,142628.71352785453,5013167.944498792
HAPPO,E1,Building_9,net_exporter,12,103,20386.27785569933,6177.286766605452,0.5083919870059556,23879.7614362631,2588.89130596643,529.3714940771151,-4468.866998696031,31068.135221719745,1074575.2979122996
HAPPO,E1,Building_10,net_exporter,8,75,85302.08547103281,22074.408289087936,0.6941448382126348,422666.8611211777,20655.88024024153,287941.965780557,-3649.950001555553,564201.5504117012,2963089.8305253983
HAPPO,E1,Building_11,net_exporter,5,54,438444.93662976136,1979.7644637934864,0.4150559511698881,405282.20824868977,1786.5240412474377,113133.03589404112,-70213.15715902808,521868.2304106951,10169226.833759472
HAPPO,E1,Building_12,net_exporter,5,54,1761456.8992410705,9377.641594192011,0.5791666666666667,1107281.5134865046,149677.0954805113,604445.0628330507,-26924.68362465408,1471762.7466902733,3838805.022163868
HAPPO,E1,Building_13,net_exporter,13,110,11648.8575527768,5264.1871296893805,0.5401387512388504,23744.10505548585,3856.04896103868,8664.569300928983,-1579.3360273852468,31477.13972346112,641879.2899570465
HAPPO,E1,Building_14,net_exporter,6,61,75970.96030017073,21220.41874529235,0.7130872483221476,56108.56426087767,40402.65741502971,-26858.635200960867,6100.451037292289,72552.73560112715,4343415.114372075
HAPPO,E1,Building_15,net_exporter,10,89,102966.66718196764,6615.118463806808,0.4026058631921824,80767.15364801511,14612.609330124033,17531.76201565521,-7439.1833670505985,105303.87570284214,2389833.819223255
HAPPO,E1,Building_16,net_exporter,13,110,805769.6588241803,7036.723483730108,0.6601031411157994,281071.2080496177,36282.53238121088,65729.60087465995,-87685.63482960037,364233.8511010408,2330893.1773868203
HAPPO,E1,Building_17,net_exporter,13,110,273385.04808292416,8993.760839650407,0.5643939393939394,202952.2027564235,64696.73002119054,110176.06966727036,17230.222022801827,264040.2815772891,357438.5334560275
HAPPO,E2,Building_1,net_importer,6,61,4068572.862590351,9080.561199592426,0.4123376623376623,3594573.472005248,767079.3278661673,2153049.3561413498,210825.76962644607,4633932.50129354,2450889.5382231474
HAPPO,E2,Building_2,net_exporter,8,75,59959.34657773244,2345.9144585672766,0.4280442804428044,37333.74678715645,14384.705386785718,-20184.885916848754,-16938.7118034121,48583.80302966619,1969324.9364385605
HAPPO,E2,Building_3,net_exporter,10,89,1684886.5488266232,22154.423985524103,0.4710578842315369,643659.2937540412,296410.6861591768,240834.77592133995,8655.245185366133,853794.6724708527,1513577.8658149391
HAPPO,E2,Building_4,net_importer,8,75,351351.6414376277,8671.813838751987,0.5385694249649369,543587.0240237825,102425.85648692446,324304.9100218571,27487.634231579665,721760.5042569935,204782.76256877184
HAPPO,E2,Building_5,net_importer,5,54,203871.32831210503,1605.0547980684787,0.5201072386058981,315066.1249041469,29306.247100028675,181333.3180717927,-13994.571472504877,409878.2968384372,119866.48472023755
HAPPO,E2,Building_6,net_importer,34,257,1857797.7186848104,31154.47156629153,0.4626997106554283,3192210.3549175896,328596.9720964469,2014987.913566327,60288.29273788445,4241611.727210773,1741994.6744856983
HAPPO,E2,Building_7,net_exporter,44,327,559691.8251274172,23945.533955002204,0.5265861803236579,97372.19003250822,45033.45275800476,-40871.41315879378,-60628.26297857924,127234.01353300364,1931685.7769767048
HAPPO,E2,Building_8,net_exporter,19,152,131727.46070099715,14337.637645270675,0.4033816425120773,66303.13213473745,30826.270588706957,-70432.65078198038,-44420.29382103922,86095.61404609215,4970133.763509605
HAPPO,E2,Building_9,net_exporter,12,103,99087.2746819969,5925.502091227099,0.5733622089875474,28015.205503895413,6059.6923660189495,-12316.405274350578,-17532.948450088534,36413.360894180834,1074679.2094760537
HAPPO,E2,Building_10,net_exporter,8,75,1189948.9299676544,17630.407352119684,0.522342064714946,742483.6265615337,340753.77653810073,336494.164497102,71496.6201395648,997034.1517381668,3329953.7842891216
HAPPO,E2,Building_11,net_exporter,5,54,1438991.1311446335,1934.30488711223,0.4109867751780264,476060.5423465669,73449.02247504186,726.3242678087954,-186075.6191536248,611361.0772795677,10190799.46297896
HAPPO,E2,Building_12,net_exporter,5,54,3291565.7836515917,9149.87335541658,0.4739583333333333,1571866.4290588796,614262.0112326699,592521.0384021942,-47341.00541041792,2033687.1583026648,4297769.421219587
HAPPO,E2,Building_13,net_exporter,13,110,32480.8701575605,6132.014406150207,0.5307234886025768,27815.067612973973,7928.617792253925,1618.6225199377373,-7039.894027292088,36677.05938081816,644610.7027789908
HAPPO,E2,Building_14,net_exporter,6,61,72834.17664478085,17428.98997742124,0.6199664429530202,50471.59091607295,33987.70999795983,-62540.27250117689,-29710.16877385188,65062.68697622418,4338396.232588112
HAPPO,E2,Building_15,net_exporter,10,89,261254.7894240341,5491.316218134016,0.4247557003257329,83856.92921275087,18524.3484747098,-13156.629643052063,-36712.99223596016,109803.66847142018,2385582.287863493
HAPPO,E2,Building_16,net_exporter,13,110,950524.7408270676,9315.280934259295,0.6024378809188936,298585.6737441868,53833.72757072927,46304.02539199515,-105472.70786801592,387502.65272663534,2341531.571179688
HAPPO,E2,Building_17,net_exporter,13,110,473653.7307241778,4662.100165596232,0.4498106060606061,230480.70554197952,91997.44206160471,87251.06293917862,-6814.941258555889,296031.94407469034,381639.2110571284
HAPPO,E3,Building_1,net_importer,6,61,2758389.09522494,9827.7130428385,0.4448051948051948,3375904.3155076206,548410.8186067329,2504347.6918529863,215256.6766365264,4359694.439516291,2264508.131467521
HAPPO,E3,Building_2,net_exporter,8,75,57954.18217836331,2225.45897067152,0.3616236162361623,39818.65491607727,16893.01791464846,-15232.6901802473,-12273.820555565666,51697.74453536328,1972605.139516324
HAPPO,E3,Building_3,net_exporter,10,89,1769185.3708821256,22714.100471597165,0.5041916167664671,757248.851646617,410000.242823528,420202.6130566998,144952.40242004138,1000994.4951165318,1654871.6887071729
HAPPO,E3,Building_4,net_importer,8,75,297043.00130795944,8915.942704897374,0.5673211781206171,531975.7874141261,90904.47367185232,402775.6941412636,38937.29627970629,707009.2068674117,193588.03428270668
HAPPO,E3,Building_5,net_importer,5,54,210547.77395615468,1848.1512902434915,0.6032171581769437,325392.53751294967,38830.44625139597,234636.86423753967,-430.13257438485743,423257.17204269394,130459.62370792218
HAPPO,E3,Building_6,net_importer,34,257,1707794.0448969333,31431.84666434303,0.4643351364951566,3043162.400396824,179591.98063607933,2548657.574273609,183961.8942599343,4048748.309374809,1561029.5140081644
HAPPO,E3,Building_7,net_exporter,44,327,478354.5706388973,25602.788152690977,0.5448240431543796,109168.26807783358,55795.68466147478,-2972.486935084404,-31946.52625865505,143727.73223427683,1951599.2974614052
HAPPO,E3,Building_8,net_exporter,19,152,153287.33755100996,18320.15496419929,0.4498121309715512,77826.7093777355,42189.13236250534,-50915.404586095785,-22221.494325882584,101579.18159627076,4978800.139289189
HAPPO,E3,Building_9,net_exporter,12,103,91910.85251553664,5903.852241750807,0.5690308608554413,29082.3238063585,7139.338582992928,-10015.922210207951,-16264.548553564862,37753.43788510561,1076525.3856331557
HAPPO,E3,Building_10,net_exporter,8,75,1089371.0511729324,17520.953400319442,0.5308166409861325,714761.6335762367,312905.4083051138,517140.4360532773,167324.10016908043,961444.1632354558,3300214.6690056324
HAPPO,E3,Building_11,net_exporter,5,54,1267328.1678138687,1741.4759538322687,0.4537131230925738,414923.0128386133,13368.884398156428,25405.44584795496,-193217.95855132013,535226.2623435855,10126686.069413722
HAPPO,E3,Building_12,net_exporter,5,54,2807203.6303932704,9740.76527925022,0.5427083333333333,1272157.724614054,314553.30790580786,713698.2095109363,-44024.59352911392,1662949.5914151669,3954972.9832440615
HAPPO,E3,Building_13,net_exporter,13,110,19100.131534488024,5469.458169670776,0.5069375619425174,23665.956760187637,3687.161340639199,5950.490561136004,-6425.612286915865,31381.004165783525,640861.6546706865
HAPPO,E3,Building_14,net_exporter,6,61,109252.48817112016,17894.81744875945,0.6426174496644296,61421.31027680636,44970.67727445179,-55341.703308917175,-16501.277397430793,78706.52007417381,4349136.38283658
HAPPO,E3,Building_15,net_exporter,10,89,69190.05587432063,3583.548241076991,0.3954397394136807,79406.4937439384,14354.72661701654,14497.66638403715,-14439.788210813704,103589.20409994666,2395306.596747935
HAPPO,E3,Building_16,net_exporter,13,110,893971.6400406631,8397.917018141598,0.5757149554617909,274384.2671966851,30087.85976466525,14409.249446612,-169286.37314776465,352593.3819279671,2311853.1890654564
HAPPO,E3,Building_17,net_exporter,13,110,413176.5394741714,3724.5377354733646,0.4285037878787879,222666.9632966444,84147.75044602537,101112.3537125064,-10328.088817340482,286256.3195912689,376781.1895194352
MAAC,E1,Building_1,net_importer,6,61,73357.46596452329,572.6766110360622,0.04004329004329,2896227.962838143,17770.666452719364,1718040.1265537976,2940.307844650932,3758894.945960343,1776961.7028810978
