algorithm,scenario,checkpoint_count,checkpoint_episode,bytes,relative_path
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent0.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent1.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent10.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent11.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent12.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent13.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent14.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent15.pt
HAPPO,E1,19,,1921518,checkpoints/models/actor_agent16.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent2.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent3.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent4.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent5.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent6.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent7.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent8.pt
HAPPO,E1,19,,1921499,checkpoints/models/actor_agent9.pt
HAPPO,E1,19,,4988761,checkpoints/models/critic_agent.pt
HAPPO,E1,19,,1379,checkpoints/models/value_normalizer.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent0.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent1.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent10.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent11.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent12.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent13.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent14.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent15.pt
HAPPO,E2,19,,1921518,checkpoints/models/actor_agent16.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent2.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent3.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent4.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent5.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent6.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent7.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent8.pt
HAPPO,E2,19,,1921499,checkpoints/models/actor_agent9.pt
HAPPO,E2,19,,4988761,checkpoints/models/critic_agent.pt
HAPPO,E2,19,,1379,checkpoints/models/value_normalizer.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent0.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent1.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent10.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent11.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent12.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent13.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent14.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent15.pt
HAPPO,E3,19,,1921518,checkpoints/models/actor_agent16.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent2.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent3.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent4.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent5.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent6.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent7.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent8.pt
HAPPO,E3,19,,1921499,checkpoints/models/actor_agent9.pt
HAPPO,E3,19,,4988761,checkpoints/models/critic_agent.pt
HAPPO,E3,19,,1379,checkpoints/models/value_normalizer.pt
MAAC,E1,52,1.0,800442821,checkpoints/checkpoint_episode_1.pt
MAAC,E1,52,10.0,800442109,checkpoints/checkpoint_episode_10.pt
MAAC,E1,52,11.0,800442109,checkpoints/checkpoint_episode_11.pt
MAAC,E1,52,12.0,800442109,checkpoints/checkpoint_episode_12.pt
MAAC,E1,52,13.0,800442109,checkpoints/checkpoint_episode_13.pt
MAAC,E1,52,14.0,800442109,checkpoints/checkpoint_episode_14.pt
MAAC,E1,52,15.0,800442109,checkpoints/checkpoint_episode_15.pt
MAAC,E1,52,16.0,800442109,checkpoints/checkpoint_episode_16.pt
MAAC,E1,52,17.0,800442109,checkpoints/checkpoint_episode_17.pt
MAAC,E1,52,18.0,800442109,checkpoints/checkpoint_episode_18.pt
MAAC,E1,52,19.0,800442109,checkpoints/checkpoint_episode_19.pt
MAAC,E1,52,2.0,800442821,checkpoints/checkpoint_episode_2.pt
MAAC,E1,52,20.0,800442109,checkpoints/checkpoint_episode_20.pt
MAAC,E1,52,21.0,800442109,checkpoints/checkpoint_episode_21.pt
MAAC,E1,52,22.0,800442109,checkpoints/checkpoint_episode_22.pt
MAAC,E1,52,23.0,800442109,checkpoints/checkpoint_episode_23.pt
MAAC,E1,52,24.0,800442109,checkpoints/checkpoint_episode_24.pt
MAAC,E1,52,25.0,800442109,checkpoints/checkpoint_episode_25.pt
MAAC,E1,52,26.0,800442109,checkpoints/checkpoint_episode_26.pt
MAAC,E1,52,27.0,800442109,checkpoints/checkpoint_episode_27.pt
MAAC,E1,52,28.0,800442109,checkpoints/checkpoint_episode_28.pt
MAAC,E1,52,29.0,800442109,checkpoints/checkpoint_episode_29.pt
MAAC,E1,52,3.0,800442821,checkpoints/checkpoint_episode_3.pt
MAAC,E1,52,30.0,800442109,checkpoints/checkpoint_episode_30.pt
MAAC,E1,52,31.0,800442109,checkpoints/checkpoint_episode_31.pt
MAAC,E1,52,32.0,800442109,checkpoints/checkpoint_episode_32.pt
MAAC,E1,52,33.0,800442109,checkpoints/checkpoint_episode_33.pt
MAAC,E1,52,34.0,800442109,checkpoints/checkpoint_episode_34.pt
MAAC,E1,52,35.0,800442109,checkpoints/checkpoint_episode_35.pt
MAAC,E1,52,36.0,800442109,checkpoints/checkpoint_episode_36.pt
MAAC,E1,52,37.0,800442109,checkpoints/checkpoint_episode_37.pt
MAAC,E1,52,38.0,800442109,checkpoints/checkpoint_episode_38.pt
MAAC,E1,52,39.0,800442109,checkpoints/checkpoint_episode_39.pt
MAAC,E1,52,4.0,800442821,checkpoints/checkpoint_episode_4.pt
MAAC,E1,52,40.0,800442109,checkpoints/checkpoint_episode_40.pt
MAAC,E1,52,41.0,800442109,checkpoints/checkpoint_episode_41.pt
