algorithm,scenario,episode,steps,global_step_min,global_step_max,district_net_energy,district_cost,district_emission,district_without_storage_kwh,reward_mean_average,reward_sum_total
HAPPO,E1,0,8760,0,8759,435.5131294727325,199.2589945793152,742.7354701757431,1171.8289592266085,-0.7062119254468171,-105169.07993754
HAPPO,E1,1,8760,8760,17519,1795.2820793390274,715.1499217748642,1418.2728952169418,1442.494642019272,-0.6884911428482089,-102530.10099295528
HAPPO,E1,2,8760,17520,26279,1525.387159824371,1009.693392276764,1354.432392835617,1433.7156715393066,-0.6795099016836075,-101192.61455872282
HAPPO,E1,3,8760,26280,35039,1108.0101737752557,506.9445269554853,984.0824894681572,1171.828948237002,-0.6421424905977905,-95627.85969982296
HAPPO,E1,4,8759,35040,43798,526.013067804277,240.6651529967785,536.009666107595,1171.8289502486589,-0.5952638351180066,-88636.57084057653
HAPPO,E1,5,8760,43800,52559,-498.5804771259427,6.400048732757568e-06,534.3851836398244,1171.8289473876357,-0.5975061495695859,-88980.61579390275
HAPPO,E1,6,8760,52560,61319,314.6158690452576,125.32711839675903,896.5149643421173,1442.494668483734,-0.6201916145068167,-92358.93523235514
HAPPO,E1,7,8757,61320,70076,905.8710007667542,599.6195400953293,1123.650220632553,1433.7156488895416,-0.6306120882601179,-93878.59096719549
HAPPO,E1,8,8760,70080,78839,-293.9129074886441,-3.851950168609619e-06,590.0101993754506,1171.828945480287,-0.6001939929595089,-89380.88943153007
HAPPO,E1,9,8760,78840,87599,142.52275848388672,56.77388420701027,779.529472887516,1442.4946694374084,-0.6230791053384677,-92788.9403670046
HAPPO,E1,10,8760,87600,96359,738.5179235935211,488.8441917896271,872.7413356304169,1433.7156717777252,-0.6342545665492888,-94453.19005052008
HAPPO,E1,11,8760,96360,105119,-365.4223482981324,-6.556510925292969e-07,546.0383130535483,1171.8289618119595,-0.6084986870929504,-90617.62448188216
HAPPO,E1,12,8760,105120,113879,220.29257822036743,87.75346255302429,739.0973815917969,1442.4946789741516,-0.6271737866578214,-93398.72030908275
HAPPO,E1,13,8760,113880,122639,1176.6023899316788,778.823684334755,1496.1920622587204,1433.7156903743744,-0.639921907289163,-95297.17043350216
HAPPO,E1,14,8760,122640,131399,-225.7179407253861,2.2351741790771484e-06,580.1079615578055,1171.8289402350783,-0.6094943796917738,-90765.90302369896
HAPPO,E1,15,8760,131400,140159,64.76732301712036,25.80004191398621,843.069393157959,1442.4946007728577,-0.6289115352763557,-93657.5058333549
HAPPO,E1,16,8760,140160,148919,840.4509801864624,556.316323518753,1479.4151456356049,1433.7156946659088,-0.6392667313134798,-95199.6016272034
HAPPO,E1,17,8760,148920,157679,-44.39289131015539,-3.680586814880371e-06,601.4212628379464,1171.8289412036538,-0.6086818706255394,-90644.90417355532
HAPPO,E1,18,8760,157680,166439,61.34525084495544,24.43685358762741,761.9763799905777,1442.4946811199188,-0.6256190746717769,-93167.19260012102
HAPPO,E1,19,8760,166440,175199,1772.2378315925598,1173.0902590751648,1432.2083963155746,1433.7156677246094,-0.6391695909906105,-95185.13549032171
HAPPO,E1,20,8747,175200,183946,-803.8972031548619,-2.08243727684021e-06,588.2932290807366,1171.8289488330483,-0.6059942374291771,-90110.7371114812
HAPPO,E1,21,8760,183960,192719,-365.4606856331229,-1.5720725059509277e-05,619.5685618892312,1171.8289481177926,-0.6079785194436272,-90540.16111554496
HAPPO,E1,22,8760,192720,201479,-83.30227708816528,-2.86102294921875e-06,832.8766860961914,1442.494676113129,-0.6278350501063873,-93497.1956618432
HAPPO,E1,23,8760,201480,210239,1881.1303839683533,1245.1690499782562,1500.0411570072174,1433.715654373169,-0.640304425372565,-95354.1350264824
HAPPO,E1,24,8760,210240,218999,538.9163649901748,246.5687659084797,685.5899986252189,1171.828948460519,-0.6140392072702325,-91442.71874668304
HAPPO,E1,25,8760,219000,227759,735.6656451225281,293.0521283149719,1131.795467376709,1442.4946808815002,-0.6302465846057655,-93856.3213794906
HAPPO,E1,26,8760,227760,236519,1820.128523349762,1204.790328502655,1450.8092325925827,1433.715669631958,-0.6442752837010614,-95945.47524876206
HAPPO,E1,27,8760,236520,245279,1302.9819139018657,596.1493357270956,1030.6697140708566,1171.8289633765817,-0.6139097306391181,-91423.43708677749
HAPPO,E1,28,8760,245280,254039,991.4703164100648,394.9518072605133,1290.7451710700989,1442.4946026802063,-0.6327593042070422,-94230.51558251271
HAPPO,E1,29,8760,254040,262799,1822.8824081420896,1206.6131922006607,1466.9342756271362,1433.715678691864,-0.6414070681590277,-95518.3405902424
HAPPO,E1,30,8760,262800,271559,132.5708082690835,60.65471829473972,637.2214256301522,1171.8289485946298,-0.6130246159481576,-91291.62580699964
HAPPO,E1,31,8749,271560,280308,662.8486161231995,264.0454833507538,1103.2413578033447,1442.4945874214172,-0.6303079866851847,-93747.59778364758
