algorithm,scenario,n_episode_artifacts,initial_rolling_reward,final_rolling_reward,reward_improvement,learning_start_episode_index,learning_start_episode_ordinal,stabilization_episode_index,stabilization_episode_ordinal,best_episode_index,best_episode_ordinal,best_reward_mean,stabilization_tolerance
HAPPO,E1,49,-0.6872761014407066,-0.6324329213004762,0.054843180140230374,4,5,4,5,4,5,-0.5952638351180066,0.031621646065023816
MAAC,E1,50,-0.6025192232200307,-0.6056773405236553,-0.0031581173036245858,0,1,0,1,26,27,-0.5844288248600668,0.030283867026182767
MASAC,E1,50,-0.6188305787724551,-0.6106965772537967,0.008134001518658396,2,3,0,1,49,50,-0.5895927763098163,0.030534828862689836
MATD3,E1,50,-0.7276613939264122,-0.6139460525922471,0.11371534133416505,5,6,13,14,14,15,-0.5917727467841729,0.030697302629612358
HAPPO,E2,49,-0.5338651403649124,-0.4867007499216641,0.04716439044324827,4,5,5,6,5,6,-0.4607559602209014,0.024335037496083206
MAAC,E2,50,-0.5199816843463355,-0.5237888170860024,-0.0038071327396669297,0,1,0,1,39,40,-0.5113138028926756,0.026189440854300125
MASAC,E2,50,-0.5275688298199503,-0.5252984682260511,0.0022703615938992616,2,3,0,1,25,26,-0.5122386797760721,0.026264923411302557
MATD3,E2,50,-0.5401140361838512,-0.5306242023603343,0.00948983382351698,0,1,0,1,23,24,-0.5162682233948295,0.026531210118016714
HAPPO,E3,49,-0.560614921755316,-0.5241572936895952,0.03645762806572084,4,5,4,5,4,5,-0.4946472462711139,0.026207864684479762
MAAC,E3,50,-0.5347679808916614,-0.5386799883375794,-0.003912007445917909,0,1,0,1,39,40,-0.5248192921266143,0.02693399941687897
MASAC,E3,50,-0.5432461718311051,-0.5403993609837263,0.002846810847378811,2,3,0,1,28,29,-0.5263098821800003,0.027019968049186317
MATD3,E3,50,-0.5698078523749635,-0.5477968990154001,0.02201095335956338,4,5,0,1,11,12,-0.5290481534341094,0.027389844950770004
