algorithm,scenario,episodes_recorded,training_episodes_field,saved_episode_summaries,materialized_episode_kpis,final_episode_in_artifacts,final_reward_mean,building_count,checkpoint_count,peak_average,ramping_average,one_minus_load_factor_average,battery_throughput_total,pv_self_consumption_ratio,carbon_emissions_control,carbon_emissions_delta,carbon_emissions_ratio,electricity_cost_control,electricity_cost_delta,electricity_cost_ratio,ev_departure_success_rate
HAPPO,E1,50,50,1,49,49,-0.618064939652382,17,19,1.3903228238073362,1.0839090593092051,0.8573905340133239,8854830.572854016,0.1796712076565404,10694870.985850561,777838.6068301143,1.5237308415454343,6332691.362865451,186408.60670836945,1.0623729494773748,0.5265611612317928
HAPPO,E2,50,50,1,49,49,-0.47709955993467407,17,19,1.4000273280828726,1.1827900919539245,0.8469709098763134,16728200.15948116,0.2105781905571617,11999741.10905805,1431341.146902246,1.5592353506845364,5759923.2544646785,-97229.96355094147,0.9674280513644307,0.4919862910135578
HAPPO,E3,50,50,1,49,49,-0.5147201631677909,17,19,1.421289039691373,1.1531549642453112,0.8462769592660307,14193059.933626752,0.20235741024731194,11352967.210959308,1106940.2269813095,1.5929649660423615,7368356.081858005,106827.9907668146,1.0297782949986545,0.5033516455823799
MAAC,E1,50,11,50,50,49,-0.613195339604192,17,52,1.0307016374943516,1.010993644889474,0.9955821162398271,341025.2909646616,0.1790606318207859,10494384.743438182,38565.84588019649,1.0279904744395534,5918646.683298586,3628.0400708369775,1.001224116074091,0.04226097474925659
MAAC,E2,50,11,50,50,49,-0.5277731741774441,17,52,1.0402106617728162,1.0186301738338828,0.9926963312773214,604113.0413591035,0.17894812963963783,10558754.019475915,70654.19071758597,1.0469962875520018,6667886.462194674,13275.329877851962,1.0039868213638963,0.04082455521395091
MAAC,E3,50,11,50,50,49,-0.5419790135380939,17,52,1.0309261417946909,1.0189549701035028,0.9914670028561496,615244.839861477,0.17918963749231215,10564094.134996949,73411.2486337313,1.043854275478452,7112781.500188709,9515.151784724349,1.002675335325078,0.0405725517867043
MASAC,E1,50,12,50,50,49,-0.5895927763098163,17,12,1.0850627613699078,1.0219691691061643,0.9786257116077314,624333.4491729945,0.16414201846505772,9250726.214372514,81226.6231709392,1.053619622048921,5950967.92744811,14672.49268599316,1.0049419564019464,0.03938813567864523
MASAC,E2,50,12,50,50,49,-0.5125064952745902,17,12,1.0956074399714257,1.0208812307447095,0.9788572813323027,637947.5150785556,0.1642838291856845,9243171.298157984,77648.98780810599,1.051639591972696,5944515.783174557,15020.275212663882,1.0050652080032747,0.04062295247215362
MASAC,E3,50,12,50,50,49,-0.5263825588275348,17,12,1.0863807148533065,1.024945867130649,0.9777831177218483,717013.0966121654,0.1643150017229632,9270045.676568365,90899.7612329599,1.0601897274206082,7145558.689493987,19792.792564499217,1.0055554410308447,0.04140416309661812
MATD3,E1,50,40,50,50,49,-0.6270644681842904,17,34,1.0081243650776304,1.0011755487359968,0.9934690566529493,8490.250799538378,0.1829580151263629,11060066.494980272,36723.33566290968,1.0385496103000702,8249865.868836236,33074.53857720466,1.0080607462410982,0.4393679754044655
MATD3,E2,50,40,50,50,49,-0.5400036063529057,17,34,1.0054542490487863,1.0007704484747517,0.9957821650426082,9484.482418287756,0.18275312574214034,11019732.720185794,23070.418478806503,1.0421428734111502,7050531.348741419,13934.67084307495,1.0039575998186379,0.36414495237135225
MATD3,E3,50,40,50,50,49,-0.5606717322690229,17,34,1.0071128697365774,1.0011383857310043,0.9935919536582044,9011.283712025453,0.18289441719083424,11044830.505711775,41293.40711950582,1.0741932384067436,9734645.597044019,44399.364069434494,1.0091805161969924,0.48243536112091123
