rank,algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file,reduction_pct
1,MATD3,E1,Building_14,-3532.4155618258374,-59452.01630735555,-55919.60074552972,-2070.5784961438258,-2680.4348767995834,0.0,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv,6.316954189105535
2,MATD3,E3,Building_12,-2672.0535701428307,898413.0585748772,901085.11214502,-2163.488812311087,-2794.821243286133,0.0,outputs/_drive_madrl/full_data/MATD3/E3/data/building_behavior_summary.csv,0.2965373119728997
3,MATD3,E1,Building_12,-2322.773223772878,758802.9319932023,761125.7052169752,-2152.5859613089124,-2781.021255493164,0.0,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv,0.3051760317450744
4,MASAC,E3,Building_11,-2304.438581703289,212920.3285648933,215224.7671465966,7085.636688141676,8960.169164657593,493.87172162532806,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv,1.0707125449617332
5,MATD3,E2,Building_11,-2279.042941080581,159882.20890891706,162161.25184999764,-1848.3140035871768,-2386.136764526367,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv,1.405417703107485
6,MATD3,E2,Building_12,-2053.6084617908346,665477.6965967282,667531.305058519,-2163.488812311087,-2794.821243286133,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv,0.30764227029184876
7,MATD3,E2,Building_8,-1950.974042386908,-31171.31619449007,-29220.342152103163,-1904.0908750832316,-2489.601236253977,3839.3417687695473,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv,6.67676659031347
8,MATD3,E1,Building_11,-1824.6310089519247,188424.28671424487,190248.91772319685,-801.056876752351,-996.6218835115432,1455.1087969951332,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv,0.9590756314349891
9,MASAC,E1,Building_11,-1367.6378789224543,177856.45016056282,179224.08803948527,7844.66332345485,9908.829795837402,454.0980418175459,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv,0.7630882064363732
10,MATD3,E2,Building_3,-958.8966749461832,381672.3030267893,382631.19970173546,-1112.949284640723,-1383.3172614574432,4229.520744848996,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv,0.2506059818680892
11,MATD3,E2,Building_5,-950.0458268172516,202577.3263655693,203527.3721923865,-1416.2341955444426,-1793.08508425951,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv,0.46679019956056866
12,MASAC,E3,Building_8,-899.2025018301028,-30367.27370058075,-29468.071198750647,3807.256873524741,4926.815396040678,1618.9154314547775,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv,3.0514467532175167
13,MAAC,E1,Building_11,-888.9321198133257,103047.75758363916,103936.68970345247,2103.067469609028,2854.588275909424,570.3815714120865,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv,0.8552630667279981
14,MASAC,E2,Building_8,-853.7371509218392,-27349.007051794903,-26495.269900873067,2635.8306358039627,3412.3538705185056,1459.7524029016497,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv,3.2222247748972856
15,MASAC,E3,Building_14,-845.4150263144693,-43786.56971841068,-42941.15469209621,1784.680847986454,2300.1700593829155,614.2507697343826,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv,1.9687757173192284
16,MASAC,E2,Building_11,-717.3080218275427,183044.65019376515,183761.9582155927,7957.32841246383,10098.499128341677,530.0657864511013,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv,0.3903463093193557
17,MAAC,E2,Building_14,-701.8555300273947,-54846.16802541064,-54144.312495383245,1509.583317264358,1954.429500579834,438.5593731403351,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv,1.2962682462488377
18,MAAC,E3,Building_14,-683.7813220831522,-56674.58788684961,-55990.806564766455,1706.921019867685,2211.520590543747,450.7670795917511,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv,1.2212385640349712
19,MAAC,E3,Building_5,-610.0458629335917,212000.71335693327,212610.7592198669,1249.1888576007914,1621.4319083094597,207.0528998374939,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv,0.2869308520284032
20,MASAC,E1,Building_14,-609.4339546957053,-36376.9852660121,-35767.5513113164,1510.478266356267,1952.472699761391,522.1940021514893,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv,1.703873853122532
