algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file
MAAC,E1,Building_1,2940.307844650932,1718040.1265537976,1715099.8187091467,17770.666452719364,22621.679918289185,572.6766110360622,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_2,-253.78286649480836,-4600.543275698626,-4346.760409203817,1005.8809560081936,1295.0783059448004,55.26330590248108,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_3,183.18253686942623,142966.70838014048,142783.52584327105,9379.15315049942,12108.823236465454,644.3287180960178,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_4,445.9374862164841,260041.48474527692,259595.5472590605,2136.4090055385022,2735.3739194869995,273.44769605994225,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_5,-264.9368582125753,176800.3723005008,177065.30915871338,701.0513247710769,893.8523619174957,203.1743505001068,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_6,2148.9174705753103,2480418.226243715,2478269.3087731395,10656.900342616718,13562.616232395172,1106.636382177472,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_7,894.7552645089308,27851.772541713028,26957.017277204097,2803.370115771468,3692.08564466238,2126.7416176199918,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_8,-310.33087436192,-40311.95621802371,-40001.62534366179,1502.4807328329844,1947.3550445511935,1345.6209635734558,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_9,-92.64210583066917,-729.5296491869277,-636.8875433562586,598.8120052297418,769.9768994450569,219.4257254600525,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_10,958.0168433018262,278153.83953561785,277195.822692316,4240.807737960888,5451.351686000824,787.8329135775566,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_11,-888.9321198133257,103047.75758363916,103936.68970345247,2103.067469609028,2854.588275909424,570.3815714120865,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_12,6.225393988541327,589556.4084660152,589550.1830720267,11013.67513289256,14254.969345092772,430.8110456466675,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_13,202.177036113153,6626.280191831145,6424.103155717992,1387.7666340559226,1806.207635205239,648.8648328781128,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_14,-246.19107240995072,-46895.284952825765,-46649.09388041581,1519.7487320994787,1958.3582221269608,419.147693157196,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_15,-72.63421237049988,14199.08051599571,14271.71472836621,1243.496142786622,1603.7249201834202,434.0081139877439,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_16,414.5817762081279,128012.70146111776,127598.11968490965,3953.853207007138,5174.605058431625,530.5765521973372,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,Building_17,1171.6009859154435,85469.2388749598,84297.63788904436,4903.786296434322,6347.716510772705,716.4884076043963,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E2,Building_1,7260.802849741653,1981819.375861585,1974558.5730118435,23634.60108895274,30283.075441360477,584.6912280917168,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_2,-399.7144504451717,-6227.84343961018,-5828.1289891650085,714.7335240736975,913.6129673160611,59.778337717056274,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_3,1802.1081817082888,164055.46042970577,162253.35224799748,14635.871883378742,18794.07159614563,610.9675801545382,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_4,1991.5849292417988,287068.28736706986,285076.70243782806,6411.428929588234,8213.013630390167,219.30346320569515,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_5,-595.6810479151609,200442.0207280897,201037.7017760049,1035.809021146095,1343.0960357189178,177.98002815246582,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_6,6252.776270689443,2768911.2450705976,2762658.468799908,18405.23022689065,23262.434713363647,1136.7062156945467,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_7,1930.147134282124,27805.669090741143,25875.52195645902,6796.218203967379,8810.66784530878,2057.907931178808,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_8,594.7012225314829,-48092.60643132034,-48687.30765385182,5648.202803503467,7277.7434731423855,1377.5827544033527,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_9,-182.43987174571816,-1399.2421057326708,-1216.8022339869526,791.37656366191,1020.9982279539108,207.2546579837799,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_10,3097.7296573023777,290201.88871457166,287104.1590572693,15132.954615966242,19477.362024784088,794.2589787244797,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_11,601.9963592307904,117990.5144497458,117388.51809051502,13060.239328606694,16766.011322021484,493.38030640780926,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_12,3331.873266436276,679814.2868790064,676482.4136125701,15427.895990195337,19980.48533439636,484.6437773704529,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_13,227.94082114890352,5821.368535624274,5593.4277144753705,1762.0891934498322,2304.9361850321293,613.5159951746464,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_14,-701.8555300273947,-54846.16802541064,-54144.312495383245,1509.583317264358,1954.429500579834,438.5593731403351,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_15,-222.2380285324598,14531.258261869178,14753.496290401636,2120.0514549081563,2748.9315241873264,457.3426399976015,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_16,405.5336355024774,142844.11950401618,142438.5858685137,7900.489557624067,10180.30727148056,553.1733643338084,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_17,1082.8433108846366,97146.82730412592,96063.98399324129,5935.47329951881,7663.81706237793,700.5233999043703,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E3,Building_1,8866.628043056466,2066990.2720087063,2058123.64396565,29812.229984278325,38023.56018257141,591.3479960858822,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_2,-513.2504941530733,-5776.099611743203,-5262.84911759013,603.1786635218414,767.922322653234,56.477458238601685,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_3,-381.014294727298,170981.62474747366,171362.63904220096,13215.04591323962,17048.833417892456,590.641118362546,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_4,1898.7107700188644,313402.43264939456,311503.7218793757,6515.768822942278,8370.186267614365,241.18782672286036,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_5,-610.0458629335917,212000.71335693327,212610.7592198669,1249.1888576007914,1621.4319083094597,207.0528998374939,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_6,2656.096125725191,2976644.8138627443,2973988.717737019,14103.742794324178,17696.408433914185,1107.8495190888643,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_7,2026.5497062121904,34422.466161974306,32395.916455762115,7009.741869637772,9090.089998424051,2052.0858311653137,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_8,-287.3682754620677,-48327.046797674426,-48039.67852221236,3557.6176695554896,4568.850383996964,1399.328696325421,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_9,-201.60605605898104,-959.6517692363368,-758.0457131773557,806.4968048009468,1043.4092437028885,204.2424762248993,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_10,3921.404957762105,336564.77855436783,332643.3735966057,19050.81376015028,24397.051955223083,787.9993848204613,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_11,-544.9652378683968,124082.24380281311,124627.20904068153,11815.308858978851,15194.716022491457,501.0157934874296,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_12,1674.530742320465,709154.2007808335,707479.670038513,18771.349817235256,24125.770782470703,472.4245455265045,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_13,96.1562908754786,7822.397315817738,7726.241024942259,1401.3494720202252,1813.7520665302875,567.6567199528217,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_14,-683.7813220831522,-56674.58788684961,-55990.806564766455,1706.921019867685,2211.520590543747,450.7670795917511,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_15,8.167611657190719,17111.144877692524,17102.977266035334,2349.028243940338,3051.678672462702,467.8347786217928,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
