algorithm,cost_function,level,name,scenario,value
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_1,E1,0.0004927555134986981
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_1,E1,134.1481213799135
HAPPO,building_battery_total_charge_kwh,building,Building_1,E1,968694.0174137295
HAPPO,building_battery_total_discharge_kwh,building,Building_1,E1,841500.7324868236
HAPPO,building_battery_total_throughput_kwh,building,Building_1,E1,1810194.749900553
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_1,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_ratio,building,Building_1,E1,nan
HAPPO,building_comfort_resilience_discomfort_overall_ratio,building,Building_1,E1,nan
HAPPO,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,E1,nan
HAPPO,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,E1,0.0
HAPPO,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,E1,nan
HAPPO,building_cost_daily_average_baseline_eur,building,Building_1,E1,5226.888823927846
HAPPO,building_cost_daily_average_control_eur,building,Building_1,E1,5676.888522492212
HAPPO,building_cost_daily_average_delta_eur,building,Building_1,E1,449.99969856436684
HAPPO,building_cost_ratio_to_baseline_total_ratio,building,Building_1,E1,1.0860932217468147
HAPPO,building_cost_total_baseline_eur,building,Building_1,E1,1907596.6336993333
HAPPO,building_cost_total_control_eur,building,Building_1,E1,2071827.773687887
HAPPO,building_cost_total_delta_eur,building,Building_1,E1,164231.1399885537
HAPPO,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,E1,0.053054386157130234
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,E1,1331.01806640625
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,E1,1339.713623046875
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,E1,1332.3719482421875
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,E1,777.1807250976562
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,E1,770.7807006835938
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,E1,774.1807250976562
HAPPO,building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,E1,0.0
HAPPO,building_electrical_service_phase_violations_event_count,building,Building_1,E1,0.0
HAPPO,building_emissions_daily_average_baseline_kgco2,building,Building_1,E1,7747.421253025725
HAPPO,building_emissions_daily_average_control_kgco2,building,Building_1,E1,8759.967222704505
HAPPO,building_emissions_daily_average_delta_kgco2,building,Building_1,E1,1012.5459696787808
HAPPO,building_emissions_ratio_to_baseline_total_ratio,building,Building_1,E1,1.1306945803783852
HAPPO,building_emissions_total_baseline_kgco2,building,Building_1,E1,2827485.9481355133
HAPPO,building_emissions_total_control_kgco2,building,Building_1,E1,3197023.037652865
HAPPO,building_emissions_total_delta_kgco2,building,Building_1,E1,369537.0895173517
HAPPO,building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,E1,4848.634511600252
HAPPO,building_energy_grid_daily_average_export_control_kwh,building,Building_1,E1,5771.344624380582
HAPPO,building_energy_grid_daily_average_export_delta_kwh,building,Building_1,E1,922.7101127803292
HAPPO,building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,E1,10051.995177466599
HAPPO,building_energy_grid_daily_average_import_control_kwh,building,Building_1,E1,11356.585394745536
HAPPO,building_energy_grid_daily_average_import_delta_kwh,building,Building_1,E1,1304.5902172789372
HAPPO,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,E1,5203.360665866346
HAPPO,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,E1,5585.240770364954
HAPPO,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,E1,381.8801044986079
HAPPO,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,E1,1.190303086481929
HAPPO,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,E1,1.129784206443256
HAPPO,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,E1,1.073391050327092
HAPPO,building_energy_grid_total_export_baseline_kwh,building,Building_1,E1,1769549.5702961087
HAPPO,building_energy_grid_total_export_control_kwh,building,Building_1,E1,2106300.3152062297
HAPPO,building_energy_grid_total_export_delta_kwh,building,Building_1,E1,336750.74491012096
HAPPO,building_energy_grid_total_import_baseline_kwh,building,Building_1,E1,3668559.406642914
HAPPO,building_energy_grid_total_import_control_kwh,building,Building_1,E1,4144680.478024006
HAPPO,building_energy_grid_total_import_delta_kwh,building,Building_1,E1,476121.0713810921
HAPPO,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,E1,1899009.836346805
HAPPO,building_energy_grid_total_net_exchange_control_kwh,building,Building_1,E1,2038380.1628177762
HAPPO,building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,E1,139370.3264709711
HAPPO,building_equity_benefit_relative_percent,building,Building_1,E1,-8.609322174681457
HAPPO,building_ev_events_departure_count,building,Building_1,E1,924.0
HAPPO,building_ev_events_departure_met_count,building,Building_1,E1,542.0
HAPPO,building_ev_events_departure_within_tolerance_count,building,Building_1,E1,87.0
HAPPO,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,E1,0.1468813123744752
HAPPO,building_ev_performance_departure_success_ratio,building,Building_1,E1,0.5865800865800865
HAPPO,building_ev_performance_departure_within_tolerance_ratio,building,Building_1,E1,0.09415584415584416
HAPPO,building_ev_total_charge_kwh,building,Building_1,E1,14841.69085293077
HAPPO,building_ev_total_v2g_export_kwh,building,Building_1,E1,2664.655516419298
HAPPO,building_solar_self_consumption_daily_average_export_kwh,building,Building_1,E1,4730.992503611014
HAPPO,building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,E1,9424.330475569273
HAPPO,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_1,E1,0.49800227020103083
HAPPO,building_solar_self_consumption_total_export_kwh,building,Building_1,E1,1726615.1391303698
HAPPO,building_solar_self_consumption_total_generation_kwh,building,Building_1,E1,3439487.9431463024
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_10,E1,5.827061516441902e-05
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_10,E1,18.12624000659431
HAPPO,building_battery_total_charge_kwh,building,Building_10,E1,45262.464084506035
HAPPO,building_battery_total_discharge_kwh,building,Building_10,E1,40039.62138652678
HAPPO,building_battery_total_throughput_kwh,building,Building_10,E1,85302.08547103281
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_discomfort_overall_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,E1,nan
HAPPO,building_cost_daily_average_baseline_eur,building,Building_10,E1,798.9731680295356
HAPPO,building_cost_daily_average_control_eur,building,Building_10,E1,788.9721633443736
HAPPO,building_cost_daily_average_delta_eur,building,Building_10,E1,-10.001004685161922
HAPPO,building_cost_ratio_to_baseline_total_ratio,building,Building_10,E1,0.9874826776600936
HAPPO,building_cost_total_baseline_eur,building,Building_10,E1,291591.91578211257
HAPPO,building_cost_total_control_eur,building,Building_10,E1,287941.965780557
HAPPO,building_cost_total_delta_eur,building,Building_10,E1,-3649.950001555553
HAPPO,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,E1,0.08082830009353063
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,E1,1248.6658935546875
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,E1,1248.5606689453125
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,E1,1262.7613525390625
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,E1,310.1255187988281
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,E1,298.69384765625
