algorithm,scenario,episodes,battery_throughput_total,carbon_emissions,carbon_emissions_control,carbon_emissions_delta,electricity_cost,electricity_cost_control,electricity_cost_delta,ev_charge_total,ev_v2g_export_total,one_minus_load_factor_average,peak_average,price_signal_deviation,pv_self_consumption_ratio,ramping_average,flex_composite
HAPPO,E1,50,8854830.572854016,1.5237308415454343,10694870.985850561,777838.6068301143,1.0623729494773748,6332691.362865451,186408.60670836945,213331.46793942899,52779.5125936268,0.8573905340133239,1.3903228238073362,0.44047288229275566,0.1796712076565404,1.0839090593092051,1.110540805709955
HAPPO,E2,50,16728200.15948116,1.5592353506845364,11999741.10905805,1431341.146902246,0.9674280513644307,5759923.2544646785,-97229.96355094147,190965.20083450526,51626.38560903435,0.8469709098763134,1.4000273280828726,,0.2105781905571617,1.1827900919539245,1.1432627766377035
HAPPO,E3,50,14193059.933626752,1.5929649660423615,11352967.210959308,1106940.2269813095,1.0297782949986545,7368356.081858005,106827.9907668146,194863.48174975626,50550.84319304442,0.8462769592660307,1.421289039691373,0.45301425000360335,0.20235741024731194,1.1531549642453112,1.1402403210675718
MASAC,E1,50,624333.4491729945,1.053619622048921,9250726.214372514,81226.6231709392,1.0049419564019464,5950967.92744811,14672.49268599316,10720.165089577436,3833.1771123362705,0.9786257116077314,1.0850627613699078,0.38935242020988164,0.16414201846505772,1.0219691691061643,1.028552547361268
MASAC,E2,50,637947.5150785556,1.051639591972696,9243171.298157984,77648.98780810599,1.0050652080032747,5944515.783174557,15020.275212663882,11514.183938987553,3494.122005420897,0.9788572813323027,1.0956074399714257,,0.1642838291856845,1.0208812307447095,1.0317819840161462
MASAC,E3,50,717013.0966121654,1.0601897274206082,9270045.676568365,90899.7612329599,1.0055554410308447,7145558.689493987,19792.792564499217,11565.11733596772,3547.4206320410594,0.9777831177218483,1.0863807148533065,0.3899742202101317,0.1643150017229632,1.024945867130649,1.0297032332352678
MATD3,E1,50,8490.250799538378,1.0385496103000702,11060066.494980272,36723.33566290968,1.0080607462410982,8249865.868836236,33074.53857720466,154012.73039302416,29656.91909918259,0.9934690566529493,1.0081243650776304,0.3844033689016431,0.1829580151263629,1.0011755487359968,1.0009229901555254
MATD3,E2,50,9484.482418287756,1.0421428734111502,11019732.720185794,23070.418478806503,1.0039575998186379,7050531.348741419,13934.67084307495,113188.61708337814,37559.584774988005,0.9957821650426082,1.0054542490487863,,0.18275312574214034,1.0007704484747517,1.0006689541887155
MATD3,E3,50,9011.283712025453,1.0741932384067436,11044830.505711775,41293.40711950582,1.0091805161969924,9734645.597044019,44399.364069434494,162807.5272996761,29731.144519319758,0.9935919536582044,1.0071128697365774,0.3576461190979214,0.18289441719083424,1.0011383857310043,1.0006144030419286
MAAC,E1,50,341025.2909646616,1.0279904744395534,10494384.743438182,38565.84588019649,1.001224116074091,5918646.683298586,3628.0400708369775,11085.426500886679,3710.111443613656,0.9955821162398271,1.0307016374943516,0.37992894346227535,0.1790606318207859,1.010993644889474,1.0124257995412176
MAAC,E2,50,604113.0413591035,1.0469962875520018,10558754.019475915,70654.19071758597,1.0039868213638963,6667886.462194674,13275.329877851962,10967.570031635463,3716.8197939107195,0.9926963312773214,1.0402106617728162,,0.17894812963963783,1.0186301738338828,1.0171790556280067
MAAC,E3,50,615244.839861477,1.043854275478452,10564094.134996949,73411.2486337313,1.002675335325078,7112781.500188709,9515.151784724349,10967.148514784873,3677.922525198199,0.9914670028561496,1.0309261417946909,0.379623524784308,0.17918963749231215,1.0189549701035028,1.0137827049181145
