algorithm,scenario,episodes,kpi,value,gain,improved
HAPPO,E1,50,battery_capacity_fade_ratio,0.0006346628308444818,0.9993653371691555,True
HAPPO,E1,50,battery_charge_total,4734437.615973943,,
HAPPO,E1,50,battery_discharge_total,4120392.956880074,,
HAPPO,E1,50,battery_equivalent_full_cycles,168.56069772432073,,
HAPPO,E1,50,battery_throughput_total,8854830.572854016,,
HAPPO,E1,50,carbon_emissions,1.5237308415454343,-0.5237308415454343,False
HAPPO,E1,50,carbon_emissions_baseline,9143444.740325121,,
HAPPO,E1,50,carbon_emissions_control,10694870.985850561,,
HAPPO,E1,50,carbon_emissions_daily_average_baseline,25053.39351156558,,
HAPPO,E1,50,carbon_emissions_daily_average_control,29304.361646353864,,
HAPPO,E1,50,carbon_emissions_daily_average_delta,4250.968134788282,-4250.968134788282,False
HAPPO,E1,50,carbon_emissions_delta,777838.6068301143,-777838.6068301143,False
HAPPO,E1,50,community_import_share,0.22640218986312102,,
HAPPO,E1,50,community_local_traded_daily_average,7099.740414131304,,
HAPPO,E1,50,community_local_traded_total,2591109.42864067,,
HAPPO,E1,50,cost_one_minus_load_factor_average,0.8573905340133239,0.14260946598667612,True
HAPPO,E1,50,cost_peak_average,1.3903228238073362,-0.3903228238073362,False
HAPPO,E1,50,cost_ramping_average,1.0839090593092051,-0.08390905930920511,False
HAPPO,E1,50,electricity_cost,1.0623729494773748,-0.06237294947737482,False
HAPPO,E1,50,electricity_cost_baseline,5960892.891691909,,
HAPPO,E1,50,electricity_cost_control,6332691.362865451,,
HAPPO,E1,50,electricity_cost_daily_average_baseline,16333.077908506202,,
HAPPO,E1,50,electricity_cost_daily_average_control,17351.820151703487,,
HAPPO,E1,50,electricity_cost_daily_average_delta,1018.7422431972827,-1018.7422431972827,False
HAPPO,E1,50,electricity_cost_delta,186408.60670836945,-186408.60670836945,False
HAPPO,E1,50,ev_charge_total,213331.46793942899,,
HAPPO,E1,50,ev_departure_count,39682.0,,
HAPPO,E1,50,ev_departure_met_count,20895.0,,
HAPPO,E1,50,ev_departure_soc_deficit_mean,0.2284021987335719,0.7715978012664281,True
HAPPO,E1,50,ev_departure_success_rate,0.5265611612317928,,
HAPPO,E1,50,ev_departure_within_tolerance_count,2175.0,,
HAPPO,E1,50,ev_departure_within_tolerance_rate,0.05481074542613779,,
HAPPO,E1,50,ev_v2g_export_total,52779.5125936268,,
HAPPO,E1,50,grid_export_baseline,40645680.1407814,,
HAPPO,E1,50,grid_export_control,40137726.308168374,,
HAPPO,E1,50,grid_export_delta,-254672.8229158711,254672.8229158711,True
HAPPO,E1,50,grid_export_ratio,0.9875028826961767,0.012497117303823302,True
HAPPO,E1,50,grid_import,1.5195933982824632,-0.5195933982824632,False
HAPPO,E1,50,grid_import_baseline,11178076.084388733,,
