algorithm,battery_capacity_fade_ratio,battery_charge_total,battery_discharge_total,battery_equivalent_full_cycles,battery_throughput_total,carbon_emissions,carbon_emissions_baseline,carbon_emissions_control,carbon_emissions_daily_average_baseline,carbon_emissions_daily_average_control,carbon_emissions_daily_average_delta,carbon_emissions_delta,community_import_share,community_local_traded_daily_average,community_local_traded_total,cost_one_minus_load_factor_average,cost_peak_average,cost_ramping_average,electricity_cost,electricity_cost_baseline,electricity_cost_control,electricity_cost_daily_average_baseline,electricity_cost_daily_average_control,electricity_cost_daily_average_delta,electricity_cost_delta,episodes,ev_charge_total,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total,flex_composite,grid_export_baseline,grid_export_control,grid_export_delta,grid_export_ratio,grid_import,grid_import_baseline,grid_import_control,grid_import_delta,net_exchange_baseline,net_exchange_control,net_exchange_delta,one_minus_load_factor_average,peak_average,price_signal_deviation,price_signal_deviation_baseline,price_signal_deviation_delta,price_signal_deviation_ratio,pv_export_daily_average,pv_export_total,pv_generation_daily_average,pv_generation_total,pv_self_consumption_ratio,ramping_average,scenario,zero_net_energy
HAPPO,0.0006346628308444818,4734437.615973943,4120392.956880074,168.56069772432073,8854830.572854016,1.5237308415454343,9143444.740325121,10694870.985850561,25053.39351156558,29304.361646353864,4250.968134788282,777838.6068301143,0.22640218986312102,7099.740414131304,2591109.42864067,0.8573905340133239,1.3903228238073362,1.0839090593092051,1.0623729494773748,5960892.891691909,6332691.362865451,16333.077908506202,17351.820151703487,1018.7422431972827,186408.60670836945,50,213331.46793942899,39682.0,20895.0,0.2284021987335719,0.5265611612317928,2175.0,0.05481074542613779,52779.5125936268,1.110540805709955,40645680.1407814,40137726.308168374,-254672.8229158711,0.9875028826961767,1.5195933982824632,11178076.084388733,11444718.932300132,133686.72983250464,-29467604.05639267,-28693007.375868242,388359.55274837575,0.8573905340133239,1.3903228238073362,0.44047288229275566,0.38518172998525724,0.055291152307498426,1.1435456253587486,111348.2513066118,40637472.2164422,135736.12476592427,49538029.867697105,0.1796712076565404,1.0839090593092051,E1,0.9813052920266815
HAPPO,0.0012226044086052817,8933966.971728895,7794233.187752266,318.4382882715518,16728200.15948116,1.5592353506845364,9144881.242106719,11999741.10905805,25057.32958220816,32879.75643536856,7822.426853160402,1431341.146902246,0.45111270869859826,13370.341036166545,4879617.380657615,0.8469709098763134,1.4000273280828726,1.1827900919539245,0.9674280513644307,5953851.809797184,5759923.2544646785,16313.785070799453,15782.413301421657,-531.371769377797,-97229.96355094147,50,190965.20083450526,39682.0,19523.0,0.25038741656563984,0.4919862910135578,2069.0,0.052139509097323726,51626.38560903435,1.1432627766377035,40650861.100133896,39007600.305511184,-823881.6964933941,0.959576236513787,1.556078296510025,11181035.626140594,10816847.511866113,-182593.00192218114,-29469825.4739933,-28190752.793645073,641288.694571212,0.8469709098763134,1.4000273280828726,,,,,107153.05721947478,39106401.174390815,135736.12476592427,49538029.867697105,0.2105781905571617,1.1827900919539245,E2,0.9783597732274801
HAPPO,0.0010271267729816233,7582573.977868812,6610485.955757943,270.17931800858054,14193059.933626752,1.5929649660423615,9145136.299396222,11352967.210959308,25058.028449082012,31107.570848615527,6049.542399533514,1106940.2269813095,0.36970564723931837,11009.847685926497,4018135.661709591,0.8462769592660307,1.421289039691373,1.1531549642453112,1.0297782949986545,7155283.926301469,7368356.081858005,19605.755706271866,20189.581683364784,583.8259770929183,106827.9907668146,50,194863.48174975626,39682.0,19974.0,0.2435035878785236,0.5033516455823799,2145.0,0.054054735144397965,50550.84319304442,1.1402403210675718,40650885.513671875,39221664.02686748,-716568.80457832,0.9648415657188153,1.5908897406087221,11181293.325374603,10868472.504312508,-156838.9811273196,-29469592.18829727,-28353191.522554968,559729.8234510022,0.8462769592660307,1.421289039691373,0.45301425000360335,0.38521250496020565,0.0678017450433977,1.1760112773348361,108268.91408128581,39513642.43491593,135736.12476592427,49538029.867697105,0.20235741024731194,1.1531549642453112,E3,0.9785745869807972
MASAC,5.10651804180305e-05,332451.2102501957,291882.2389227986,11.884821616785853,624333.4491729945,1.053619622048921,9088716.879895853,9250726.214372514,24903.437049606175,25347.348914823648,443.9118652174749,81226.6231709392,0.08236608602305379,2520.173910083967,919758.4699343944,0.9786257116077314,1.0850627613699078,1.0219691691061643,1.0049419564019464,5921703.1287605055,5950967.92744811,16225.69643683664,16305.883121218705,80.18668438206441,14672.49268599316,50,10720.165089577436,39682.0,1563.0,0.5027141603949834,0.03938813567864523,469.0,0.011818960737866036,3833.1771123362705,1.028552547361268,40655093.25299454,40666473.210258365,5705.569394234239,1.000279914676201,1.0526600476938446,11107877.379131317,11166713.320297377,29498.57696435126,-29547215.87386322,-29499759.88996099,23793.00757011609,0.9786257116077314,1.0850627613699078,0.38935242020988164,0.3845739346847668,0.0047784855251148395,1.0124254014485712,113456.12326822054,41406757.654430985,135736.12476592427,49538029.867697105,0.16414201846505772,1.0219691691061643,E1,0.9992642225192476
MASAC,4.9553800053448544e-05,345132.82154580933,292814.6935327461,12.143979195129742,637947.5150785556,1.051639591972696,9088297.682261093,9243171.298157984,24902.288431814846,25326.64815113502,424.35971932017395,77648.98780810599,0.08180134800760319,2502.1749435810157,913189.5971177549,0.9788572813323027,1.0956074399714257,1.0208812307447095,1.0050652080032747,5914557.320100955,5944515.783174557,16206.11664372907,16288.203995454889,82.08735172581879,15020.275212663882,50,11514.183938987553,39682.0,1612.0,0.5010665009797093,0.04062295247215362,507.0,0.012776573761403155,3494.122005420897,1.0317819840161462,40654819.36426163,40650741.652760245,-2044.4422945907447,0.9998996991853574,1.0508408423700657,11107242.547481537,11163503.039496081,28207.32397326982,-29547576.81678009,-29487238.613264162,30251.766267861498,0.9788572813323027,1.0956074399714257,,,,,113436.8744305524,41399732.63071702,135736.12476592427,49538029.867697105,0.1642838291856845,1.0208812307447095,E2,0.9988687270130299
MASAC,5.80514716116429e-05,383545.61018115666,333467.48643100867,13.649072881522985,717013.0966121654,1.0601897274206082,9088742.930663891,9270045.676568365,24903.508429721816,25400.284991168028,496.7765614462115,90899.7612329599,0.08410696734872088,2574.6685330692567,939646.7367147341,0.9777831177218483,1.0863807148533065,1.024945867130649,1.0055554410308447,7106081.274015802,7145558.689493987,19470.938529099127,19579.10817991274,108.16965081361293,19792.792564499217,50,11565.11733596772,39682.0,1643.0,0.5003155133857917,0.04140416309661812,516.0,0.013003376845925105,3547.4206320410594,1.0297032332352678,40654393.347537994,40660493.791114934,3058.5795145712286,1.000150056195029,1.059114980913243,11107847.682125092,11172043.961813642,32186.08999340884,-29546545.665412903,-29488449.82930129,29127.510478838543,0.9777831177218483,1.0863807148533065,0.3899742202101317,0.38457995010225254,0.005394270107879129,1.0140263945284846,113432.64319114307,41398188.40463425,135736.12476592427,49538029.867697105,0.1643150017229632,1.024945867130649,E3,0.9992077522258009
MATD3,6.491037768997175e-07,2339.0884487526127,6151.162350785767,0.16162055127424005,8490.250799538378,1.0385496103000702,10986820.520467822,11060066.494980272,30104.31470387347,30305.01151724244,200.69681336897017,36723.33566290968,0.08711408562366425,3173.3016377023123,1158122.876859773,0.9934690566529493,1.0081243650776304,1.0011755487359968,1.0080607462410982,8183897.547443151,8249865.868836236,22424.19695611778,22604.95271744145,180.75576132367343,33074.53857720466,50,154012.73039302416,39682.0,17435.0,0.3150071212508084,0.4393679754044655,624.0,0.0157250138601885,29656.91909918259,1.0009229901555254,39352684.03644943,39321485.62116025,-15641.950079056976,0.9992072099768268,1.0395562335067712,13204978.475624084,13294323.972622547,44795.15356419106,-26147705.560825348,-26027161.6485377,60437.10364324804,0.9934690566529493,1.0081243650776304,0.3844033689016431,0.38332228773988963,0.0010810811617534832,1.0028202929919041,110898.61026130983,40473371.969950534,135731.8379158463,49536465.346037395,0.1829580151263629,1.0011755487359968,E1,0.9899596948084112
MATD3,7.260281661379266e-07,4405.469097682344,5079.0133206054115,0.18054676041817858,9484.482418287756,1.0421428734111502,10973717.965442343,11019732.720185794,30068.413194498942,30194.4954086607,126.08221416175707,23070.418478806503,0.08750074701288249,3174.492712941129,1158557.569693806,0.9957821650426082,1.0054542490487863,1.0007704484747517,1.0039575998186379,7022738.161467254,7050531.348741419,19242.575165568458,19318.729577553837,76.15441198538058,13934.67084307495,50,113188.61708337814,39682.0,14450.0,0.3603148872196515,0.36414495237135225,537.0,0.013532584043142986,37559.584774988005,1.0006689541887155,39352683.93083191,39329922.57472762,-11411.861551775113,0.9994216060041978,1.043199799675752,13188350.688228607,13240544.900985073,26168.61346272645,-26164333.242603302,-26089377.673742544,37580.475014501564,0.9957821650426082,1.0054542490487863,,,,,110926.42027399981,40483521.465831846,135731.8379158463,49536465.346037395,0.18275312574214034,1.0007704484747517,E2,0.9957416508385861
MATD3,6.97173786666607e-07,3423.3160599650046,5587.96765206045,0.17153894220713953,9011.283712025453,1.0741932384067436,10962469.364197543,11044830.505711775,30037.5915904488,30263.264315228065,225.67272477926446,41293.40711950582,0.0869858368039575,3164.7602825554086,1155005.638120951,0.9935919536582044,1.0071128697365774,1.0011383857310043,1.0091805161969924,9646089.516004698,9734645.597044019,26430.659708198742,26673.306807747056,242.6470995483156,44399.364069434494,50,162807.5272996761,39682.0,19144.0,0.2920805822038773,0.48243536112091123,700.0,0.01764023990726274,29731.144519319758,1.0006144030419286,39352683.96653366,39325835.1259214,-13461.203738868673,0.9993177380065081,1.075911468511894,13174025.587869644,13278088.486106314,52174.01730863507,-26178658.378664017,-26047746.639815085,65635.22104750374,0.9935919536582044,1.0071128697365774,0.3576461190979214,0.35630176433678495,0.0013443547611364237,1.0037730791584454,110907.24252598679,40476522.38687993,135731.8379158463,49536465.346037395,0.18289441719083424,1.0011383857310043,E3,0.9911313266696662
MAAC,2.69326532687986e-05,181649.98978283536,159375.30118182607,6.491762943818274,341025.2909646616,1.0279904744395534,10417463.817999348,10494384.743438182,28544.255238267422,28755.02155982605,210.76632155862822,38565.84588019649,0.09910411309902535,3391.082297380781,1237603.7434482607,0.9955821162398271,1.0307016374943516,1.010993644889474,1.001224116074091,5911410.430769732,5918646.683298586,16197.494044808036,16217.321657628276,19.827612820240798,3628.0400708369775,50,11085.426500886679,39682.0,1677.0,0.5001015868844906,0.04226097474925659,542.0,0.013658585756766293,3710.111443613656,1.0124257995412176,39642401.10018158,39628757.33693227,-6840.573845111944,0.9996558290398498,1.027697229384953,12471908.741031647,12487915.029436171,8025.073128036143,-27170492.359149933,-27140842.307496104,14865.646973146218,0.9955821162398271,1.0307016374943516,0.37992894346227535,0.3793213483543036,0.000607595107971759,1.0016017951813359,111726.2682727422,40775432.65837287,136095.6394630498,49669237.752368875,0.1790606318207859,1.010993644889474,E1,0.9986756010334867
