algorithm,kruskal_H,kruskal_p,mean,median,metric,n,normality_rejected_alpha05,objective,scenario,shapiro_W,shapiro_p,std
HAPPO,,,-0.6302595084115008,-0.6303079866851847,reward_mean,49,True,OE1,E1,0.8942834734916687,0.00035935695632360876,0.0212941749740998
MASAC,,,-0.6133306039931886,-0.6198266866174633,reward_mean,50,True,OE1,E1,0.7621653079986572,1.3063412040992262e-07,0.014124164456404622
MATD3,,,-0.6330435627356475,-0.6208251460013352,reward_mean,50,True,OE1,E1,0.6874924898147583,4.9697614912247445e-09,0.04704873332375358
MAAC,,,-0.6051573274768176,-0.6126499299083629,reward_mean,50,True,OE1,E1,0.7530270218849182,8.482652447128203e-08,0.01469522304963422
ALL_KRUSKAL,52.86463058906723,1.959331223860867e-11,nan,nan,reward_mean,199,,OE1,E1,nan,1.959331223860867e-11,nan
HAPPO,,,883.002641347598,804.8168544769287,district_emission,49,True,OE2,E2,0.9332813620567322,0.008154917508363724,287.03414493768634
MASAC,,,1078.3684531803428,1132.6354122161863,district_emission,50,True,OE2,E2,0.7643879652023315,1.4532379566389864e-07,121.10072678518512
MATD3,,,1132.1936166521907,1137.4043860435486,district_emission,50,True,OE2,E2,0.611748456954956,2.921810016154325e-10,236.78448667789124
MAAC,,,1056.3903547742964,1132.6330785155296,district_emission,50,True,OE2,E2,0.7056064605712891,1.0447892329068509e-08,99.38122954609372
ALL_KRUSKAL,23.806380047521955,2.7416281510917326e-05,nan,nan,district_emission,199,,OE2,E2,nan,2.7416281510917326e-05,nan
HAPPO,,,352.5740728388179,232.48682975769043,district_cost,49,True,OE3,E3,0.8576273918151855,2.9542197808041237e-05,381.71262806025305
MASAC,,,812.1612727615982,689.5406340360641,district_cost,50,True,OE3,E3,0.689295768737793,5.34453548084457e-09,206.37617819223814
MATD3,,,759.2885912102461,690.9834417104721,district_cost,50,True,OE3,E3,0.792750895023346,5.992915248498321e-07,303.87941031021427
MAAC,,,795.3938091005385,689.5406326055527,district_cost,50,True,OE3,E3,0.6491007804870605,1.1234708718887987e-09,211.95614407345911
ALL_KRUSKAL,48.52985296268235,1.6425113687237728e-10,nan,nan,district_cost,199,,OE3,E3,nan,1.6425113687237728e-10,nan
