algorithm,district_cost_last,district_cost_mean,district_cost_median,district_cost_std,district_emission_last,district_emission_mean,district_emission_median,district_emission_std,n_episodes,reward_mean_last,reward_mean_mean,reward_mean_median,reward_mean_std,scenario
HAPPO,278.03897581994534,463.71590350857196,394.9518072605133,406.75260660453546,1133.448224067688,1046.351788518076,1078.6369495168328,320.2057113326926,49,-0.6341125105363083,-0.6302595084115008,-0.6303079866851847,0.0212941749740998,E1
HAPPO,-1.043081283569336e-05,195.4503256909131,1.3649463653564451e-05,272.4652289904374,626.5220823287964,883.002641347598,804.8168544769287,287.03414493768634,49,-0.488585151399759,-0.48419581147869617,-0.4817833171351308,0.01838851555008904,E2
HAPPO,496.465208530426,352.5740728388179,232.48682975769043,381.71262806025305,1161.0289335250854,839.7167802971541,793.0292460918427,478.54020174086,49,-0.5228749893175955,-0.5208137955889047,-0.5186502075397844,0.016670033963716996,E3
MAAC,574.6171877980232,642.6126307360828,574.6171872615814,186.17272601513562,1139.5708111524582,1054.3330277088285,1130.5517107248306,100.8881873916571,50,-0.613195339604192,-0.6051573274768176,-0.6126499299083629,0.01469522304963422,E1
MAAC,768.121980547905,707.4736682274192,763.4456533193588,68.81755039398551,1139.5708111524582,1056.3903547742964,1132.6330785155296,99.38122954609372,50,-0.5277731741774441,-0.5237155915828978,-0.5274159891083237,0.009338384122833696,E2
MAAC,689.5406326055527,795.3938091005385,689.5406326055527,211.95614407345911,1139.5708111524582,1053.5495461061596,1131.5335593819618,100.86629205527211,50,-0.5419790135380939,-0.5386707870532432,-0.541934065159168,0.010461731102915626,E3
MASAC,536.1433240398765,664.7389367564023,574.6171877980232,184.828156676698,925.744892977178,1076.4802792163193,1132.6354122161863,119.53255455343074,50,-0.5895927763098163,-0.6133306039931886,-0.6198266866174633,0.014124164456404622,E1
MASAC,623.9936952479184,701.7632863809913,763.4472264051437,111.19684717215631,925.744892977178,1078.3684531803428,1132.6354122161863,121.10072678518512,50,-0.5125064952745902,-0.525538344918139,-0.5282275066808146,0.008997080317898977,E2
MASAC,643.3719779960811,812.1612727615982,689.5406340360641,206.37617819223814,925.744892977178,1082.9016804261505,1132.6354122161863,121.88778160232698,50,-0.5263825588275348,-0.540932982848212,-0.5431901089086011,0.010107688067756295,E3
MATD3,949.013618350029,631.505827665329,574.6171628236771,252.72637335614104,1132.635359287262,1129.2368299338223,1132.635359287262,237.63504269406627,50,-0.6270644681842904,-0.6330435627356475,-0.6208251460013352,0.04704873332375358,E1
MATD3,763.4472042322159,669.4571524357796,766.6617313623428,205.24095150289165,1132.6353945732117,1132.1936166521907,1137.4043860435486,236.78448667789124,50,-0.5400036063529057,-0.5336253446673433,-0.5361115322477781,0.010119365868222067,E2
MATD3,1138.8163262605667,759.2885912102461,690.9834417104721,303.87941031021427,1132.6353707313538,1131.144450955093,1135.0199716091156,237.0978577723461,50,-0.5606717322690228,-0.5503890034083293,-0.5495237712477443,0.0144291060852327,E3
