algorithm,scenario,episodes,kpi,value,gain,gain_kind,improved
HAPPO,E1,50,peak_average,1.3903228238073362,-0.3903228238073362,ratio_lower_better,False
HAPPO,E1,50,ramping_average,1.0839090593092051,-0.08390905930920511,ratio_lower_better,False
HAPPO,E1,50,one_minus_load_factor_average,0.8573905340133239,0.14260946598667612,ratio_lower_better,True
HAPPO,E1,50,pv_self_consumption_ratio,0.1796712076565404,-0.8203287923434596,higher_better,False
HAPPO,E1,50,carbon_emissions,1.5237308415454343,-0.5237308415454343,ratio_lower_better,False
HAPPO,E1,50,carbon_emissions_delta,777838.6068301143,-777838.6068301143,delta_lower_better,False
HAPPO,E1,50,electricity_cost,1.0623729494773748,-0.06237294947737482,ratio_lower_better,False
HAPPO,E1,50,electricity_cost_delta,186408.60670836945,-186408.60670836945,delta_lower_better,False
HAPPO,E1,50,flex_composite,1.110540805709955,-0.11054080570995506,ratio_lower_better,False
HAPPO,E2,50,peak_average,1.4000273280828726,-0.40002732808287256,ratio_lower_better,False
HAPPO,E2,50,ramping_average,1.1827900919539245,-0.18279009195392448,ratio_lower_better,False
HAPPO,E2,50,one_minus_load_factor_average,0.8469709098763134,0.1530290901236866,ratio_lower_better,True
HAPPO,E2,50,pv_self_consumption_ratio,0.2105781905571617,-0.7894218094428382,higher_better,False
HAPPO,E2,50,carbon_emissions,1.5592353506845364,-0.5592353506845364,ratio_lower_better,False
HAPPO,E2,50,carbon_emissions_delta,1431341.146902246,-1431341.146902246,delta_lower_better,False
HAPPO,E2,50,electricity_cost,0.9674280513644307,0.03257194863556934,ratio_lower_better,True
HAPPO,E2,50,electricity_cost_delta,-97229.96355094147,97229.96355094147,delta_lower_better,True
HAPPO,E2,50,flex_composite,1.1432627766377035,-0.14326277663770348,ratio_lower_better,False
HAPPO,E3,50,peak_average,1.421289039691373,-0.4212890396913731,ratio_lower_better,False
HAPPO,E3,50,ramping_average,1.1531549642453112,-0.15315496424531116,ratio_lower_better,False
HAPPO,E3,50,one_minus_load_factor_average,0.8462769592660307,0.15372304073396925,ratio_lower_better,True
HAPPO,E3,50,pv_self_consumption_ratio,0.20235741024731194,-0.7976425897526881,higher_better,False
HAPPO,E3,50,carbon_emissions,1.5929649660423615,-0.5929649660423615,ratio_lower_better,False
HAPPO,E3,50,carbon_emissions_delta,1106940.2269813095,-1106940.2269813095,delta_lower_better,False
HAPPO,E3,50,electricity_cost,1.0297782949986545,-0.029778294998654475,ratio_lower_better,False
HAPPO,E3,50,electricity_cost_delta,106827.9907668146,-106827.9907668146,delta_lower_better,False
HAPPO,E3,50,flex_composite,1.1402403210675718,-0.14024032106757178,ratio_lower_better,False
MASAC,E1,50,peak_average,1.0850627613699078,-0.08506276136990776,ratio_lower_better,False
MASAC,E1,50,ramping_average,1.0219691691061643,-0.02196916910616431,ratio_lower_better,False
MASAC,E1,50,one_minus_load_factor_average,0.9786257116077314,0.021374288392268626,ratio_lower_better,True
MASAC,E1,50,pv_self_consumption_ratio,0.16414201846505772,-0.8358579815349423,higher_better,False
MASAC,E1,50,carbon_emissions,1.053619622048921,-0.0536196220489209,ratio_lower_better,False
MASAC,E1,50,carbon_emissions_delta,81226.6231709392,-81226.6231709392,delta_lower_better,False
MASAC,E1,50,electricity_cost,1.0049419564019464,-0.00494195640194639,ratio_lower_better,False
MASAC,E1,50,electricity_cost_delta,14672.49268599316,-14672.49268599316,delta_lower_better,False
MASAC,E1,50,flex_composite,1.028552547361268,-0.028552547361268,ratio_lower_better,False
MASAC,E2,50,peak_average,1.0956074399714257,-0.09560743997142573,ratio_lower_better,False
MASAC,E2,50,ramping_average,1.0208812307447095,-0.02088123074470949,ratio_lower_better,False
MASAC,E2,50,one_minus_load_factor_average,0.9788572813323027,0.021142718667697347,ratio_lower_better,True
MASAC,E2,50,pv_self_consumption_ratio,0.1642838291856845,-0.8357161708143155,higher_better,False
MASAC,E2,50,carbon_emissions,1.051639591972696,-0.051639591972695964,ratio_lower_better,False
MASAC,E2,50,carbon_emissions_delta,77648.98780810599,-77648.98780810599,delta_lower_better,False
MASAC,E2,50,electricity_cost,1.0050652080032747,-0.0050652080032747016,ratio_lower_better,False
MASAC,E2,50,electricity_cost_delta,15020.275212663882,-15020.275212663882,delta_lower_better,False
MASAC,E2,50,flex_composite,1.0317819840161462,-0.03178198401614618,ratio_lower_better,False
MASAC,E3,50,peak_average,1.0863807148533065,-0.08638071485330645,ratio_lower_better,False
MASAC,E3,50,ramping_average,1.024945867130649,-0.024945867130649058,ratio_lower_better,False
MASAC,E3,50,one_minus_load_factor_average,0.9777831177218483,0.02221688227815166,ratio_lower_better,True
MASAC,E3,50,pv_self_consumption_ratio,0.1643150017229632,-0.8356849982770368,higher_better,False
