algorithm,group,improved,mean_gain,median_gain,n,not_improved,pct_improved
HAPPO,OE1_E1_flex,2,-0.15717698552482748,-0.09722493250958009,6,4,33.333333333333336
MASAC,OE1_E1_flex,2,-0.02768907660969394,-0.025260858233716155,6,4,33.333333333333336
MATD3,OE1_E1_flex,2,-0.005534648156214035,-0.001049269445761114,6,4,33.333333333333336
MAAC,OE1_E1_flex,2,-0.012679338097218329,-0.01170972221534583,6,4,33.333333333333336
HAPPO,OE2_E2_co2,0,-715670.8530687983,-715670.8530687983,2,2,0.0
MASAC,OE2_E2_co2,0,-38824.51972384898,-38824.51972384898,2,2,0.0
MATD3,OE2_E2_co2,0,-11535.230310839957,-11535.230310839957,2,2,0.0
MAAC,OE2_E2_co2,0,-35327.11885693676,-35327.11885693676,2,2,0.0
HAPPO,OE3_E3_cost,0,-53414.0102725548,-53414.0102725548,2,2,0.0
MASAC,OE3_E3_cost,0,-9896.399059970125,-9896.399059970125,2,2,0.0
MATD3,OE3_E3_cost,0,-22199.686624975344,-22199.686624975344,2,2,0.0
MAAC,OE3_E3_cost,0,-4757.577230029837,-4757.577230029837,2,2,0.0
