algorithm,scenario,action_l2,action_mean,ev_charge_kwh,ev_v2g_export_kwh,electrical_storage_soc
HAPPO,E1,2.2503338500920287,0.24458103283785698,0.0,0.0,0.0
HAPPO,E2,2.233969006746213,0.21864808769866037,0.0,0.0,0.0
HAPPO,E3,2.2210505689181117,0.21240410110713323,0.0,0.0,0.0
MAAC,E1,0.1723529411764706,0.007096938558921802,0.0,0.0,0.0
MAAC,E2,0.17529411764705882,0.007631083752646308,0.0,0.0,0.0
MAAC,E3,0.1723529411764706,0.0073881175129126295,0.0,0.0,0.0
MASAC,E1,0.18411764705882352,0.00920779690776048,0.0,0.0,0.0
MASAC,E2,0.18058823529411766,0.009568851912368575,0.0,0.0,0.0
MASAC,E3,0.17411764705882352,0.010054486808038072,0.0,0.0,0.0
MATD3,E1,2.4777696041662542,0.2723876096626107,0.0,0.0,0.0
MATD3,E2,2.385445444254756,0.2429668215872608,0.0,0.0,0.0
MATD3,E3,2.4696399550109414,0.26425560974795087,0.0,0.0,0.0
