kpi,value
peak_average,0.9248403766823091
ramping_average,1.0
one_minus_load_factor_average,1.057465159462448
pv_self_consumption_ratio,
battery_throughput_total,751.6280815601349
ev_charge_total,0.0
ev_v2g_export_total,0.0
carbon_emissions,21.78354129369275
carbon_emissions_control,2383.798701405525
carbon_emissions_delta,-760.44429192558
electricity_cost,0.9207398790126389
electricity_cost_control,1293.954581880208
electricity_cost_delta,-501.2441577949239
price_signal_deviation,0.04462123381363633
