cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,0.00036115338191888727
building_battery_health_equivalent_full_cycles_count,building,Building_1,143.47180235420376
building_battery_total_charge_kwh,building,Building_1,1047561.0937881768
building_battery_total_discharge_kwh,building,Building_1,888447.4071794486
building_battery_total_throughput_kwh,building,Building_1,1936008.5009676255
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5412.722335169527
building_cost_daily_average_control_eur,building,Building_1,5619.964322256121
building_cost_daily_average_delta_eur,building,Building_1,207.24198708659392
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.038287939830208
building_cost_total_baseline_eur,building,Building_1,1975418.1222395785
building_cost_total_control_eur,building,Building_1,2051052.81244339
building_cost_total_delta_eur,building,Building_1,75634.69020381151
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.0671802548364672
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1228.0623779296875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1226.0692138671875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1228.54931640625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,760.7417602539062
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,763.09619140625
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,762.7608032226562
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7890.518981077665
building_emissions_daily_average_control_kgco2,building,Building_1,8447.82538962307
building_emissions_daily_average_delta_kgco2,building,Building_1,557.3064085454058
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0706298799713794
building_emissions_total_baseline_kgco2,building,Building_1,2879710.656469136
building_emissions_total_control_kgco2,building,Building_1,3083104.274487853
building_emissions_total_delta_kgco2,building,Building_1,203393.61801871704
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4815.878703993414
building_energy_grid_daily_average_export_control_kwh,building,Building_1,5097.550874361452
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,281.67217036803737
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10241.949950122442
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10958.221221153235
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,716.2712710307932
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,5426.071246129028
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,5860.670346791783
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,434.59910066275586
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.058488219425973
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.0699350489427288
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.080094617440344
building_energy_grid_total_export_baseline_kwh,building,Building_1,1757595.0653449297
building_energy_grid_total_export_control_kwh,building,Building_1,1860393.6711888313
building_energy_grid_total_export_delta_kwh,building,Building_1,102798.60584390163
building_energy_grid_total_import_baseline_kwh,building,Building_1,3737884.9838801026
building_energy_grid_total_import_control_kwh,building,Building_1,3999294.153170049
building_energy_grid_total_import_delta_kwh,building,Building_1,261409.16928994656
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,1980289.918535173
building_energy_grid_total_net_exchange_control_kwh,building,Building_1,2138900.481981218
building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,158610.56344604492
building_equity_benefit_relative_percent,building,Building_1,-3.8287939830208026
building_ev_events_departure_count,building,Building_1,924.0
building_ev_events_departure_met_count,building,Building_1,126.0
building_ev_events_departure_within_tolerance_count,building,Building_1,63.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,0.4470027009396652
building_ev_performance_departure_success_ratio,building,Building_1,0.13636363636363635
building_ev_performance_departure_within_tolerance_ratio,building,Building_1,0.06818181818181818
building_ev_total_charge_kwh,building,Building_1,3538.928871255368
building_ev_total_v2g_export_kwh,building,Building_1,4042.0543606318242
building_solar_self_consumption_daily_average_export_kwh,building,Building_1,4821.663253431663
building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,9449.55587890279
