cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,0.0003374529409806681
building_battery_health_equivalent_full_cycles_count,building,Building_1,135.3312235054583
building_battery_total_charge_kwh,building,Building_1,988193.1123265773
building_battery_total_discharge_kwh,building,Building_1,837966.4176560772
building_battery_total_throughput_kwh,building,Building_1,1826159.5299826544
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5642.173323471204
building_cost_daily_average_control_eur,building,Building_1,5829.333496691418
building_cost_daily_average_delta_eur,building,Building_1,187.16017322021418
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.033171645479524
building_cost_total_baseline_eur,building,Building_1,2059158.1725118447
building_cost_total_control_eur,building,Building_1,2127463.837396672
building_cost_total_delta_eur,building,Building_1,68305.66488482733
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.06877108156288307
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1230.2779541015625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1228.37451171875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1230.6168212890625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,760.5761108398438
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,763.0659790039062
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,762.7697143554688
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7890.52002859829
building_emissions_daily_average_control_kgco2,building,Building_1,8408.121726238505
