metric,value
battery_capacity_fade_ratio,0.0004831812951161643
battery_charge_total,4975198.288583401
battery_discharge_total,4220262.942131899
battery_equivalent_full_cycles,175.0449484260127
battery_throughput_total,9195461.230715299
carbon_emissions,1.418920728537625
carbon_emissions_baseline,10495657.205877407
carbon_emissions_control,11891500.304102303
carbon_emissions_daily_average_baseline,28758.508156302978
carbon_emissions_daily_average_control,32583.172428183047
carbon_emissions_daily_average_delta,3824.6642718800695
carbon_emissions_delta,699833.8812483886
community_import_share,0.1847474399146722
community_local_traded_daily_average,6636.701550273971
community_local_traded_total,2422119.536618738
cost_one_minus_load_factor_average,0.9340365740442568
cost_peak_average,1.1519604942410047
cost_ramping_average,1.1056624697777824
electricity_cost,1.0433697351150075
electricity_cost_baseline,5957996.329614123
electricity_cost_control,6216393.052245675
electricity_cost_daily_average_baseline,16325.141215976591
electricity_cost_daily_average_control,17033.158266228587
electricity_cost_daily_average_delta,708.0170502519959
electricity_cost_delta,129552.36984090167
ev_charge_total,105886.64410170913
ev_departure_count,39682.0
ev_departure_met_count,8144.0
ev_departure_soc_deficit_mean,0.34391132929571716
ev_departure_success_rate,0.20523159114963963
ev_departure_within_tolerance_count,2512.0
ev_departure_within_tolerance_rate,0.06330326092434857
ev_v2g_export_total,46956.2508762877
grid_export_baseline,39642257.443626404
grid_export_control,39365196.84405005
grid_export_delta,-138909.87818695727
grid_export_ratio,0.9930109782478873
grid_import,1.4109786821660124
grid_import_baseline,12573631.048870087
grid_import_control,13110436.2676821
grid_import_delta,269138.0429744212
net_exchange_baseline,-27068626.394756317
net_exchange_control,-26254760.576367944
net_exchange_delta,408047.9211613813
one_minus_load_factor_average,0.9340365740442568
peak_average,1.1519604942410047
price_signal_deviation,0.3858053708223269
price_signal_deviation_baseline,0.37913521695102903
price_signal_deviation_delta,0.006670153871297879
price_signal_deviation_ratio,1.0175930738509038
pv_export_daily_average,110849.34532442086
pv_export_total,40455392.320691764
pv_generation_daily_average,136095.6394630498
pv_generation_total,49669237.752368875
pv_self_consumption_ratio,0.18550406345299056
ramping_average,1.1056624697777824
zero_net_energy,0.9886522612414962
