action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.0,0.0,0.0,0.0,Building_1,0,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5404364466667175,0.0,0.0,0.0,0.0,64,3.3512938559391947,1.0,0.22822004300542176,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
8,0.0,0.0,0.0,0.0,Building_2,1,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.42957639694213867,0.0,0.0,0.0,0.0,78,3.4313283575988627,1.0,0.18794509099844176,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
10,0.0,0.0,0.0,0.0,Building_3,2,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5275378823280334,0.0,0.0,0.0,0.0,92,3.48253435869289,1.0,0.16693019502512788,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
8,0.0,0.0,0.0,0.0,Building_4,3,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4954773783683777,0.0,0.0,0.0,0.0,78,3.3526943269816174,1.0,0.18393695717438674,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
5,0.0,0.0,0.0,0.0,Building_5,4,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5226952433586121,0.0,0.0,0.0,0.0,57,3.402492142442395,1.0,0.26281924611120894,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
34,0.0,0.0,0.0,0.0,Building_6,5,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5332043170928955,0.0,0.0,0.0,0.0,260,3.337631548597973,1.0,0.05485789380394496,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
44,0.0,0.0,0.0,0.0,Building_7,6,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.42984431982040405,0.0,0.0,0.0,0.0,330,3.4149667010378306,1.0,0.0442771235650236,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
19,0.0,0.0,0.0,0.0,Building_8,7,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4296156167984009,0.0,0.0,0.0,0.0,155,3.4274495038608204,1.0,0.09453268541443732,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
12,0.0,0.0,0.0,0.0,Building_9,8,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.440209299325943,0.0,0.0,0.0,0.0,106,3.529678408946232,1.0,0.14727685909788563,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
8,0.0,0.0,0.0,0.0,Building_10,9,MAAC,0.7900000214576721,False,0.0,0.0,0.0,0.43466824293136597,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.45351532101631165,0.0,0.0,0.0,0.0,78,3.3837904344710794,1.0,0.18562943305676946,0.0,0.0,0.0,-0.4808776378631592,CityLearnV3MADRLRewardFunction,maac_unified_comparable_v4,E1,-0.0,1907,14.133936100907311,1.0,0.13253982093157837,0.0,1
