available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.477706672648155e-05
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,358700.8645009674
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,316079.59448353073
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,12.845131709900595
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,674780.458984498
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.10463533178952408
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3592.2377194553483
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1311017.091029558
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,11359.92720144242
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,1641.0
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.5006863821348964
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.04135376241116879
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,504.0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.012700972733229171
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,3883.6015368360095
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,39642010.75740814
True,OE1,Flexibilidad energetica,39642010.75740814,5601.666359588504,False,grid_export_control,True,citylearn_v2.evaluate_v2,39647612.42376773
True,OE1,Flexibilidad energetica,0.0,2808.5075714274362,False,grid_export_delta,True,citylearn_v2.evaluate_v2,2808.5075714274362
True,OE1,Flexibilidad energetica,1.0,0.00014130631248421288,False,grid_export_ratio,True,citylearn_v2.evaluate_v2,1.0001413063124842
True,OE1,Flexibilidad energetica,1.0,0.049833383769628536,False,grid_import,True,citylearn_v2.evaluate_v2,1.0498333837696285
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,12473692.698825836
True,OE1,Flexibilidad energetica,12473692.698825836,55699.320178732276,False,grid_import_control,True,citylearn_v2.evaluate_v2,12529392.019004568
True,OE1,Flexibilidad energetica,0.0,27925.96923905729,False,grid_import_delta,True,citylearn_v2.evaluate_v2,27925.96923905729
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-27168318.058582306
True,OE1,Flexibilidad energetica,-27168318.058582306,50097.6538191475,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-27118220.40476316
True,OE1,Flexibilidad energetica,0.0,25117.46166763172,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,25117.46166763172
True,OE1,Flexibilidad energetica,1.0,-0.017178418024617614,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9828215819753824
True,OE1,Flexibilidad energetica,1.0,0.08921586229823308,False,peak_average,True,citylearn_v2.evaluate_v2,1.089215862298233
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,111708.58081306177
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,40768977.472567
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,136095.6394630498
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49669237.752368875
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.1791905952770011
True,OE1,Flexibilidad energetica,1.0,0.0215272114711218,False,ramping_average,True,citylearn_v2.evaluate_v2,1.0215272114711218
True,OE1,Flexibilidad energetica,1.0,-0.000823825098250297,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9991761749017497
True,OE2,Emisiones de CO2,1.0,0.05073065844505753,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0507306584450575
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10419000.77913157
True,OE2,Emisiones de CO2,10419000.77913157,165019.3713148199,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,10584020.15044639
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28548.46657143027
True,OE2,Emisiones de CO2,28548.46657143027,452.159482995281,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,29000.62605442555
True,OE2,Emisiones de CO2,0.0,452.1594829952823,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,452.1594829952823
True,OE2,Emisiones de CO2,0.0,82735.76539890759,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,82735.76539890759
True,OE3,Costos energeticos,1.0,-0.017178418024617614,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9828215819753824
True,OE3,Costos energeticos,1.0,0.08921586229823308,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.089215862298233
True,OE3,Costos energeticos,1.0,0.0215272114711218,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.0215272114711218
True,OE3,Costos energeticos,1.0,0.004567482935531997,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.004567482935532
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,5912299.650756408
True,OE3,Costos energeticos,5912299.650756408,27004.32776458189,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,5939303.97852099
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,16199.930542088572
True,OE3,Costos energeticos,16199.930542088572,73.99290630779433,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,16273.923448396366
True,OE3,Costos energeticos,0.0,73.99290630779375,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,73.99290630779375
True,OE3,Costos energeticos,0.0,13539.160335444842,False,electricity_cost_delta,True,citylearn_v2.evaluate_v2,13539.160335444842
True,OE3,Costos energeticos,0.37930795276419743,0.002270797249618983,False,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.3815787500138164
