cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,5.745017101841564e-05
building_battery_health_equivalent_full_cycles_count,building,Building_1,13.929907103180549
building_battery_total_charge_kwh,building,Building_1,99234.40575885697
building_battery_total_discharge_kwh,building,Building_1,88735.76069146136
building_battery_total_throughput_kwh,building,Building_1,187970.16645031833
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5410.379180523189
building_cost_daily_average_control_eur,building,Building_1,5453.5438061569075
building_cost_daily_average_delta_eur,building,Building_1,43.164625633719346
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0079781146927942
building_cost_total_baseline_eur,building,Building_1,1974562.9684251086
building_cost_total_control_eur,building,Building_1,1990316.258255348
building_cost_total_delta_eur,building,Building_1,15753.28983023949
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.003056440388834788
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1261.2227783203125
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1261.2227783203125
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1261.2227783203125
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,837.5178833007812
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,837.5178833007812
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,837.5178833007812
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7887.084108896873
building_emissions_daily_average_control_kgco2,building,Building_1,8012.234700826195
building_emissions_daily_average_delta_kgco2,building,Building_1,125.1505919293225
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0158677896927901
building_emissions_total_baseline_kgco2,building,Building_1,2878457.071242821
building_emissions_total_control_kgco2,building,Building_1,2924131.8226890266
building_emissions_total_delta_kgco2,building,Building_1,45674.75144620566
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4815.714467304185
building_energy_grid_daily_average_export_control_kwh,building,Building_1,4948.687634900874
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,132.9731675966892
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10237.533782353561
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10399.682578375003
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,162.14879602144157
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,5421.819315049376
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,5450.994943474128
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,29.17562842475237
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.0276123446478185
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.0158386579686738
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.005381150999217
building_energy_grid_total_export_baseline_kwh,building,Building_1,1757535.1257965565
building_energy_grid_total_export_control_kwh,building,Building_1,1806064.7914206982
building_energy_grid_total_export_delta_kwh,building,Building_1,48529.66562414169
building_energy_grid_total_import_baseline_kwh,building,Building_1,3736273.2666514516
building_energy_grid_total_import_control_kwh,building,Building_1,3795450.8209994435
building_energy_grid_total_import_delta_kwh,building,Building_1,59177.55434799194
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,1978738.140854895
