metric,value
battery_capacity_fade_ratio,5.8525634206575514e-05
battery_charge_total,387474.2518110984
battery_discharge_total,338931.8603855882
battery_equivalent_full_cycles,13.827878477817082
battery_throughput_total,726406.1121966869
carbon_emissions,1.0522430118615078
carbon_emissions_baseline,10418738.477705272
carbon_emissions_control,10591446.496406594
carbon_emissions_daily_average_baseline,28547.747855340396
carbon_emissions_daily_average_control,29020.974530626587
carbon_emissions_daily_average_delta,473.2266752861899
carbon_emissions_delta,86590.62268830428
community_import_share,0.10515915368460123
community_local_traded_daily_average,3611.086335149093
community_local_traded_total,1317896.0503987877
cost_one_minus_load_factor_average,0.9806625768543861
cost_peak_average,1.0809437899932686
cost_ramping_average,1.0226132440943358
electricity_cost,1.0050396407601672
electricity_cost_baseline,7094588.040448039
electricity_cost_control,7130342.215513276
electricity_cost_daily_average_baseline,19439.446622988118
electricity_cost_daily_average_control,19537.414450544427
electricity_cost_daily_average_delta,97.9678275563067
electricity_cost_delta,17926.0714463967
ev_charge_total,11448.820955269039
ev_departure_count,39682.0
ev_departure_met_count,1658.0
ev_departure_soc_deficit_mean,0.5003223895903307
ev_departure_success_rate,0.04178216823748803
ev_departure_within_tolerance_count,516.0
ev_departure_within_tolerance_rate,0.013003376845925105
ev_v2g_export_total,3786.4879757869057
grid_export_baseline,39641992.52773285
grid_export_control,39644749.39444798
grid_export_delta,1382.2103184732737
grid_export_ratio,1.0000695441005698
grid_import,1.0512597814264801
grid_import_baseline,12473433.342071533
grid_import_control,12532394.986284215
grid_import_delta,29561.60070327573
net_exchange_baseline,-27168559.185661316
net_exchange_control,-27112354.408163764
net_exchange_delta,28179.390384804326
one_minus_load_factor_average,0.9806625768543861
peak_average,1.0809437899932686
price_signal_deviation,0.38149154120398204
price_signal_deviation_baseline,0.37930519778142613
price_signal_deviation_delta,0.002186343422555914
price_signal_deviation_ratio,1.0057640745113539
pv_export_daily_average,111698.96326063854
pv_export_total,40765467.466663875
pv_generation_daily_average,136095.6394630498
pv_generation_total,49669237.752368875
pv_self_consumption_ratio,0.17926126287855812
ramping_average,1.0226132440943358
zero_net_energy,0.9990659966290548
