action_dim,action_l2_max,action_l2_mean,action_l2_min,action_l2_total,action_mean_max,action_mean_mean,action_mean_min,action_mean_total,agent,agent_index,agent_steps,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_max,carbon_emissions_mean,carbon_emissions_min,carbon_emissions_ratio_to_baseline,carbon_emissions_total,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_max,electricity_cost_mean,electricity_cost_min,electricity_cost_ratio_to_baseline,electricity_cost_total,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_max,grid_export_mean,grid_export_min,grid_export_ratio_to_baseline,grid_export_total,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_max,grid_import_mean,grid_import_min,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_import_total,grid_role_control,individual_reward_max,individual_reward_mean,individual_reward_min,individual_reward_total,net_electricity_consumption_max,net_electricity_consumption_mean,net_electricity_consumption_min,net_electricity_consumption_total,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,observation_l2_max,observation_l2_mean,observation_l2_min,observation_l2_total,observation_mean_max,observation_mean_mean,observation_mean_min,observation_mean_total,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio,team_reward_max,team_reward_mean,team_reward_min,team_reward_total
6,1.0,0.09942987457240593,0.0,436.0,0.16666666666666666,0.005169137210186241,-0.16666666666666666,22.666666666666664,Building_1,0,4385,4.776022555436264e-05,89439.08484597079,75030.63236670801,12.188359064226976,164469.7172126788,3029601.3706422835,3064976.0220573545,35374.651415070985,353.0396423339844,0.38775166388656285,0.0,1.0116763385961802,1700.2910461425781,0.0,0.0,2077623.4198263418,2089569.7303147186,11946.310488376766,237.96461486816406,0.2606842667374127,0.0,1.0057499883638081,1143.1005096435547,-0.5749988363808153,513.8197541534901,924.0,37.0,0.49397689770463693,0.04004329004329004,13.0,0.01406926406926407,248.98732376098633,1694973.7544445693,1725940.7239608467,4644.293881341439,4729.144579867601,84.85069852616229,30966.969516277313,0.0,0.0,0.0,1.0182698814274118,0.0,3931609.7284349203,3977249.982043624,10772.763270058009,10897.819336573464,125.05606651545688,45640.25360870361,446.8856201171875,0.49082487795752566,0.0,2251309.2580827773,1.0116085412238696,2152.26708984375,net_importer,0.11325478553771973,-0.5920936490355249,-0.9735713005065918,-2596.3306510207767,446.8856201171875,0.49082487795752566,0.0,2152.26708984375,2236635.973990351,2251309.2580827773,14673.2840924263,1.0065604256852974,61,492.1371770281707,75.48284397388983,2.2677771710595342,330992.2708255069,11.29314412176609,1.8811575526771893,0.14565477438736707,8248.875868489475,0.003019893166085336,4652.853464116313,1698097.645508116,9423.774936602624,3439285.194570932,0.5062643690646416,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
8,1.0,0.11356898517673888,0.0,498.0,0.125,0.008722919042189282,-0.125,38.25,Building_2,1,4385,3.053976458779445e-05,2296.332527650632,2045.5578203617933,8.897316286910709,4341.890348012425,38100.633145927815,39172.95826798491,1072.3251220570965,11.979840278625488,0.0075218957091682725,0.0,1.0281445486207546,32.98351268470287,0.0,0.0,-759.7811250450629,-1134.0374404559761,-374.2563154109132,8.074951171875,0.004933630142407651,0.0,1.4925843813094408,21.63396817445755,,64.74026608467102,542.0,16.0,0.5156499948660761,0.02952029520295203,4.0,0.007380073800738007,7.399999618530273,1941919.6043674946,1942984.9541213512,5320.935095880794,5323.854195560273,2.9190996794793715,1065.349753856659,0.0,0.0,0.0,1.0005486065187563,0.0,49534.16335876472,50907.628602908924,135.7255303813624,139.48887846441536,3.763348083052955,1373.4652441442013,15.16435432434082,0.009521386774942839,0.0,-1892077.3255184423,1.027727635858034,41.75128100812435,net_exporter,0.07737500220537186,-0.4430926072907265,-0.935539722442627,-1942.9610829698358,15.16435432434082,0.009521386774942839,0.0,41.75128100812435,-1892385.4410087299,-1892077.3255184423,308.11549028754234,0.9998371814305846,75,492.15869431501005,69.73384237218335,2.3728890648931715,305782.89880202396,9.1494067124903,1.406685861160187,0.1304835227724069,6168.31750118742,0.10773195106866505,5320.15177426857,1941633.7246174335,5410.27260765378,1974524.0737683107,0.01665735535353951,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
10,1.0,0.14412770809578107,0.0,632.0,0.1,0.008529076396807299,-0.1,37.400000000000006,Building_3,2,4385,4.163925845208164e-05,28636.85696006476,25609.076082419466,11.478191502853202,54245.93304248423,568145.6585336823,579319.5404015109,11173.881867828546,77.5547866821289,0.07646509168357371,0.0,1.019667283732603,335.2994270324707,0.0,0.0,383850.37294099544,385302.8590299351,1452.4860889396514,52.27541732788086,0.05086311331632608,0.0,1.0037839903028125,223.03475189208984,-0.37839903028124033,590.278737783432,2505.0,60.0,0.47953274357799247,0.023952095808383235,15.0,0.005988023952095809,225.41474169492722,1096217.076779008,1107334.7496372461,3003.677342470167,3034.1401976588545,30.462855188687897,11117.67285823822,0.0,0.0,0.0,1.0101418533735171,0.0,737641.2342765331,752151.5517699718,2021.165615097248,2060.924448279407,39.758833182158845,14510.31749343872,98.17061614990234,0.09679125238851376,0.0,-355183.1978672743,1.0196712396476455,424.4296417236328,net_exporter,0.10491278767585754,-0.5902700964934579,-1.0040158033370972,-2588.334373123813,98.17061614990234,0.09679125238851376,0.0,424.4296417236328,-358575.8425024748,-355183.1978672743,3392.6446352005005,0.990538557724571,89,494.8563893438572,227.1303678010985,2.4291682572318374,995966.6628078169,7.940087596376069,3.6754753291048816,0.11280265863498916,16116.959318124906,0.012767925316341822,2994.7692165932885,1092965.9820058588,4021.784787548937,1467783.873089214,0.25536313482889267,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
8,1.0,0.10672748004561003,0.0,468.0,0.125,0.008836944127708095,-0.125,38.75,Building_4,3,4385,0.00014607536604696665,11147.633576266704,9375.877070485358,22.602985293779803,20523.51064675206,414521.8527936165,420079.46618422866,5557.613390612183,28.97085189819336,0.02818537139022636,0.0,1.0134072868611326,123.59285354614258,0.0,0.0,279968.6349383643,280791.08091129654,822.4459729322116,19.52765655517578,0.01832040984655052,0.0,1.0029376361145357,80.33499717712402,-0.293763611453574,179.7617290019989,1426.0,35.0,0.5119171688851959,0.024544179523141654,12.0,0.008415147265077139,40.698766231536865,115657.68219955266,121085.40630586445,316.90653873607306,331.77871347650955,14.872174740436483,5427.724106311798,0.0,0.0,0.0,1.0469292138930033,0.0,548698.6855224967,556037.2292422652,1503.4556972873527,1523.5635919413594,20.10789465400669,7338.543719768524,36.67196273803711,0.035677684753487565,0.0,434951.8229364008,1.0133744510664908,156.44664764404297,net_importer,0.09758896380662918,-0.5944126900275659,-0.9949445724487305,-2606.4996457708767,36.67196273803711,0.035677684753487565,0.0,156.44664764404297,433041.00332294405,434951.8229364008,1910.819613456726,1.0044125604707037,75,495.01746715426026,105.05583545121354,2.3898403042280387,460669.83845357137,9.238114768400406,2.064349747047055,0.12478081552455059,9052.173640801335,0.026757589235316744,319.1630593846413,116481.21821458638,1690.7490262760814,617052.9467146748,0.8112297837085813,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
5,1.0,0.08255416191562144,0.0,362.0,0.2,0.007480045610034208,-0.2,32.800000000000004,Building_5,4,4385,0.00011383907313250689,5103.768445481313,4497.291627703235,20.51508562646271,9601.060073184548,287262.8028537681,288641.1972005414,1378.3943467732752,42.838016510009766,0.037309085058649424,0.0,1.0047983739387063,163.60033798217773,0.0,0.0,196222.65329387333,195664.90349199195,-557.7498018813785,28.874752044677734,0.02447020379548198,0.0,0.9971575667104753,107.30184364318848,0.28424332895247484,221.84254471957684,746.0,29.0,0.48659302231230794,0.0388739946380697,6.0,0.00804289544235925,90.57096879929304,92932.23140586168,94006.77142418176,254.63792142261448,257.58220278346414,2.9442813608496414,1074.5400183200836,0.0,0.0,0.0,1.011562619363214,0.0,373756.9523127973,375569.2407425642,1024.1085575416298,1029.0742981871836,4.965740645553767,1812.2884297668934,54.225337982177734,0.04722668898961971,0.0,281562.46931838244,1.0048488420577932,207.08903121948242,net_importer,0.08377469331026077,-0.597501409408388,-0.995262622833252,-2620.0436802557815,54.225337982177734,0.04722668898961971,0.0,207.08903121948242,280824.72090693563,281562.46931838244,737.7484114468098,1.0026270778764212,54,494.8475878841489,227.1415777147144,2.4115164925852124,996015.8182790227,12.592122330869499,5.88740578362735,0.17114261648895449,25816.274361205928,0.020502153642532637,255.01960860151448,93071.53132252772,733.0908640694852,267547.6199326925,0.6521309688871763,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
34,1.0,0.4383124287343215,0.0,1922.0,0.029411764705882353,0.009175665705278691,-0.029411764705882353,40.23529411764706,Building_6,5,4385,9.329833278758644e-05,53683.57531784213,47848.933854871706,19.978848715606816,101532.50917271384,4065591.569736366,4080293.739563033,14702.169826666825,286.6831970214844,0.320045274584432,0.0,1.0036162436817577,1403.3985290527344,0.0,0.0,2757366.6025928054,2762315.233027967,4948.630435161758,193.23736572265625,0.21504711120675063,0.0,1.0017946944125995,942.9815826416016,-0.17946944125994943,1196.842190861702,7949.0,164.0,0.5191646722109635,0.020631525978110455,46.0,0.005786891432884639,412.7499750852585,720365.5286151767,732899.7795459628,1973.8295109903233,2008.1738450854102,34.34433409508702,12534.250930786133,0.0,0.0,0.0,1.01739984831712,0.0,5351208.888894722,5370361.873054668,14662.520074605929,14714.999994669717,52.47992006378749,19152.98415994644,362.8901062011719,0.40512058514689636,0.0,4637462.0935087055,1.0035791882839211,1776.4537658691406,net_importer,0.08086562156677246,-0.6360229832624861,-1.004175066947937,-2788.9607816060015,362.8901062011719,0.40512058514689636,0.0,1776.4537658691406,4630843.360279545,4637462.0935087055,6618.733229160309,1.0014292716713185,257,495.03856131734716,105.08221430918616,2.260454473756058,460785.5097457813,2.8924469855542365,0.6487235316032768,0.035415569578225795,2844.6526860803688,0.019169614090079754,1984.504313475847,724261.386738956,13459.392933609184,4912117.612728451,0.8525561796683727,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
44,1.0,0.5445838084378564,0.0,2388.0,0.022727272727272728,0.0104903078677309,-0.022727272727272728,46.0,Building_7,6,4385,5.259842518443093e-05,14170.63486760226,12231.36114813901,13.415648381982354,26401.99601574127,82121.13820922865,90960.77656591684,8839.638356688185,14.741578102111816,0.011823653413605119,0.0,1.107641449564015,51.84672021865845,0.0,0.0,31924.8147312584,34297.63516762096,2372.820436362559,9.936487197875977,0.00751647081994956,0.0,1.074325268802242,32.95972454547882,-7.43252688022421,2353.847573503852,7786.0,472.0,0.495010481825103,0.06062162856408939,129.0,0.0165681993321346,275.57131177186966,1925293.8161189556,1932819.9014145136,5275.379790712974,5296.001556564485,20.62176585151175,7526.085295557976,0.0,0.0,0.0,1.0039090580526193,0.0,106732.46008302271,118276.09671004117,292.4510836845011,324.0810961343747,31.6300124498736,11543.636627018452,18.66022491455078,0.01496664936757278,0.0,-1814543.8047044724,1.1081548820109566,65.62875747680664,net_exporter,0.12038121372461319,-0.4692937516119216,-0.9221758246421814,-2057.8531008182763,18.66022491455078,0.01496664936757278,0.0,65.62875747680664,-1818561.356035933,-1814543.8047044724,4017.551331460476,0.997790807927307,327,492.2755344662352,84.31380447439793,2.3039936140728425,369716.0326202349,2.3935552378947085,0.44484325850020945,0.030015400955171297,1950.6376885234183,0.4155263005492753,5267.6737333983465,1922481.426284838,5461.700587381629,1993293.143536487,0.03552498912729677,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
19,1.0,0.25997719498289623,0.0,1140.0,0.05263157894736842,0.007801716377603072,-0.05263157894736842,34.21052631578947,Building_8,7,4385,4.629693614126196e-05,7957.912941894447,7032.761054678587,12.471442592822823,14990.673996573034,53601.81368364823,57580.030294362456,3978.2166107142257,33.13117980957031,0.018839867221044977,0.0,1.074217947814102,82.61281776428223,0.0,0.0,-36628.04176215362,-37123.1785831575,-495.1368210038854,22.331905364990234,0.012231354403522974,0.0,1.013517971400685,53.63448905944824,,1417.214391876012,3726.0,216.0,0.4940127273481848,0.057971014492753624,73.0,0.019592055823939882,570.3193418364972,4930660.283192158,4934033.4856901765,13510.200570454594,13519.443276237498,9.242705782903277,3373.2024980187416,0.0,0.0,0.0,1.000684127947228,0.0,70292.49165641703,75437.7404317651,192.60415569745504,206.7023370661448,14.098181368689762,5145.248775348067,41.938201904296875,0.02384793271768324,0.0,-4858595.745258411,1.0731977008369193,104.57318496704102,net_exporter,0.1278105080127716,-0.44974771088355314,-0.9247593879699707,-1972.1437122243806,41.938201904296875,0.02384793271768324,0.0,104.57318496704102,-4860367.791535741,-4858595.745258411,1772.0462773293257,0.9996354090156685,152,492.16510263504716,61.27592728041112,2.3144384132314033,268694.94112460274,4.886291646837978,0.6964996658071944,0.06376894850644373,3054.1510345645474,0.23807924488447185,13504.221222844506,4928478.0704539595,13651.35586672918,4982176.084861703,0.010778024199286057,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
12,1.0,0.1605473204104903,0.0,704.0,0.08333333333333333,0.009464082098061573,-0.08333333333333333,41.5,Building_9,8,4385,3.693872615408377e-05,1563.8347749866862,1314.4379357602447,10.428524314300475,2878.272710746931,21676.752718851098,22443.26061333716,766.5078944860616,1.9360077381134033,0.0020928564745860607,0.0,1.0353608266158552,9.177175641059875,0.0,0.0,146.0797835340105,-104.9248920628161,-251.0046755968266,1.304956316947937,0.001351160307158902,0.0,-0.7182711359808891,5.924837946891785,171.8271135980889,221.2328486442566,1847.0,48.0,0.510408706303084,0.02598808879263671,18.0,0.009745533297238766,33.93239116668701,1076810.094167173,1077352.0945743918,2950.501456788692,2951.986558943419,1.4851021547270689,542.0004072189331,0.0,0.0,0.0,1.0005033388989895,0.0,28192.408841609955,29171.106551766396,77.24829457685112,79.92996429300075,2.6816697161496266,978.6977101564407,2.4506425857543945,0.0026491852959314257,0.0,-1048180.9880226254,1.0347149374732376,11.616677522659302,net_exporter,0.07737500220537186,-0.4413536009728973,-0.9727877974510193,-1935.3355402661546,2.4506425857543945,0.0026491852959314257,0.0,11.616677522659302,-1048617.685325563,-1048180.9880226254,436.69730293750763,0.9995835495538091,103,494.8523836747455,227.1330641827752,2.4877063495579645,995978.4864414693,6.831119650412562,3.175583859401085,0.10014279675230665,13924.935223473758,0.1304670263975177,2949.672873901386,1076507.6959375932,2998.9932380636274,1094507.573841638,0.016445640335650213,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
8,1.0,0.13933865450399088,0.0,611.0,0.125,0.004133409350057012,-0.125,18.125,Building_10,9,4385,5.0764219127342916e-05,32930.342013246234,27763.583693605222,12.897136784286328,60693.925706851456,401240.31431532605,416574.1869266629,15333.872611336876,40.803165435791016,0.03394555556189647,0.0,1.0382161813363706,148.85126113891602,0.0,0.0,253074.0420069072,255717.3601501582,2643.3181432510028,27.5031681060791,0.02220303264691865,0.0,1.0104448410524018,97.36029815673828,-1.0444841052401803,729.6664723753929,1298.0,29.0,0.5026948174477063,0.02234206471494607,12.0,0.009244992295839754,479.5227223597467,2986383.281976849,3000623.1133977473,8182.806115703205,8221.823806547087,39.01769084388201,14239.831420898438,0.0,0.0,0.0,1.0047682531263946,0.0,532822.7303780913,552479.4641857743,1459.9549639312927,1513.8151775840374,53.86021365274481,19656.73380768299,51.649574279785156,0.04296905621971209,0.0,-2448143.649211973,1.0368916952805947,188.4193115234375,net_exporter,0.11431582272052765,-0.5585794687920594,-0.9280416369438171,-2449.370970653181,51.649574279785156,0.04296905621971209,0.0,188.4193115234375,-2453560.5515987575,-2448143.649211973,5416.9023867845535,0.9977922279589738,75,492.1650487903116,69.7298170679362,2.3853918776803136,305765.2478429002,9.34386737864369,1.4478654397326065,0.13040544474736238,6348.889953227479,0.041000617737556484,8171.299634065851,2982183.8956159493,9619.92756907753,3510872.73239792,0.15058615822308008,0.10003571957349777,-0.528831979837548,-0.9052500128746033,-2318.928231587648
