cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,4.776022555436264e-05
building_battery_health_equivalent_full_cycles_count,building,Building_1,12.188359064226976
building_battery_total_charge_kwh,building,Building_1,89439.08484597079
building_battery_total_discharge_kwh,building,Building_1,75030.63236670801
building_battery_total_throughput_kwh,building,Building_1,164469.7172126788
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,5692.76881788243
building_cost_daily_average_control_eur,building,Building_1,5725.502172343104
building_cost_daily_average_delta_eur,building,Building_1,32.733354460673866
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0057499883638081
building_cost_total_baseline_eur,building,Building_1,2077623.4198263418
building_cost_total_control_eur,building,Building_1,2089569.7303147186
building_cost_total_delta_eur,building,Building_1,11946.310488376766
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.003019893166085336
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,8301.225356252404
building_emissions_daily_average_control_kgco2,building,Building_1,8398.153274275204
building_emissions_daily_average_delta_kgco2,building,Building_1,96.92791802279983
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0116763385961802
building_emissions_total_baseline_kgco2,building,Building_1,3029601.3706422835
building_emissions_total_control_kgco2,building,Building_1,3064976.0220573545
building_emissions_total_delta_kgco2,building,Building_1,35374.651415070985
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4644.293881341439
building_energy_grid_daily_average_export_control_kwh,building,Building_1,4729.144579867601
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,84.85069852616229
