available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.028306424212913e-05
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,353615.1211018505
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,303898.4720165327
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,12.516439372542129
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,657513.5931183831
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.09763224324557233
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3526.2866048847777
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1286947.682174407
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,11313.459531189874
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,1693.0
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.49999936165598885
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.042664180232851165
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,537.0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.013532584043142986
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,3419.5918597663403
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,39346310.90370178
True,OE1,Flexibilidad energetica,39346310.90370178,-10339.837054573,True,grid_export_control,True,citylearn_v2.evaluate_v2,39335971.06664721
True,OE1,Flexibilidad energetica,0.0,-5184.084304733112,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-5184.084304733112
True,OE1,Flexibilidad energetica,1.0,-0.00026279050861666153,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.9997372094913833
True,OE1,Flexibilidad energetica,1.0,0.03779357860317689,False,grid_import,True,citylearn_v2.evaluate_v2,1.037793578603177
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,13134313.989589691
True,OE1,Flexibilidad energetica,13134313.989589691,47270.69383681193,False,grid_import_control,True,citylearn_v2.evaluate_v2,13181584.683426503
True,OE1,Flexibilidad energetica,0.0,23700.10868642078,False,grid_import_delta,True,citylearn_v2.evaluate_v2,23700.10868642078
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-26211996.91411209
True,OE1,Flexibilidad energetica,-26211996.91411209,57610.53089138493,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-26154386.383220706
True,OE1,Flexibilidad energetica,0.0,28884.19299115389,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,28884.19299115389
True,OE1,Flexibilidad energetica,1.0,-0.016478640519540066,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9835213594804599
True,OE1,Flexibilidad energetica,1.0,0.11656924944299751,False,peak_average,True,citylearn_v2.evaluate_v2,1.1165692494429975
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,110905.09496458057
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,40475738.61644838
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,135731.8379158463
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49536465.346037395
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.18291023928120895
True,OE1,Flexibilidad energetica,1.0,0.018661232366639302,False,ramping_average,True,citylearn_v2.evaluate_v2,1.0186612323666393
True,OE1,Flexibilidad energetica,1.0,-0.0010867820643154502,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9989132179356845
True,OE2,Emisiones de CO2,1.0,0.0381138541467394,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0381138541467394
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10932105.935573434
True,OE2,Emisiones de CO2,10932105.935573434,143249.2081011627,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11075355.143674597
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,29954.39461739496
True,OE2,Emisiones de CO2,29954.39461739496,392.5083907327207,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,30346.90300812768
True,OE2,Emisiones de CO2,0.0,392.5083907327212,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,392.5083907327212
True,OE2,Emisiones de CO2,0.0,71820.8582459477,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,71820.8582459477
True,OE3,Costos energeticos,1.0,-0.016478640519540066,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9835213594804599
True,OE3,Costos energeticos,1.0,0.11656924944299751,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.1165692494429975
True,OE3,Costos energeticos,1.0,0.018661232366639302,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.0186612323666393
True,OE3,Costos energeticos,1.0,0.003599022979572153,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0035990229795722
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,6993963.858133613
True,OE3,Costos energeticos,6993963.858133613,25171.436643720604,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,7019135.294777334
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,19163.732457495917
True,OE3,Costos energeticos,19163.732457495917,68.97071348889949,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,19232.703170984816
True,OE3,Costos energeticos,0.0,68.97071348890222,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,68.97071348890222
True,OE3,Costos energeticos,0.0,12620.203678604754,False,electricity_cost_delta,True,citylearn_v2.evaluate_v2,12620.203678604754
False,OE3,Costos energeticos,,,,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,
