action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.11658946162393999,0.024907823652029037,-0.0179953183978796,-0.11196014285087585,Building_1,0,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8446409106254578,0.0,0.0,0.0,0.0,64,3.2765523150150497,1.0,0.21590647159609944,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
8,0.18749147537522343,0.12344564497470856,0.041736197541467845,-0.003960226662456989,Building_2,1,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7316309213638306,0.0,0.0,0.0,0.0,78,3.4973570186860514,1.0,0.18747224496343198,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
10,0.2936320979264413,0.25848695635795593,0.040842946898192165,-0.06563834100961685,Building_3,2,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8498087525367737,0.0,0.0,0.0,0.0,92,3.5127186362389398,1.0,0.16549484480334364,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
8,0.09937029465376089,0.06059803068637848,0.015046220505610108,-0.047849297523498535,Building_4,3,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8148384094238281,0.0,0.0,0.0,0.0,78,3.4643012907709028,1.0,0.18559004375949884,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
5,0.10734937272905885,0.06635706126689911,0.009129807353019714,-0.0468062087893486,Building_5,4,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8067454695701599,0.0,0.0,0.0,0.0,57,3.4240197643460277,1.0,0.2543013592561086,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
34,0.4746490872329532,0.26410773396492004,0.04152754118994755,-0.17328982055187225,Building_6,5,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8314968347549438,0.0,0.0,0.0,0.0,260,3.400234954321704,1.0,0.05499614462829553,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
44,0.5111404412892899,0.18510662019252777,0.03718575013970787,-0.07815144956111908,Building_7,6,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7465197443962097,0.0,0.0,0.0,0.0,330,3.383680487715165,1.0,0.04237355691465464,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
19,0.15833064887091317,0.11699829250574112,0.021883223892042513,0.0,Building_8,7,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7469752430915833,0.0,0.0,0.0,0.0,155,3.426589451761862,1.0,0.09198645781124792,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
12,0.33774354798484457,0.2264779955148697,0.01768851311256488,-0.17397956550121307,Building_9,8,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7344580292701721,0.0,0.0,0.0,0.0,106,3.5502522559939074,1.0,0.14512391304070094,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
8,0.25331626117976225,0.14670933783054352,0.03489728714339435,-0.1349041759967804,Building_10,9,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.411760538816452,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.8288904428482056,0.0,0.0,0.0,0.0,78,3.3851128329498055,1.0,0.18203441311533636,0.0,0.0,0.0,-0.7908179759979248,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E1,-0.0,1907,14.171338582513023,1.0,0.1294490358063108,0.0,3
