action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.1161784017570053,0.024949263781309128,-0.0178781325618426,-0.11157411336898804,Building_1,0,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7893825173377991,0.0,0.0,0.0,0.0,64,3.285178238794678,1.0,0.21896801458206028,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
8,0.18918741628958666,0.12626034021377563,0.04232473170850426,-0.0018462510779500008,Building_2,1,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5419948697090149,0.0,0.0,0.0,0.0,78,3.505416592460937,1.0,0.18998191247765833,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
10,0.2940768437340304,0.2589724361896515,0.04060083087533713,-0.06568557769060135,Building_3,2,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7960416078567505,0.0,0.0,0.0,0.0,92,3.520771662590516,1.0,0.16762445089609726,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
8,0.09885812144570337,0.060525037348270416,0.014737403020262718,-0.04839637503027916,Building_4,3,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7436008453369141,0.0,0.0,0.0,0.0,78,3.4725050675319427,1.0,0.1881030223881587,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
5,0.10755223785556632,0.06585397571325302,0.009301254153251648,-0.047160714864730835,Building_5,4,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7536169290542603,0.0,0.0,0.0,0.0,57,3.432250768090242,1.0,0.2577355859572427,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
34,0.47571535715859997,0.26422369480133057,0.04167588619405732,-0.17418213188648224,Building_6,5,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7752689719200134,0.0,0.0,0.0,0.0,260,3.4086198553341536,1.0,0.055750796342125306,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
44,0.5120371948548027,0.1851368546485901,0.03721653411842205,-0.07818746566772461,Building_7,6,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.588539719581604,0.0,0.0,0.0,0.0,330,3.392009375220146,1.0,0.04296674130089355,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
19,0.15957238962736311,0.11842507869005203,0.02207209365932565,0.0,Building_8,7,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5827774405479431,0.0,0.0,0.0,0.0,155,3.434817426544745,1.0,0.09324949359701526,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
12,0.33758495626849777,0.22660861909389496,0.01783528598025441,-0.17452283203601837,Building_9,8,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5279116630554199,0.0,0.0,0.0,0.0,106,3.5582625804712675,1.0,0.14697557814278692,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
8,0.25251016853671276,0.1457064300775528,0.035116670187562704,-0.13400967419147491,Building_10,9,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7806394100189209,0.0,0.0,0.0,0.0,78,3.393442493804461,1.0,0.18454436757243597,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
5,0.10817048455319662,0.07124736905097961,-0.007857449352741241,-0.07132525742053986,Building_11,10,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7706550359725952,0.0,0.0,0.0,0.0,57,3.5606313776123093,1.0,0.2741205111930245,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
5,0.1540396363501219,0.10447704792022705,0.026436049863696097,-0.07574185729026794,Building_12,11,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7754331827163696,0.0,0.0,0.0,0.0,57,3.4877559487129464,1.0,0.26714263215922474,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
13,0.1340129874053497,0.09337551146745682,0.02177188373528994,0.0,Building_13,12,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6157392263412476,0.0,0.0,0.0,0.0,113,3.406122524926941,1.0,0.12622224249407255,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
6,0.1571313763723514,0.027078824117779732,-0.029469376740356285,-0.1417621374130249,Building_14,13,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5232140421867371,0.0,0.0,0.0,0.0,64,3.3857468631393193,1.0,0.22125675703864545,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
10,0.30289310465943126,0.21005423367023468,0.05082646645605564,-0.03894171863794327,Building_15,14,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.649911105632782,0.0,0.0,0.0,0.0,92,3.422109745455977,1.0,0.15708170628742033,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
13,0.19909541792954685,0.13781879842281342,0.0240347317348306,-0.069970041513443,Building_16,15,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.657672643661499,0.0,0.0,0.0,0.0,113,3.383715206686674,1.0,0.12683451511954838,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
13,0.2139614183597024,0.12156900763511658,0.02601821691944049,-0.09750243276357651,Building_17,16,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.7537332773208618,0.0,0.0,0.0,0.0,113,3.508219020747377,1.0,0.13638381844600744,0.0,0.0,0.0,-0.6838901042938232,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,14.205257403471096,1.0,0.1311953144043481,0.0,3
6,0.3477422591941129,0.0,-0.09544386466344197,-0.27326858043670654,Building_1,0,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.6460203528404236,0.0,0.0,0.0,0.0,64,2.8498148198319275,1.0,0.21619596949312836,0.0,-0.0,172.7635324432373,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-172.7635324432373,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
8,0.22403066666808286,0.1282641589641571,0.024249133421108127,-0.1219230443239212,Building_2,1,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.3639024794101715,0.0,0.0,0.0,0.0,78,2.9213275852622353,1.0,0.17550787578026453,0.0,-0.0,99.03517822265626,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-99.03517822265626,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
10,0.30403717722426604,0.24516145884990692,0.04466463048011064,-0.05314924195408821,Building_3,2,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.725660502910614,0.0,0.0,0.0,0.0,92,3.5730212573912232,1.0,0.2111744793212932,0.0,-0.0,70.43281442413331,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-70.43281442413331,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
8,0.1969114089505698,0.11722305417060852,0.0202356674708426,-0.10869239270687103,Building_4,3,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.7331523299217224,0.0,0.0,0.0,0.0,78,3.8153167468975413,1.0,0.27319094333320093,0.0,-0.0,30.504982291412354,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-30.504982291412354,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
5,0.07663521777867843,0.061144933104515076,0.00298938974738121,-0.046197984367609024,Building_5,4,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.643244743347168,0.0,0.0,0.0,0.0,57,3.2226894919747333,1.0,0.2908186988022767,0.0,-0.0,11.60806766281128,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-11.60806766281128,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
34,0.4420949506144368,0.275147408246994,0.03147842400871655,-0.0807524025440216,Building_6,5,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.7152758240699768,0.0,0.0,0.0,0.0,260,6.339596731564874,1.0,0.20713252886556663,0.0,-0.0,258.8383945362091,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-258.8383945362091,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
44,0.39864990661825245,0.14648385345935822,0.03374726062809879,-0.09173843264579773,Building_7,6,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.37721845507621765,0.0,0.0,0.0,0.0,330,2.8526692073405298,1.0,0.04090484891538367,0.0,-0.0,95.05726201057433,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-95.05726201057433,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
19,0.5258048573740554,0.32131707668304443,0.0213678739964962,-0.18416190147399902,Building_8,7,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.3755483031272888,0.0,0.0,0.0,0.0,155,2.8314948929975774,1.0,0.085582406866935,0.0,-0.0,263.6920724426269,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-263.6920724426269,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
12,0.10804932570057141,0.07386688143014908,0.0031818427766362825,-0.06061026453971863,Building_9,8,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.36686012148857117,0.0,0.0,0.0,0.0,106,3.9260580625257075,1.0,0.21339559519909462,0.0,-0.0,51.77429377593994,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-51.77429377593994,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
8,0.20319581908272338,0.1088951826095581,0.005188706796616316,-0.11645969748497009,Building_10,9,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.6169276833534241,0.0,0.0,0.0,0.0,78,2.892484913900308,1.0,0.17687124104645008,0.0,-0.0,176.5955275680542,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-176.5955275680542,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
5,0.25061044532777593,0.17460958659648895,0.08636651337146758,0.0,Building_11,10,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.3777064085006714,0.0,0.0,0.0,0.0,57,3.6020283974440677,1.0,0.34136268986683144,0.0,-0.0,518.3808929927826,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-518.3808929927826,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
5,0.17856370097482502,0.14482039213180542,0.02229347378015518,-0.08863426744937897,Building_12,11,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.34765148162841797,0.0,0.0,0.0,0.0,57,3.7818174231131265,1.0,0.37701596005966787,0.0,-0.0,227.42465379714966,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-227.42465379714966,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
13,0.25281683238782143,0.21736356616020203,0.0276642946096567,-0.03419526666402817,Building_13,12,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.3695276379585266,0.0,0.0,0.0,0.0,113,2.820450654157564,1.0,0.11551308107718958,0.0,-0.0,32.185995081329345,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-32.185995081329345,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
6,0.17817013374352958,0.13799765706062317,-0.005996456059316794,-0.09208717942237854,Building_14,13,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.42119985818862915,0.0,0.0,0.0,0.0,64,3.609831396234308,1.0,0.3120190113550052,0.0,-0.0,221.5504636199951,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-221.5504636199951,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
10,0.2361304584031009,0.1929084211587906,0.031534016504883765,-0.06588767468929291,Building_15,14,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.37166503071784973,0.0,0.0,0.0,0.0,92,2.904300749386075,1.0,0.15175342733931282,0.0,-0.0,119.6339636505127,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-119.6339636505127,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
13,0.3083689905666112,0.16671644151210785,0.044808485187017,-0.10718447715044022,Building_16,15,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.3796984553337097,0.0,0.0,0.0,0.0,113,2.8699209430672474,1.0,0.11878354844134466,0.0,-0.0,124.74116711425782,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-124.74116711425782,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
13,0.16430538439065187,0.13717328011989594,0.012618654335920628,-0.05645723268389702,Building_17,16,MATD3,0.701000988483429,False,0.0,0.0,0.0,0.5324955582618713,0,10,0.0,0.0,-0.0,10,-0.0,0.0,-0.4114082157611847,0.0,0.0,0.0,0.0,113,2.9316633234613314,1.0,0.12345689699976845,0.0,-0.0,19.526433170318604,-0.4848628342151642,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-19.526433170318604,1907,14.422865781815757,1.0,0.16632315262519196,0.0,13
6,0.11275113832559404,0.08219744265079498,0.03382667247205973,0.0,Building_1,0,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8546333909034729,0.0,0.0,0.0,0.0,64,3.291694142424376,1.0,0.2205366500420496,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
8,0.3014375940220674,0.25945836305618286,0.03871150081977248,-0.1157706081867218,Building_2,1,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.7788311839103699,0.0,0.0,0.0,0.0,78,3.4277433483375823,1.0,0.185839405331092,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
10,0.19062322596944764,0.16818398237228394,0.033455553278326985,-0.001997578889131546,Building_3,2,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.854727029800415,0.0,0.0,0.0,0.0,92,3.3356029738907718,1.0,0.15490480731038944,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
8,0.32687698733295256,0.2531146705150604,0.08312826603651047,0.0,Building_4,3,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8246545195579529,0.0,0.0,0.0,0.0,78,3.4230802770459094,1.0,0.1855495976140866,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
5,0.22573497951844967,0.21713270246982574,0.051442598551511766,-0.018731337040662766,Building_5,4,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8204125165939331,0.0,0.0,0.0,0.0,57,3.815986111387173,1.0,0.3303111624299434,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
34,0.4975753024443192,0.21305851638317108,0.044575683936914974,-0.1347031593322754,Building_6,5,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8630697727203369,0.0,0.0,0.0,0.0,260,3.2755790090089763,1.0,0.05310787332172577,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
44,0.6913149671108186,0.3328760862350464,0.05335427879948507,-0.21349816024303436,Building_7,6,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8023880124092102,0.0,0.0,0.0,0.0,330,3.3750450490712454,1.0,0.04335117184303024,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
19,0.48342764584836506,0.3254009783267975,0.06496907084396011,-0.08440275490283966,Building_8,7,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8424331545829773,0.0,0.0,0.0,0.0,155,3.4351731208544716,1.0,0.09381884408573951,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
12,0.17044145350111267,0.10517460107803345,0.030483104288578033,-0.027112063020467758,Building_9,8,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.6588926911354065,0.0,0.0,0.0,0.0,106,3.4120236541590323,1.0,0.13635409236797746,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
8,0.2373438384147226,0.07635790854692459,-0.03831532038748264,-0.17576754093170166,Building_10,9,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8438307046890259,0.0,0.0,0.0,0.0,78,3.314108203183246,1.0,0.1785859088294017,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
5,0.2147314119275077,0.15184791386127472,0.0727611631155014,0.0,Building_11,10,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8671189546585083,0.0,0.0,0.0,0.0,57,3.424813731869173,1.0,0.2573692559411651,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
5,0.21476938292110945,0.12156818807125092,-0.011670351773500443,-0.1770273894071579,Building_12,11,MATD3,0.7900000214576721,False,0.0,0.0,0.0,0.5324955582618713,0,20,0.0,0.0,-0.0,20,-0.0,0.0,-0.8492279052734375,0.0,0.0,0.0,0.0,57,3.2878810034015533,1.0,0.24088274975094878,0.0,0.0,0.0,-0.7946871519088745,CityLearnV3MADRLRewardFunction,matd3_unified_comparable_v4,E2,-0.0,1907,13.954941801997077,1.0,0.12883334668225246,0.0,23
