kpi,value
peak_average,1.0165753156311008
ramping_average,1.0014307130196627
one_minus_load_factor_average,0.9897631484203935
pv_self_consumption_ratio,0.16433130152458886
battery_throughput_total,10561.481178965547
ev_charge_total,192178.31263886765
ev_v2g_export_total,21079.67414651485
carbon_emissions,1.074489406306728
carbon_emissions_control,9224017.200870441
carbon_emissions_delta,54543.50265963391
electricity_cost,1.0123352068964833
electricity_cost_control,6006371.421338149
electricity_cost_delta,36693.79603456798
price_signal_deviation,
