metric,value
battery_capacity_fade_ratio,8.011053678679772e-07
battery_charge_total,6473.014259601426
battery_discharge_total,4088.46691936412
battery_equivalent_full_cycles,0.2010485262119384
battery_throughput_total,10561.481178965547
carbon_emissions,1.074489406306728
carbon_emissions_baseline,9115228.281413369
carbon_emissions_control,9224017.200870441
carbon_emissions_daily_average_baseline,24976.079318862983
carbon_emissions_daily_average_control,25274.165181058408
carbon_emissions_daily_average_delta,298.08586219542616
carbon_emissions_delta,54543.50265963391
community_import_share,0.06895604510325233
community_local_traded_daily_average,2131.2051426560247
community_local_traded_total,777801.0768551717
cost_one_minus_load_factor_average,0.9897631484203935
cost_peak_average,1.0165753156311008
cost_ramping_average,1.0014307130196627
electricity_cost,1.0123352068964833
electricity_cost_baseline,5933184.36464527
electricity_cost_control,6006371.421338149
electricity_cost_daily_average_baseline,16257.155468830515
electricity_cost_daily_average_control,16457.690845086836
electricity_cost_daily_average_delta,200.53537625632055
electricity_cost_delta,36693.79603456798
ev_charge_total,192178.31263886765
ev_departure_count,39682.0
ev_departure_met_count,18395.0
ev_departure_soc_deficit_mean,0.2975604583216197
ev_departure_success_rate,0.4635603044201401
ev_departure_within_tolerance_count,645.0
ev_departure_within_tolerance_rate,0.01625422105740638
ev_v2g_export_total,21079.67414651485
grid_export_baseline,40660924.96252823
grid_export_control,40624883.336406454
grid_export_delta,-18070.19078819179
grid_export_ratio,0.9991136053556334
grid_import,1.0759700039557534
grid_import_baseline,11142223.199565887
grid_import_control,11279664.831277953
grid_import_delta,68909.11355902933
net_exchange_baseline,-29518701.76296234
net_exchange_control,-29345218.505128495
net_exchange_delta,86979.30434722392
one_minus_load_factor_average,0.9897631484203935
peak_average,1.0165753156311008
pv_export_daily_average,113430.43071923594
pv_export_total,41397380.94457448
pv_generation_daily_average,135736.12476592427
pv_generation_total,49538029.867697105
pv_self_consumption_ratio,0.16433130152458886
ramping_average,1.0014307130196627
zero_net_energy,0.993746134899151
