family,method,axis,normalized_score,available_kpis,improved_kpis,total_kpis,axis_weight,weighted_score,axis_rank
citylearn_v2_original,baseline,OE1,0.4695011474682457,33,5,36,0.34,0.15963039013920355,3.0
citylearn_v2_original,baseline,OE2,0.9999999999960812,7,0,7,0.33,0.32999999999870683,1.0
citylearn_v2_original,baseline,OE3,0.899999999997247,10,7,11,0.33,0.29699999999909155,1.0
citylearn_v2_original,hour_rbc,OE1,0.45908851459951244,33,2,36,0.34,0.15609009496383425,4.0
citylearn_v2_original,hour_rbc,OE2,0.8439844382893023,7,0,7,0.33,0.27851486463546976,2.0
citylearn_v2_original,hour_rbc,OE3,0.6680217395142052,10,1,11,0.33,0.22044717403968772,2.0
citylearn_v3_madrl,MAAC,OE1,0.4952361827176712,36,5,36,0.34,0.16838030212400823,1.0
citylearn_v3_madrl,MAAC,OE2,0.1842331966652703,7,0,7,0.33,0.0607969548995392,5.0
citylearn_v3_madrl,MAAC,OE3,0.3381691203166549,10,1,11,0.33,0.11159580970449613,4.0
citylearn_v3_madrl,MASAC,OE1,0.41717600494067025,36,5,36,0.34,0.14183984167982788,5.0
citylearn_v3_madrl,MASAC,OE2,0.22625566375789102,7,0,7,0.33,0.07466436904010404,4.0
citylearn_v3_madrl,MASAC,OE3,0.35897189707167343,10,1,11,0.33,0.11846072603365224,3.0
citylearn_v3_madrl,MATD3,OE1,0.48864111858079007,36,5,36,0.34,0.16613798031746863,2.0
citylearn_v3_madrl,MATD3,OE2,0.33397351734611747,7,0,7,0.33,0.11021126072421877,3.0
citylearn_v3_madrl,MATD3,OE3,0.31815007944110124,10,1,11,0.33,0.10498952621556341,5.0
