episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.7062119254468171,-105169.07993754,8760
1,8760,False,8759,17519,2,-0.6884911428482089,-102530.10099295527,8760
2,17520,False,8759,26279,3,-0.6795099016836075,-101192.61455872282,8760
3,26280,False,8759,35039,4,-0.6421424905977905,-95627.85969982296,8760
4,35040,True,8758,43798,8759,-0.5952638351180066,-88636.57084057653,8759
5,43800,False,8759,52559,1,-0.5975061495695859,-88980.61579390275,8760
6,52560,False,8759,61319,2,-0.6201916145068167,-92358.93523235514,8760
7,61320,True,8756,70076,8759,-0.6306120882601179,-93878.59096719549,8757
8,70080,False,8759,78839,1,-0.6001939929595089,-89380.88943153007,8760
9,78840,False,8759,87599,2,-0.6230791053384677,-92788.9403670046,8760
10,87600,False,8759,96359,3,-0.6342545665492888,-94453.19005052009,8760
11,96360,False,8759,105119,4,-0.6084986870929504,-90617.62448188217,8760
12,105120,False,8759,113879,5,-0.6271737866578214,-93398.72030908277,8760
13,113880,False,8759,122639,6,-0.639921907289163,-95297.17043350215,8760
14,122640,False,8759,131399,7,-0.6094943796917738,-90765.90302369895,8760
15,131400,False,8759,140159,8,-0.6289115352763557,-93657.5058333549,8760
16,140160,False,8759,148919,9,-0.6392667313134798,-95199.6016272034,8760
17,148920,False,8759,157679,10,-0.6086818706255394,-90644.90417355532,8760
18,157680,False,8759,166439,11,-0.6256190746717769,-93167.19260012102,8760
19,166440,False,8759,175199,12,-0.6391695909906105,-95185.13549032173,8760
20,175200,True,8746,183946,8759,-0.6059942374291771,-90110.73711148121,8747
21,183960,False,8759,192719,1,-0.6079785194436272,-90540.16111554496,8760
22,192720,False,8759,201479,2,-0.6278350501063873,-93497.1956618432,8760
23,201480,False,8759,210239,3,-0.640304425372565,-95354.13502648239,8760
24,210240,False,8759,218999,4,-0.6140392072702325,-91442.71874668304,8760
25,219000,False,8759,227759,5,-0.6302465846057655,-93856.3213794906,8760
26,227760,False,8759,236519,6,-0.6442752837010614,-95945.47524876206,8760
27,236520,False,8759,245279,7,-0.6139097306391181,-91423.43708677747,8760
28,245280,False,8759,254039,8,-0.6327593042070422,-94230.51558251271,8760
29,254040,False,8759,262799,9,-0.6414070681590277,-95518.34059024241,8760
30,262800,False,8759,271559,10,-0.6130246159481576,-91291.62580699963,8760
31,271560,True,8748,280308,8759,-0.6303079866851847,-93747.59778364756,8749
32,280320,False,8759,289079,1,-0.6132851999057946,-91330.43196997093,8760
33,289080,False,8759,297839,2,-0.632318929378835,-94164.93496309611,8760
34,297840,False,8759,306599,3,-0.6431848771759834,-95783.09190904745,8760
35,306600,False,8759,315359,4,-0.6160366968665232,-91740.18489736263,8760
36,315360,False,8759,324119,5,-0.6355683392273384,-94648.83707773522,8760
37,324120,False,8759,332879,6,-0.6471171718534506,-96368.68923241587,8760
38,332880,False,8759,341639,7,-0.618040191774819,-92038.54535910604,8760
39,341640,False,8759,350399,8,-0.63569612251996,-94667.86656567245,8760
40,350400,False,8759,359159,9,-0.6452161086781815,-96085.58290435479,8760
41,359160,False,8759,367919,10,-0.6160556804256133,-91743.01192898233,8760
42,367920,False,8759,376679,11,-0.6366233050792514,-94805.9425924021,8760
43,376680,False,8759,385439,12,-0.6479757902500556,-96496.55468403827,8760
44,385440,False,8759,394199,13,-0.6157080255857069,-91691.23917022347,8760
45,394200,False,8759,402959,14,-0.6367609229327401,-94826.43664314365,8760
46,402960,False,8759,411719,15,-0.6465468567128391,-96283.757901676,8760
47,411720,False,8759,420479,16,-0.6161927932051019,-91763.43076410377,8760
48,420480,False,8759,429239,17,-0.6341125105363083,-94432.03506906703,8760
