available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,2.69326532687986e-05
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,181649.98978283536
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,159375.30118182607
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,6.491762943818274
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,341025.2909646616
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.09910411309902535
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3391.082297380781
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1237603.7434482607
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,11085.426500886679
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,1677.0
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.5001015868844906
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.04226097474925659
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,542.0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.013658585756766293
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,3710.111443613656
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,39642401.10018158
True,OE1,Flexibilidad energetica,39642401.10018158,-13643.76324930787,True,grid_export_control,True,citylearn_v2.evaluate_v2,39628757.33693227
True,OE1,Flexibilidad energetica,0.0,-6840.573845111944,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-6840.573845111944
True,OE1,Flexibilidad energetica,1.0,-0.0003441709601501586,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.9996558290398498
True,OE1,Flexibilidad energetica,1.0,0.027697229384952893,False,grid_import,True,citylearn_v2.evaluate_v2,1.027697229384953
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,12471908.741031647
True,OE1,Flexibilidad energetica,12471908.741031647,16006.288404524326,False,grid_import_control,True,citylearn_v2.evaluate_v2,12487915.029436171
True,OE1,Flexibilidad energetica,0.0,8025.073128036143,False,grid_import_delta,True,citylearn_v2.evaluate_v2,8025.073128036143
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-27170492.359149933
True,OE1,Flexibilidad energetica,-27170492.359149933,29650.051653828472,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-27140842.307496104
True,OE1,Flexibilidad energetica,0.0,14865.646973146218,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,14865.646973146218
True,OE1,Flexibilidad energetica,1.0,-0.004417883760172936,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9955821162398271
True,OE1,Flexibilidad energetica,1.0,0.03070163749435162,False,peak_average,True,citylearn_v2.evaluate_v2,1.0307016374943516
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,111726.2682727422
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,40775432.65837287
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,136095.6394630498
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49669237.752368875
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.1790606318207859
True,OE1,Flexibilidad energetica,1.0,0.010993644889474075,False,ramping_average,True,citylearn_v2.evaluate_v2,1.010993644889474
True,OE1,Flexibilidad energetica,1.0,-0.0013243989665132627,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9986756010334867
True,OE2,Emisiones de CO2,1.0,0.02799047443955338,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0279904744395534
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10417463.817999348
True,OE2,Emisiones de CO2,10417463.817999348,76920.92543883435,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,10494384.743438182
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28544.255238267422
True,OE2,Emisiones de CO2,28544.255238267422,210.766321558629,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,28755.02155982605
True,OE2,Emisiones de CO2,0.0,210.76632155862822,False,carbon_emissions_daily_average_delta,True,citylearn_v2.evaluate_v2,210.76632155862822
True,OE2,Emisiones de CO2,0.0,38565.84588019649,False,carbon_emissions_delta,True,citylearn_v2.evaluate_v2,38565.84588019649
True,OE3,Costos energeticos,1.0,-0.004417883760172936,True,cost_one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9955821162398271
True,OE3,Costos energeticos,1.0,0.03070163749435162,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.0307016374943516
True,OE3,Costos energeticos,1.0,0.010993644889474075,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.010993644889474
True,OE3,Costos energeticos,1.0,0.0012241160740908974,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.001224116074091
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,5911410.430769732
True,OE3,Costos energeticos,5911410.430769732,7236.2525288537145,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,5918646.683298586
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,16197.494044808036
True,OE3,Costos energeticos,16197.494044808036,19.827612820239665,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,16217.321657628276
True,OE3,Costos energeticos,0.0,19.827612820240798,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,19.827612820240798
True,OE3,Costos energeticos,0.0,3628.0400708369775,False,electricity_cost_delta,True,citylearn_v2.evaluate_v2,3628.0400708369775
True,OE3,Costos energeticos,0.3793213483543036,0.000607595107971759,False,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.37992894346227535
