absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
1292.7243988141418,1021.2523054108024,688.3699874766171,0,1292.7243988141418,-110.72070947330677,-58.958284893097485,-74.63073815327532,-76216.81339354234,8760
1442.494648694992,1139.5708111524582,768.121980547905,1,1442.494648694992,-102.29932078795265,-54.47393303222066,-68.95434326970928,-78578.35689234766,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,2,1433.7156693935394,-104.13807250272184,-55.4530611003302,-70.19374615863222,-79503.92261538075,8760
1173.2463220208883,926.8646223992108,624.7484433054924,3,1173.2463220208883,-122.04352154557661,-64.9876318979518,-82.26282270193187,-76246.50010111931,8760
1413.407870054245,1124.1488407850266,752.633423447609,4,1413.407870054245,-104.42500062619021,-55.605849790401905,-69.91400325594242,-78593.74571480825,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,5,1433.7156693935394,-104.08464820075122,-55.42461289680365,-70.15773577548316,-79463.13598021865,8760
1171.828942976892,925.744892977178,623.9936952479184,6,1171.828942976892,-122.23214043367904,-65.08807061337274,-82.38996030751441,-76272.08498727388,8760
1442.494648694992,1139.5708111524582,768.121980547905,7,1442.494648694992,-102.15905297218133,-54.39924104459015,-68.85979645313328,-78470.61409989026,8752
1171.828942976892,925.744892977178,623.9936952479184,8,1171.828942976892,-122.10178453306425,-65.01865667662925,-82.30209456746113,-76190.74372715189,8760
1442.494648694992,1139.5708111524582,768.121980547905,9,1442.494648694992,-102.31989053223418,-54.48488632950407,-68.96820820250878,-78594.15696506455,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,10,1433.7156693935394,-104.1215973046521,-55.444288130529195,-70.18264113389509,-79491.34467110994,8757
1171.828942976892,925.744892977178,623.9936952479184,11,1171.828942976892,-122.1096902300697,-65.02286642508912,-82.30742336281865,-76195.67683223983,8760
1442.494648694992,1139.5708111524582,768.121980547905,12,1442.494648694992,-102.2871024914734,-54.467426843723494,-68.94610758834688,-78568.9717502571,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,13,1433.7156693935394,-104.1266465127392,-55.44697681141058,-70.18604452731547,-79495.19947501957,8760
1173.1623973697424,926.79832200706,624.7037537693977,14,1173.1623973697424,-122.0070149052569,-64.96819227107511,-82.2382155725701,-76218.24019751285,8760
1361.4774901866913,1124.1488407850266,724.9807134270668,15,1361.4774901866913,-108.33837986999228,-57.689705849568924,-69.86907167455735,-78543.23592967958,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,16,1433.7156693935394,-104.06140693451123,-55.41223702575206,-70.14207011638608,-79445.39249996959,8760
1171.828942976892,925.744892977178,623.9936952479184,17,1171.828942976892,-122.19670767679057,-65.06920282807339,-82.36607703570662,-76249.97517037022,8760
1442.494648694992,1139.5708111524582,768.121980547905,18,1442.494648694992,-102.24115226232465,-54.44295855120517,-68.91513506722318,-78533.67636923672,8760
1433.7155392169952,1132.635309457779,763.4471570253372,19,1433.7155392169952,-104.05705578553096,-55.40992005379028,-70.13913723555153,-79442.06340789053,8760
1171.828942976892,925.744892977178,623.9936952479184,20,1171.828942976892,-122.2163783506872,-65.07967737435109,-82.3793359546441,-76262.249546863,8760
1442.494648694992,1139.5708111524582,768.121980547905,21,1442.494648694992,-102.32333740779379,-54.4867217753991,-68.97053155166412,-78596.8045859461,8760
1137.639619588852,988.3797512054444,605.7880427837372,22,1137.639619588852,-131.21974402831435,-69.8739306725482,-80.42592112246994,-79491.35190949554,8760
1171.828942976892,925.744892977178,623.9936952479184,23,1171.828942976892,-122.24287748820494,-65.09378804710728,-82.39719756518716,-76278.78484160357,8760
1442.494648694992,1139.5708111524582,768.121980547905,24,1442.494648694992,-102.25074927337408,-54.448068916877105,-68.92160388430983,-78541.04804437136,8760
1433.709894657135,1132.6308500766754,763.4441512823105,25,1433.709894657135,-103.82029909282546,-55.28384816354543,-69.9795525801121,-79261.00012679776,8745
1294.2664291486144,1022.470506094396,689.1911163218319,26,1294.2664291486144,-110.50989581598944,-58.84602794814957,-74.48864100046684,-76162.4384620311,8760
1442.494648694992,1139.5708111524582,768.121980547905,27,1442.494648694992,-102.2355182909557,-54.439958486525434,-68.91133751712457,-78529.34879199046,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,28,1433.7156693935394,-104.1394672871544,-55.4538038168459,-70.19468630609273,-79504.98745968723,8760
1173.1623849719765,926.7983122318984,624.7037472128868,29,1173.1623849719765,-121.96621663512772,-64.94646737856588,-82.21071570777579,-76192.75256534302,8760
1359.504658460617,1124.1488407850266,723.9301877617836,30,1359.504658460617,-108.46336426827612,-57.75625936355148,-69.8483161759746,-78519.90366000787,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,31,1433.7156693935394,-104.0430265896465,-55.402449573744036,-70.12968093699438,-79431.36007666224,8760
1171.828942976892,925.744892977178,623.9936952479184,32,1171.828942976892,-122.13341131881218,-65.03549779924013,-82.32341244353842,-76210.47864205955,8760
1442.494648694992,1139.5708111524582,768.121980547905,33,1442.494648694992,-102.26997625770075,-54.45830720046056,-68.93456373650717,-78555.81671365231,8760
1433.7155392169952,1132.635309457779,763.4471570253372,34,1433.7155392169952,-104.0916695868226,-55.42835174924667,-70.16246849493332,-79468.48921608047,8760
1171.828942976892,925.744892977178,623.9936952479184,35,1171.828942976892,-122.15564307882038,-65.04733611247052,-82.3383976497055,-76224.35112013893,8760
1442.494648694992,1139.5708111524582,768.121980547905,36,1442.494648694992,-102.34341628430691,-54.497413687780465,-68.98406561751023,-78612.22761234053,8760
1151.493898153305,988.3797512054444,613.1653831005096,37,1151.493898153305,-129.62609765106293,-69.02532089271753,-80.4166978624362,-79482.23582603809,8760
1171.828942976892,925.744892977178,623.9936952479184,38,1171.828942976892,-122.05087941486273,-64.99154992781239,-82.26778222822539,-76158.9792543383,8747
1171.828942976892,925.744892977178,623.9936952479184,39,1171.828942976892,-122.028238597065,-64.97949379313017,-82.2525212987099,-76144.85152677725,8760
1442.494648694992,1139.5708111524582,768.121980547905,40,1442.494648694992,-102.23488021546761,-54.43961871416781,-68.91090742554722,-78528.8586721828,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,41,1433.7156693935394,-104.14347883049051,-55.455939945855945,-70.19739026678522,-79508.05006132078,8760
1173.241894826293,926.8611249178648,624.7460858225822,42,1173.241894826293,-121.9693330040087,-64.94812682761169,-82.21281628506978,-76199.86338464553,8760
1359.5047500133514,1124.1488407850266,723.9302435517311,43,1359.5047500133514,-108.48561614623992,-57.768108951319064,-69.8626513405138,-78536.01851860707,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,44,1433.7156693935394,-104.05240417050943,-55.407443093904995,-70.13600184840415,-79438.51936476244,8760
1171.828942976892,925.744892977178,623.9936952479184,45,1171.828942976892,-122.13381358052729,-65.03571200181258,-82.32368358602699,-76210.72965083361,8760
1442.494648694992,1139.5708111524582,768.121980547905,46,1442.494648694992,-102.27459166439145,-54.46076488398231,-68.93767472820124,-78559.36190898062,8760
1433.7155361175537,1132.635306954384,763.4471553564072,47,1433.7155361175537,-104.09860418173959,-55.432044388898525,-70.16714272559969,-79473.78323912168,8760
1086.3287598714232,873.2478264793754,578.465230204165,48,1086.3287598714232,-131.80345291101145,-70.18475211767033,-87.3105118821304,-76243.71472987205,8760
1442.494648694992,1139.5708111524582,768.121980547905,49,1442.494648694992,-102.19377846594276,-54.41773221547086,-68.88320299775735,-78497.28751493379,8749
