episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.525818035216677,-78304.82180446755
1,8759,17519,-0.5425975139470239,-80803.62177699081
2,8759,26279,-0.5510281711066376,-82059.11524120046
3,8759,35039,-0.5260876935436103,-78344.97932251444
4,8759,43799,-0.5425519251002843,-80796.83268593434
5,8759,52559,-0.5505331295172755,-81985.39364771267
6,8759,61319,-0.5260514475888374,-78339.58157492966
7,8751,70071,-0.5421176230138837,-80658.42842249767
8,8759,78839,-0.5253566748558218,-78236.11601952898
9,8759,87599,-0.5422440283811623,-80750.98070652268
10,8756,96356,-0.5510442571089145,-82033.40751154699
11,8759,105119,-0.5253977795300546,-78242.23732761573
12,8759,113879,-0.5420738763785914,-80725.64167029984
13,8759,122639,-0.5508915368807321,-82038.76767227863
14,8759,131399,-0.5256124991211116,-78274.21336911595
15,8759,140159,-0.5420700849126654,-80725.07704519414
16,8759,148919,-0.5502501850474886,-81943.257557272
17,8759,157679,-0.5258729295559338,-78312.99666946966
18,8759,166439,-0.5417912079477062,-80683.54668757241
19,8759,175199,-0.5503844582558507,-81963.25352346129
20,8759,183959,-0.525663594045537,-78281.82242526137
21,8759,192719,-0.5422065180652932,-80745.39467028347
22,8759,201479,-0.5505652636516364,-81990.17906300169
23,8759,210239,-0.5262573294628416,-78370.24150360638
24,8759,218999,-0.5416786509701544,-80666.7847024754
25,8744,227744,-0.5500937393686588,-81779.68576324166
26,8759,236519,-0.5251472782170726,-78204.93267208645
27,8759,245279,-0.5417073115605485,-80671.05283759689
28,8759,254039,-0.550622311984098,-81998.67470067187
29,8759,262799,-0.5254960123263164,-78256.86615563503
30,8759,271559,-0.5419594455585118,-80708.60063257358
31,8759,280319,-0.5502879415268641,-81948.88025218059
32,8759,289079,-0.5254341807570457,-78247.65819833924
33,8759,297839,-0.5417746739943917,-80681.08445124482
34,8759,306599,-0.5502774119072933,-81947.31218123413
35,8759,315359,-0.5255541150930683,-78265.51881965973
36,8759,324119,-0.5420844121195109,-80727.21065283756
37,8759,332879,-0.5506697682562725,-82005.7418887241
38,8746,341626,-0.526292534335744,-78259.1735631908
39,8759,350399,-0.5248192921266143,-78156.0889834954
40,8759,359159,-0.5415060836179317,-80641.0859723824
41,8759,367919,-0.5509945603833987,-82054.10993229572
42,8759,376679,-0.5254143179556776,-78244.7002299595
43,8759,385439,-0.5417308376725886,-80674.55634620189
44,8759,394199,-0.5500662867710824,-81915.87142594959
45,8759,402959,-0.5255362287935904,-78262.85519194147
46,8759,411719,-0.5419086847598242,-80701.04133443302
47,8759,420479,-0.5503509618328148,-81958.26523614279
48,8759,429239,-0.525685534999424,-78285.08987211423
49,8748,437988,-0.5419790135380939,-80610.16462056132
