action_l2_mean,agent,agent_steps,reward_max,reward_mean,reward_min,reward_total
0.11,Building_1,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.25,Building_10,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.05,Building_11,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.04,Building_12,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.19,Building_13,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.08,Building_14,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.25,Building_15,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.11,Building_16,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.16,Building_17,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.07,Building_2,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.05,Building_3,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.03,Building_4,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.12,Building_5,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.57,Building_6,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.43,Building_7,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.34,Building_8,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
0.08,Building_9,100,-0.2905242443084717,-0.6558453598618508,-0.8491488695144653,-65.58453598618507
