episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.525818035216677,-78304.82180446755,8760
1,8760,False,8759,17519,2,-0.5425975139470239,-80803.62177699081,8760
2,17520,False,8759,26279,3,-0.5510281711066376,-82059.11524120046,8760
3,26280,False,8759,35039,4,-0.5260876935436103,-78344.97932251444,8760
4,35040,False,8759,43799,5,-0.5425519251002843,-80796.83268593434,8760
5,43800,False,8759,52559,6,-0.5505331295172755,-81985.39364771267,8760
6,52560,False,8759,61319,7,-0.5260514475888374,-78339.58157492966,8760
7,61320,True,8751,70071,8759,-0.5421176230138837,-80658.42842249767,8752
8,70080,False,8759,78839,1,-0.5253566748558218,-78236.11601952898,8760
9,78840,False,8759,87599,2,-0.5422440283811623,-80750.98070652268,8760
10,87600,True,8756,96356,8759,-0.5510442571089145,-82033.40751154699,8757
11,96360,False,8759,105119,1,-0.5253977795300546,-78242.23732761573,8760
12,105120,False,8759,113879,2,-0.5420738763785914,-80725.64167029984,8760
13,113880,False,8759,122639,3,-0.5508915368807321,-82038.76767227863,8760
14,122640,False,8759,131399,4,-0.5256124991211116,-78274.21336911595,8760
15,131400,False,8759,140159,5,-0.5420700849126654,-80725.07704519414,8760
16,140160,False,8759,148919,6,-0.5502501850474886,-81943.257557272,8760
17,148920,False,8759,157679,7,-0.5258729295559338,-78312.99666946966,8760
18,157680,False,8759,166439,8,-0.5417912079477062,-80683.54668757241,8760
19,166440,False,8759,175199,9,-0.5503844582558507,-81963.25352346129,8760
20,175200,False,8759,183959,10,-0.525663594045537,-78281.82242526137,8760
21,183960,False,8759,192719,11,-0.5422065180652932,-80745.39467028347,8760
22,192720,False,8759,201479,12,-0.5505652636516364,-81990.17906300169,8760
23,201480,False,8759,210239,13,-0.5262573294628416,-78370.24150360638,8760
24,210240,False,8759,218999,14,-0.5416786509701544,-80666.7847024754,8760
25,219000,True,8744,227744,8759,-0.5500937393686588,-81779.68576324166,8745
26,227760,False,8759,236519,1,-0.5251472782170726,-78204.93267208645,8760
27,236520,False,8759,245279,2,-0.5417073115605485,-80671.05283759689,8760
28,245280,False,8759,254039,3,-0.550622311984098,-81998.67470067187,8760
29,254040,False,8759,262799,4,-0.5254960123263164,-78256.86615563503,8760
30,262800,False,8759,271559,5,-0.5419594455585118,-80708.60063257358,8760
31,271560,False,8759,280319,6,-0.5502879415268641,-81948.88025218059,8760
32,280320,False,8759,289079,7,-0.5254341807570457,-78247.65819833924,8760
33,289080,False,8759,297839,8,-0.5417746739943917,-80681.08445124482,8760
34,297840,False,8759,306599,9,-0.5502774119072933,-81947.31218123413,8760
35,306600,False,8759,315359,10,-0.5255541150930683,-78265.51881965973,8760
36,315360,False,8759,324119,11,-0.5420844121195109,-80727.21065283756,8760
37,324120,False,8759,332879,12,-0.5506697682562725,-82005.7418887241,8760
38,332880,True,8746,341626,8759,-0.526292534335744,-78259.1735631908,8747
39,341640,False,8759,350399,1,-0.5248192921266143,-78156.0889834954,8760
40,350400,False,8759,359159,2,-0.5415060836179317,-80641.0859723824,8760
41,359160,False,8759,367919,3,-0.5509945603833987,-82054.10993229572,8760
42,367920,False,8759,376679,4,-0.5254143179556776,-78244.7002299595,8760
43,376680,False,8759,385439,5,-0.5417308376725886,-80674.55634620189,8760
44,385440,False,8759,394199,6,-0.5500662867710824,-81915.87142594959,8760
45,394200,False,8759,402959,7,-0.5255362287935904,-78262.85519194147,8760
46,402960,False,8759,411719,8,-0.5419086847598242,-80701.04133443302,8760
47,411720,False,8759,420479,9,-0.5503509618328148,-81958.26523614279,8760
48,420480,False,8759,429239,10,-0.525685534999424,-78285.08987211423,8760
49,429240,True,8748,437988,8759,-0.5419790135380939,-80610.16462056132,8749
