action_l2_mean,agent,agent_steps,reward_max,reward_mean,reward_min,reward_total
0.1,Building_1,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.08,Building_10,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.09,Building_11,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.18,Building_12,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.18,Building_13,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.08,Building_14,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.18,Building_15,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.14,Building_16,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.27,Building_17,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.06,Building_2,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.23,Building_3,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.08,Building_4,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.03,Building_5,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.48,Building_6,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.54,Building_7,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.24,Building_8,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
0.17,Building_9,100,-0.3433991372585296,-0.7073660162091255,-0.8780630826950073,-70.73660162091255
