episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.528240462095925,-78665.56961532516,8760
1,8760,False,8759,17519,2,-0.5342859520192066,-79565.86397470025,8760
2,17520,False,8759,26279,3,-0.51241294757989,-76308.53615359722,8760
3,26280,False,8759,35039,4,-0.5284359870146329,-78694.68718621913,8760
4,35040,False,8759,43799,5,-0.5342089289762134,-79554.39370313771,8760
5,43800,False,8759,52559,6,-0.5124602174516978,-76315.57558290684,8760
6,52560,False,8759,61319,7,-0.5278329040124459,-78604.87606553343,8760
7,61320,False,8759,70079,8,-0.5341600304390212,-79547.11173297903,8760
8,70080,False,8759,78839,9,-0.5127932614670209,-76365.17249766874,8760
9,78840,False,8759,87599,10,-0.528396128213109,-78688.7514134962,8760
10,87600,False,8759,96359,11,-0.5344206644554094,-79585.92535069956,8760
11,96360,False,8759,105119,12,-0.5128660689783334,-76376.01499225342,8760
12,105120,False,8759,113879,13,-0.5280416566818644,-78635.96351306327,8760
13,113880,False,8759,122639,14,-0.5341204026896166,-79541.2103685377,8760
14,122640,False,8759,131399,15,-0.5124616506653793,-76315.78901708829,8760
15,131400,False,8759,140159,16,-0.5282891881860986,-78672.82590467381,8760
16,140160,False,8759,148919,17,-0.5344664911717443,-79592.74986529615,8760
17,148920,False,8759,157679,18,-0.512841510416361,-76372.35773120447,8760
18,157680,False,8759,166439,19,-0.5282145512657044,-78661.7109744887,8760
19,166440,False,8759,175199,20,-0.5344791460117901,-79594.63442407579,8760
20,175200,False,8759,183959,21,-0.5124952866072731,-76320.7980815551,8760
21,183960,False,8759,192719,22,-0.5284842861702306,-78701.87989647072,8760
22,192720,True,8736,201456,8759,-0.5342170296540485,-79346.72119748619,8737
23,201480,False,8759,210239,1,-0.528316323448379,-78676.8668879326,8760
24,210240,False,8759,218999,2,-0.5342200265674227,-79556.04635642059,8760
25,219000,False,8759,227759,3,-0.5122386797760721,-76282.58419225266,8760
26,227760,False,8759,236519,4,-0.5281246595625226,-78648.32430205088,8760
27,236520,False,8759,245279,5,-0.5341713049896714,-79548.79073906186,8760
28,245280,False,8759,254039,6,-0.5124019091372712,-76306.89230872242,8760
29,254040,False,8759,262799,7,-0.5280629675781271,-78639.13713173468,8760
30,262800,True,8751,271551,8759,-0.5341520103821658,-79473.27271270016,8752
31,271560,False,8759,280319,1,-0.528316323448379,-78676.8668879326,8760
32,280320,False,8759,289079,2,-0.5342200265674227,-79556.04635642059,8760
33,289080,False,8759,297839,3,-0.5122386797760721,-76282.58419225266,8760
34,297840,False,8759,306599,4,-0.5281246595625226,-78648.32430205088,8760
35,306600,False,8759,315359,5,-0.5341713049896714,-79548.79073906186,8760
36,315360,False,8759,324119,6,-0.5124019091372712,-76306.89230872242,8760
37,324120,True,8752,332872,8759,-0.5279973791614397,-78566.5380166014,8753
38,332880,False,8759,341639,1,-0.528316323448379,-78676.8668879326,8760
39,341640,False,8759,350399,2,-0.5342200265674227,-79556.04635642059,8760
40,350400,False,8759,359159,3,-0.5122386797760721,-76282.58419225266,8760
41,359160,False,8759,367919,4,-0.5281246595625226,-78648.32430205088,8760
42,367920,False,8759,376679,5,-0.5341713049896714,-79548.79073906186,8760
43,376680,False,8759,385439,6,-0.5124019091372712,-76306.89230872242,8760
44,385440,False,8759,394199,7,-0.5280629675781271,-78639.13713173468,8760
45,394200,False,8759,402959,8,-0.5341292031088826,-79542.5209269748,8760
46,402960,False,8759,411719,9,-0.5126333496593685,-76341.35843127315,8760
47,411720,False,8759,420479,10,-0.5281921079341843,-78658.36871355871,8760
48,420480,False,8759,429239,11,-0.5341373025630299,-79543.72709768642,8760
49,429240,True,8747,437987,8759,-0.5125064952745902,-76217.91595125597,8748
