episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.54328587221065,-80906.13208961
1,8759,17519,-0.5518098292620185,-82175.51977369978
2,8759,26279,-0.5266826511246796,-78433.58040548729
3,8759,35039,-0.5437156108790443,-80970.12877210727
4,8759,43799,-0.5516603422252431,-82153.25816418321
5,8759,52559,-0.5269059164552964,-78466.82907852274
6,8759,61319,-0.5428022325761069,-80834.10847523384
7,8759,70079,-0.5515759494845673,-82140.69039724176
8,8759,78839,-0.5271277014266983,-78499.85729646392
9,8759,87599,-0.5433765672185381,-80919.6383901847
10,8759,96359,-0.5518946498872621,-82188.15126121108
11,8759,105119,-0.527185775624718,-78508.505706033
12,8759,113879,-0.5428711335833696,-80844.36921323539
13,8759,122639,-0.5515063561842355,-82130.32656295635
14,8759,131399,-0.526716133105878,-78438.56654212734
15,8759,140159,-0.5434030689842839,-80923.58503313956
16,8759,148919,-0.5518058895075868,-82174.93306546981
17,8759,157679,-0.5271417917155541,-78501.95562228031
18,8759,166439,-0.543199383343419,-80893.25216750195
19,8759,175199,-0.5519228590949066,-82192.3521764135
20,8759,183959,-0.5268976734633181,-78465.60153215734
21,8759,192719,-0.5434026496022172,-80923.52257876217
22,8736,201456,-0.551733265259201,-81948.39015568385
23,8759,210239,-0.5431901089086011,-80891.87101866888
24,8759,218999,-0.5512860059573528,-82097.51200716899
25,8759,227759,-0.5263660388880146,-78386.43051120313
26,8759,236519,-0.5425584560941135,-80797.80528153537
27,8759,245279,-0.5511507904264829,-82077.37571031181
28,8759,254039,-0.5263098821800003,-78378.06765424565
29,8759,262799,-0.5424389493246577,-80780.00833342804
30,8751,271551,-0.5507925898136747,-81949.12468283779
31,8759,280319,-0.5431901089086011,-80891.87101866888
32,8759,289079,-0.5512860059573528,-82097.51200716899
33,8759,297839,-0.5263660388880146,-78386.43051120313
34,8759,306599,-0.5425584560941135,-80797.80528153537
35,8759,315359,-0.5511507904264829,-82077.37571031181
36,8759,324119,-0.5263098821800003,-78378.06765424565
37,8752,332872,-0.5423942671547753,-80708.80934689773
38,8759,341639,-0.5431901089086011,-80891.87101866888
39,8759,350399,-0.5512860059573528,-82097.51200716899
40,8759,359159,-0.5263660388880146,-78386.43051120313
41,8759,367919,-0.5425584560941135,-80797.80528153537
42,8759,376679,-0.5511507904264829,-82077.37571031181
43,8759,385439,-0.5263098821800003,-78378.06765424565
44,8759,394199,-0.5424389493246577,-80780.00833342804
45,8759,402959,-0.5507613602389888,-82019.38176679022
46,8759,411719,-0.5265661854577639,-78416.23633837019
47,8759,420479,-0.5426501765817953,-80811.46429656095
48,8759,429239,-0.5510169561042634,-82057.44510304689
49,8747,437987,-0.5263825588275348,-78281.50861859568
