episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.7290455099358968,-108569.45733965375
1,8759,17519,-0.7408485589329936,-110327.1673963014
2,8759,26279,-0.7290455099358968,-108569.45733965375
3,8759,35039,-0.7407922956320674,-110318.78866552748
4,8759,43799,-0.5922761108176945,-88201.75842297106
5,8751,52551,-0.6203870136879436,-92303.661444547
6,8759,61319,-0.7290455099358968,-108569.45733965375
7,8757,70077,-0.7408411170337472,-110300.8705506865
8,8759,78839,-0.7290455099358968,-108569.45733965375
9,8757,87597,-0.7408411170337472,-110300.8705506865
10,8759,96359,-0.6275426411947297,-93453.65012671915
11,8759,105119,-0.5928723266513164,-88290.54688491405
12,8759,113879,-0.6198809948244577,-92312.67774925823
13,8759,122639,-0.6268358120596415,-93348.38913192181
14,8759,131399,-0.5917727467841729,-88126.79745109903
15,8759,140159,-0.6203342994187452,-92380.18386943953
16,8759,148919,-0.6283982286783234,-93581.06421477592
17,8759,157679,-0.5938568489662464,-88437.1619480534
18,8759,166439,-0.6213662761289298,-92533.86584112022
19,8759,175199,-0.6275623168218012,-93456.58022110263
20,8759,183959,-0.5923983721498567,-88219.96558055666
21,8759,192719,-0.6201243990915624,-92348.92551271548
22,8759,201479,-0.6272274115573233,-93406.70612911659
23,8759,210239,-0.5931696773648101,-88334.82835316751
24,8759,218999,-0.6204905186511218,-92403.44803752506
25,8759,227759,-0.6273433676959105,-93423.97431727499
26,8759,236519,-0.5928058131346036,-88280.64169200516
27,8759,245279,-0.6199991237039061,-92330.26950198569
28,8759,254039,-0.6271063775182276,-93388.68174001445
29,8759,262799,-0.593209215177488,-88340.71632423151
30,8759,271559,-0.6206955466116958,-92433.98080141374
31,8759,280319,-0.6273007341341804,-93417.62532726215
32,8759,289079,-0.5938652665084503,-88438.41548843842
33,8759,297839,-0.6217203631282271,-92586.59647705557
34,8759,306599,-0.6277545907183286,-93485.2136497735
35,8759,315359,-0.593056386533042,-88317.95708250062
36,8759,324119,-0.620323505435223,-92378.5764294134
37,8759,332879,-0.6270121202100872,-93374.64494168619
38,8759,341639,-0.5929187672102019,-88297.46281294327
39,8759,350399,-0.6207299658118058,-92439.10650869412
40,8759,359159,-0.6273482118240455,-93424.69570483686
41,8759,367919,-0.5930866282044822,-88322.46067221148
42,8759,376679,-0.6205688221034855,-92415.10898765107
43,8759,385439,-0.6271540325616335,-93395.77852907847
44,8759,394199,-0.5929114224400491,-88296.36902977212
45,8759,402959,-0.6205522129256076,-92412.63554888149
46,8759,411719,-0.6274638329804146,-93441.91400744335
47,8759,420479,-0.5932659126113043,-88349.15970607544
48,8759,429239,-0.6209203261908646,-92467.45497634355
49,8759,437999,-0.6270644681842904,-93382.44060200453
