absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
,,,0,,,,,-108569.45733965375,1
,,,1,,,,,-110327.1673963014,1
,,,2,,,,,-108569.45733965375,1
,,,3,,,,,-110318.78866552748,1
,,,4,,,,,-88201.75842297106,1
,,,5,,,,,-92303.661444547,1
,,,6,,,,,-108569.45733965375,1
,,,7,,,,,-110300.8705506865,1
,,,8,,,,,-108569.45733965375,1
,,,9,,,,,-110300.8705506865,1
,,,10,,,,,-93453.65012671915,1
,,,11,,,,,-88290.54688491405,1
,,,12,,,,,-92312.67774925823,1
,,,13,,,,,-93348.38913192181,1
,,,14,,,,,-88126.79745109903,1
,,,15,,,,,-92380.18386943953,1
,,,16,,,,,-93581.06421477592,1
,,,17,,,,,-88437.1619480534,1
,,,18,,,,,-92533.86584112022,1
,,,19,,,,,-93456.58022110263,1
,,,20,,,,,-88219.96558055666,1
,,,21,,,,,-92348.92551271548,1
,,,22,,,,,-93406.70612911659,1
,,,23,,,,,-88334.82835316751,1
,,,24,,,,,-92403.44803752506,1
,,,25,,,,,-93423.97431727499,1
,,,26,,,,,-88280.64169200516,1
,,,27,,,,,-92330.26950198569,1
,,,28,,,,,-93388.68174001445,1
,,,29,,,,,-88340.71632423151,1
,,,30,,,,,-92433.98080141374,1
,,,31,,,,,-93417.62532726215,1
,,,32,,,,,-88438.41548843842,1
,,,33,,,,,-92586.59647705557,1
,,,34,,,,,-93485.2136497735,1
,,,35,,,,,-88317.95708250062,1
,,,36,,,,,-92378.5764294134,1
,,,37,,,,,-93374.64494168619,1
,,,38,,,,,-88297.46281294327,1
,,,39,,,,,-92439.10650869412,1
,,,40,,,,,-93424.69570483686,1
,,,41,,,,,-88322.46067221148,1
,,,42,,,,,-92415.10898765107,1
,,,43,,,,,-93395.77852907847,1
,,,44,,,,,-88296.36902977212,1
,,,45,,,,,-92412.63554888149,1
,,,46,,,,,-93441.91400744335,1
,,,47,,,,,-88349.15970607544,1
,,,48,,,,,-92467.45497634355,1
,,,49,,,,,-93382.44060200453,1
